run,scenario,config,backend,speedup,corrections_every_k,correction_delay_s,n_producer_events,n_consumer_events,n_tti_values,tti_p50,tti_p95,tti_p99,tti_max,tti_mean,tti_std,tti_min,tti_transport_ms_p50,tti_transport_ms_p95,tti_transport_ms_p99,tti_transport_ms_max,tti_transport_ms_mean,tti_transport_ms_std,tti_transport_ms_min,tti_producer_sched_lag_ms_p50,tti_producer_sched_lag_ms_p95,tti_producer_sched_lag_ms_p99,tti_producer_sched_lag_ms_max,tti_producer_sched_lag_ms_mean,tti_producer_sched_lag_ms_std,tti_producer_sched_lag_ms_min,n_n_produced,n_n_consumed,n_n_matched,meta_plan_csv,meta_max_t_sim,missed_window_100ms_rate,missed_window_250ms_rate,missed_window_500ms_rate,missed_window_1000ms_rate,missed_window_2000ms_rate,missed_window_5000ms_rate
s4_s2sf12j2_baseline_kafka_rep1_20260612,s2sf12j2,baseline,kafka,120,50,2.0,0,0,4554,5147.2566935,7927.559253249999,8171.6986742,8237.03249,5160.776195523057,1766.8827544331782,2011.648122,2012.9149,2013.0907,2013.199935,2013.4637,2012.926546881862,0.0918238687268569,2012.1914,3132.9870435000003,5913.35086325,6157.5719962,6222.58279,3146.547769919192,1766.9406874378749,-2.870478,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.5254721124286341
s4_s2sf12j2_baseline_redis_rep1_20260612,s2sf12j2,baseline,redis,120,50,2.0,0,0,4554,3082.3076465000004,4066.316732,4149.30587033,4177.62369,3083.5351441176986,627.7958049359208,2007.669822,2011.13955,2025.66565,2031.297871,2033.3406,2013.5245294246813,5.370838823544512,2006.7438,1070.7602965,2038.29950135,2128.2619443,2156.64809,1069.511324201142,624.5447761799252,-5.652178,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.0
s4_s2sf12j2_fast_corrections_kafka_rep1_20260612,s2sf12j2,fast_corrections,kafka,120,10,0.5,0,0,4911,5137.741434,7808.911435,8077.893673,8153.10899,5119.654500061087,1727.6988738421016,2025.956934,2006.7199,2006.94535,2007.09658,2015.9208,2006.7445834046016,0.2653933455293256,2006.1314,3129.795034,5800.958085,6069.607502999999,6145.11949,3111.6147468336385,1727.759150781916,14.309151,4911,4911,4911,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.5220932600285074
s4_s2sf12j2_fast_corrections_redis_rep1_20260612,s2sf12j2,fast_corrections,redis,120,10,0.5,0,0,4911,3094.070134,4081.751146,4175.0142117000005,4202.99599,3094.2871466503766,630.3849697510219,2016.453022,2022.0368,2041.0001,2043.78922,2045.7703,2022.2886979433924,9.444454091600557,2003.5264,1070.591597,2063.967396,2161.5112723,2190.41669,1071.480779169212,630.1710846251775,7.70114,4911,4911,4911,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.0
s4_s2sf12j2_high_frequency_kafka_rep1_20260612,s2sf12j2,high_frequency,kafka,120,10,2.0,0,0,4911,5014.933789,7889.886135000001,8167.265442999999,8232.85609,5041.94174683364,1797.646332449962,2011.617034,2006.4427,2006.6636,2006.76786,2007.1045,2006.457596355121,0.1091578448560515,2005.6765,3007.294689,5882.428735,6159.289292999999,6225.08129,3034.17388006516,1797.7191126776197,3.589834,4911,4911,4911,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.5023416819385054
s4_s2sf12j2_high_frequency_redis_rep1_20260612,s2sf12j2,high_frequency,redis,120,10,2.0,0,0,4911,3009.762803,4231.639646,4328.6597875,4359.05709,3054.700041600489,692.556165566524,2021.858622,2017.8362,2164.652,2166.00094,2166.8071,2045.3021427815104,51.01755037995215,2012.2428,992.500903,2066.274473,2162.4227478,2191.89299,1008.8856342089188,670.599051828893,4.049667,4911,4911,4911,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.0
s4_s2sf12j2_high_speedup_kafka_rep1_20260612,s2sf12j2,high_speedup,kafka,240,50,2.0,0,0,4554,5246.140568000001,8037.165697349999,8284.66937486,8349.032345,5241.510605623847,1800.6020686967142,2014.45912,2006.19665,2006.387105,2006.592214,2007.637,2006.213393302591,0.1185216562709551,2005.6813,3238.643987,6029.641662349999,6276.97915986,6341.762145,3234.0130483115945,1800.6935951122582,5.89912,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.5393061045234958
s4_s2sf12j2_high_speedup_redis_rep1_20260612,s2sf12j2,high_speedup,redis,240,50,2.0,0,0,4554,3174.336083,4239.3623307,4329.72500891,4354.313545,3177.988246928195,681.9187977558315,2026.322872,2014.3823,2031.53387,2035.811604,2037.84,2016.7500719148004,5.67975574178359,2009.625,1160.071583,2215.9073557,2311.18102334,2335.967645,1160.7428122773383,679.088493381284,2.970268,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.0
s4_s2sf12j2_long_delay_kafka_rep1_20260612,s2sf12j2,long_delay,kafka,120,50,5.0,0,0,4554,5025.9033655,7757.77727605,7993.4595532,8055.62459,5034.390785092665,1740.1155419470954,1997.680522,2001.5577,2001.721505,2001.876739,2003.8303,2001.572949868248,0.1179226814016681,2001.0003,3022.7372155000003,5755.20277605,5990.7279878,6052.81629,3031.5460098401404,1740.1785302469568,-5.575578,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,0.999560825647782,0.5041721563460694
s4_s2sf12j2_long_delay_redis_rep1_20260612,s2sf12j2,long_delay,redis,120,50,5.0,0,0,4554,3084.6542465,4074.279072,4161.055757300001,4188.82839,3091.77280865437,631.6831410646415,2002.283918,2018.02755,2019.789445,2021.408107,2025.68,2018.0819162274925,1.1418869633673066,2013.4971,1066.0852675,2055.6322627,2141.13702597,2168.35389,1073.1897453473869,631.7687911622075,-13.340382,4554,4554,4554,data/processed/replay_plans/s2sf12j2/combined_plan.csv,600,1.0,1.0,1.0,1.0,1.0,0.0
