row_idx,match_id,event_id,period,minute,second,t_sim_seconds,t_emit_offset_s,event_type,team,player,timestamp,possession
0,3895107,84fbca7e-c79e-4f67-8026-4c9578366292,1,0,0,0,0.0,Starting XI,Bayer Leverkusen,,00:00:00.000,1
1,3895107,b4bd630b-4e82-4f31-8947-17beb238dc5a,1,0,0,0,0.0,Starting XI,FC Köln,,00:00:00.000,1
2,3895107,6810c39c-8726-412f-b831-62dfec867465,1,0,0,0,0.0,Half Start,Bayer Leverkusen,,00:00:00.000,1
3,3895107,a549d56e-c626-419f-9244-ad813ec8e559,1,0,0,0,0.0,Half Start,FC Köln,,00:00:00.000,1
4,3895107,cc3b6a56-e194-4ce6-901d-a4f84177e81b,1,0,0,0,0.0,Pass,FC Köln,Davie Selke,00:00:00.443,2
5,3895107,e03021cc-80c5-4ac6-909e-903dca845ee3,1,0,0,0,0.0,Ball Receipt*,FC Köln,Dejan Ljubicic,00:00:00.972,2
6,3895107,f3dfb8ef-6678-493f-bbce-99f9678b7f75,1,0,0,0,0.0,Carry,FC Köln,Dejan Ljubicic,00:00:00.972,2
7,3895107,8d4e66c1-7ddb-4e75-b89f-bdb0592be264,1,0,1,1,0.008333333333333333,Pass,FC Köln,Dejan Ljubicic,00:00:01.031,2
8,3895107,080124d4-8c99-46a5-aaf3-9a935ccd1248,1,0,2,2,0.016666666666666666,Ball Receipt*,FC Köln,Eric Martel,00:00:02.231,2
9,3895107,f9a9b240-dc0d-49e8-b72a-ec081b4c2bf3,1,0,2,2,0.016666666666666666,Carry,FC Köln,Eric Martel,00:00:02.231,2
10,3895107,e5f7cd6e-b6e9-4538-96f5-380ee1534325,1,0,2,2,0.016666666666666666,Pass,FC Köln,Eric Martel,00:00:02.584,2
11,3895107,c5dd24ba-9256-48e3-b852-121bc71914e3,1,0,3,3,0.025,Ball Receipt*,FC Köln,Timo Hübers,00:00:03.928,2
12,3895107,3114849f-6506-405c-bb4d-71ba30905d5e,1,0,3,3,0.025,Carry,FC Köln,Timo Hübers,00:00:03.928,2
13,3895107,b8c2ef59-5a72-4382-8d37-ef532f1ba623,1,0,4,4,0.03333333333333333,Pass,FC Köln,Timo Hübers,00:00:04.785,2
14,3895107,e8a7f299-6faa-4914-bcdf-2e44131ed85c,1,0,6,6,0.05,Ball Receipt*,FC Köln,Marvin Schwäbe,00:00:06.785,2
15,3895107,7ddab21c-8faf-4fbc-a290-a2cdb40b7df7,1,0,6,6,0.05,Carry,FC Köln,Marvin Schwäbe,00:00:06.785,2
16,3895107,66cebf02-2ea6-4c35-a551-862b09130220,1,0,12,12,0.1,Pass,FC Köln,Marvin Schwäbe,00:00:12.323,2
17,3895107,e295f3e0-e0cc-4adc-91fa-062599b27d25,1,0,13,13,0.10833333333333334,Ball Receipt*,FC Köln,Julian Chabot,00:00:13.923,2
18,3895107,d79cf0c7-e0cd-4718-a96e-2b06b1cb0bed,1,0,13,13,0.10833333333333334,Carry,FC Köln,Julian Chabot,00:00:13.923,2
19,3895107,8d671e50-4b4d-4fcc-be94-351d53828756,1,0,15,15,0.125,Pass,FC Köln,Julian Chabot,00:00:15.727,2
20,3895107,c6cba519-72a4-4c6a-a204-27bb2809348d,1,0,18,18,0.15,Ball Receipt*,FC Köln,Davie Selke,00:00:18.305,2
21,3895107,0419e708-847b-4ff2-a6f7-50031b3683e4,1,0,18,18,0.15,Pass,Bayer Leverkusen,Jonathan Tah,00:00:18.305,3
22,3895107,4acda0ae-ebda-4589-806c-c3233063335e,1,0,19,19,0.15833333333333333,Pressure,FC Köln,Eric Martel,00:00:19.143,3
23,3895107,95573a25-89e1-4453-899f-9231016295df,1,0,19,19,0.15833333333333333,Ball Receipt*,Bayer Leverkusen,Jonas Hofmann,00:00:19.633,3
24,3895107,82b43325-f1c1-48f8-8a96-f447e73e0014,1,0,19,19,0.15833333333333333,Carry,Bayer Leverkusen,Jonas Hofmann,00:00:19.633,3
25,3895107,91c869e1-262b-4223-89b4-903cf7e9b527,1,0,20,20,0.16666666666666666,Pressure,FC Köln,Faride Alidou,00:00:20.436,3
26,3895107,91e88312-848a-47f2-8871-b71be8bb172c,1,0,20,20,0.16666666666666666,Pass,Bayer Leverkusen,Jonas Hofmann,00:00:20.701,3
27,3895107,377feb38-fa03-4b29-bb7f-2cfbb3baf194,1,0,21,21,0.175,Ball Receipt*,Bayer Leverkusen,Jonathan Tah,00:00:21.790,3
28,3895107,d0a1094c-65af-4a38-8aa7-a18ff8210a8e,1,0,21,21,0.175,Carry,Bayer Leverkusen,Jonathan Tah,00:00:21.790,3
29,3895107,13033282-511b-44a2-bdfb-112ad4f2cbe2,1,0,22,22,0.18333333333333332,Pass,Bayer Leverkusen,Jonathan Tah,00:00:22.813,3
30,3895107,0ff21259-8e4f-4ca9-b2f0-eeca108eaf72,1,0,23,23,0.19166666666666668,Ball Receipt*,Bayer Leverkusen,Odilon Kossonou,00:00:23.630,3
31,3895107,0330715d-3ebb-4144-b556-11d9aea021f7,1,0,23,23,0.19166666666666668,Carry,Bayer Leverkusen,Odilon Kossonou,00:00:23.630,3
32,3895107,13f2f67e-ce8a-45c1-91d1-965bd994230e,1,0,23,23,0.19166666666666668,Pressure,FC Köln,Faride Alidou,00:00:23.724,3
33,3895107,dcc91b79-7910-496f-853c-e3a279361c9c,1,0,24,24,0.2,Pass,Bayer Leverkusen,Odilon Kossonou,00:00:24.331,3
34,3895107,197edbf9-491f-48e7-b569-16790aa29662,1,0,25,25,0.20833333333333334,Ball Receipt*,Bayer Leverkusen,Jeremie Frimpong,00:00:25.597,3
35,3895107,8cbf25e7-f76d-430e-b1c7-4b5c77f460f1,1,0,25,25,0.20833333333333334,Carry,Bayer Leverkusen,Jeremie Frimpong,00:00:25.597,3
36,3895107,4a4a7e44-43c5-44e2-bf4c-ca1637daea87,1,0,26,26,0.21666666666666667,Pressure,FC Köln,Florian Kainz,00:00:26.029,3
37,3895107,b812268f-ce7d-4b17-9ad2-f38e50908694,1,0,26,26,0.21666666666666667,Dribble,Bayer Leverkusen,Jeremie Frimpong,00:00:26.430,3
38,3895107,984ac2c7-33e7-43ac-8152-f88bdf9bcb40,1,0,26,26,0.21666666666666667,Duel,FC Köln,Florian Kainz,00:00:26.430,3
39,3895107,2c82e5ca-792d-4700-8f46-ad27ebbb3545,1,0,26,26,0.21666666666666667,Block,FC Köln,Leart Paqarada,00:00:26.905,3
40,3895107,12eedca2-420b-4b01-a81d-12b847d2f8a6,1,0,27,27,0.225,Pressure,Bayer Leverkusen,Jeremie Frimpong,00:00:27.545,3
41,3895107,b343f95e-f220-4957-afda-b760c0859784,1,0,27,27,0.225,Pass,FC Köln,Leart Paqarada,00:00:27.680,3
42,3895107,2e41f9b8-5553-4025-bfb2-90dc50a9013a,1,0,28,28,0.23333333333333334,Pressure,Bayer Leverkusen,Jonathan Tah,00:00:28.522,3
43,3895107,78f5f9b2-8e23-4ed5-bc21-6cb65b4bfecd,1,0,28,28,0.23333333333333334,Ball Receipt*,FC Köln,Davie Selke,00:00:28.752,3
44,3895107,d0c9136b-fb00-4bfe-bd7f-3b3dbdc6992c,1,0,28,28,0.23333333333333334,Carry,FC Köln,Davie Selke,00:00:28.752,3
45,3895107,9279e24a-1872-4df5-9f01-bb6acffcaaf3,1,0,28,28,0.23333333333333334,Miscontrol,FC Köln,Davie Selke,00:00:28.850,3
46,3895107,79692146-523d-48d7-bb97-a2bfe9215a4c,1,0,28,28,0.23333333333333334,Block,Bayer Leverkusen,Jonathan Tah,00:00:28.985,3
47,3895107,45e61b15-c483-49fa-8a40-525424f6f0fd,1,0,29,29,0.24166666666666667,Ball Recovery,Bayer Leverkusen,Granit Xhaka,00:00:29.443,3
48,3895107,15787cdd-9935-4bff-b68c-760a497af7cc,1,0,29,29,0.24166666666666667,Carry,Bayer Leverkusen,Granit Xhaka,00:00:29.443,3
49,3895107,bab99ff3-3588-4401-a890-bdf6608b9a48,1,0,32,32,0.26666666666666666,Pass,Bayer Leverkusen,Granit Xhaka,00:00:32.757,3
50,3895107,5452081a-96f0-4852-86c5-8e0190c4ce6c,1,0,33,33,0.275,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:00:33.439,3
51,3895107,db85ec6b-1a44-4182-96fb-36516fe277aa,1,0,33,33,0.275,Carry,Bayer Leverkusen,Florian Wirtz,00:00:33.439,3
52,3895107,db104f0b-4bee-4708-8598-d5233acbfd34,1,0,34,34,0.2833333333333333,Pressure,FC Köln,Eric Martel,00:00:34.231,3
53,3895107,191352f4-b6b1-4676-bb29-03561c51730b,1,0,38,38,0.31666666666666665,Shot,Bayer Leverkusen,Florian Wirtz,00:00:38.355,3
54,3895107,f85aeff4-b9ad-4127-9dd6-ee22d8df6683,1,0,39,39,0.325,Goal Keeper,FC Köln,Marvin Schwäbe,00:00:39.052,3
55,3895107,92b772f2-c273-4ec4-a7e2-3d09c1452965,1,0,41,41,0.3416666666666667,Clearance,FC Köln,Rasmus Carstensen,00:00:41.269,3
56,3895107,e2fec3bf-0acb-49b9-9afa-4d4a4ecce0c1,1,0,41,41,0.3416666666666667,Block,Bayer Leverkusen,Alejandro Grimaldo García,00:00:41.492,3
57,3895107,88b6503f-b7ef-4671-8e00-5ce2fc49c9f7,1,0,42,42,0.35,Clearance,FC Köln,Timo Hübers,00:00:42.495,3
58,3895107,fac5aea2-5596-489a-968e-56f16712940d,1,0,49,49,0.4083333333333333,Pass,Bayer Leverkusen,Exequiel Alejandro Palacios,00:00:49.862,4
59,3895107,2776e660-6018-41ee-a851-c1d3110acce6,1,0,50,50,0.4166666666666667,Ball Receipt*,Bayer Leverkusen,Florian Wirtz,00:00:50.829,4
60,3895107,fd3aeff8-4268-476c-9189-7980aa44e693,1,0,50,50,0.4166666666666667,Carry,Bayer Leverkusen,Florian Wirtz,00:00:50.829,4
61,3895107,77377af1-c630-4e85-8bdb-0ca5557b3287,1,0,51,51,0.425,Pass,Bayer Leverkusen,Florian Wirtz,00:00:51.128,4
62,3895107,ee90bada-1c6b-428a-aacb-049c3b7d8627,1,0,51,51,0.425,Ball Receipt*,Bayer Leverkusen,Exequiel Alejandro Palacios,00:00:51.701,4
