run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms,schedlag_p50_ms,schedlag_p95_ms,schedlag_p99_ms,schedlag_max_ms,tti_miss_100ms,schedlag_miss_100ms,tti_miss_250ms,schedlag_miss_250ms,tti_miss_500ms,schedlag_miss_500ms,tti_miss_1000ms,schedlag_miss_1000ms,tti_miss_2000ms,schedlag_miss_2000ms,tti_miss_5000ms,schedlag_miss_5000ms
s2sf12j2_kafka_rep1_20260611_223638,kafka,4465,4465,4465,6286.221388,10197.449533,10545.473239719999,10635.86829,2005.4437,2005.71868,2005.94616,2016.7026,4278.615557,8190.0914729999995,8538.35006372,8628.90469,1.0,0.9997760358342666,1.0,0.9852183650615901,1.0,0.9527435610302352,1.0,0.8891377379619261,1.0,0.7619260918253079,0.6463605823068309,0.4167973124300112
s2sf12j2_kafka_rep2_20260611_223804,kafka,4465,4465,4465,6234.118057,10104.710653,10440.885367719999,10532.53929,2018.0132,2018.28486,2018.490212,2019.2744,4214.254488,8084.953793,8421.458807719999,8512.60259,1.0,0.9997760358342666,1.0,0.9843225083986562,1.0,0.9520716685330347,1.0,0.8882418812989922,1.0,0.7576707726763717,0.6441209406494961,0.4049272116461366
s2sf12j2_kafka_rep3_20260611_223930,kafka,4465,4465,4465,6290.507588,10107.154773,10457.74237572,10546.74999,2012.2928,2012.5701800000002,2012.808268,2022.9591,4276.633888,8093.0136729999995,8443.829179719998,8533.15129,1.0,0.9997760358342666,1.0,0.9832026875699889,1.0,0.9520716685330347,1.0,0.8891377379619261,1.0,0.7668533034714445,0.6506159014557671,0.41590145576707727
s2sf12j2_kafka_rep4_20260611_224056,kafka,4465,4465,4465,6243.583888,10324.301493,10697.155231719998,10786.48169,2013.5521,2013.8103800000001,2014.028312,2029.7517,4228.462588,8309.026313,8681.755671719999,8771.51259,1.0,0.9997760358342666,1.0,0.9836506159014557,1.0,0.9520716685330347,1.0,0.8911534154535274,1.0,0.7623740201567749,0.6441209406494961,0.41142217245240764
s2sf12j2_kafka_rep5_20260611_224223,kafka,4465,4465,4465,6516.486557,10585.976313000001,10935.678209159998,11025.19019,2009.7126,2009.96268,2010.127252,2010.3385,4504.972888,8574.670593,8924.240131719998,9013.81209,1.0,0.9997760358342666,1.0,0.987010078387458,1.0,0.9576707726763718,1.0,0.8992161254199328,1.0,0.7773796192609183,0.6647256438969765,0.44456886898096304
s2sf12j2_redis_rep1_20260611_223725,redis,4465,4465,4465,3298.336358,4447.976543,4554.51984608,4587.00059,2015.5876,2019.26576,2021.141124,2021.9882,1278.632389,2438.1401115999997,2541.74406124,2574.07149,1.0,0.9702127659574468,1.0,0.9139977603583427,1.0,0.8183650615901455,1.0,0.6132138857782755,1.0,0.21769316909294512,0.0,0.0
s2sf12j2_redis_rep2_20260611_223851,redis,4465,4465,4465,3382.295089,4550.7134844,4660.28974208,4692.96879,2017.3085,2024.27268,2026.213388,2027.6457,1363.420389,2534.8404452,2645.4444140799997,2677.80149,1.0,0.9726763717805151,1.0,0.9166853303471445,1.0,0.8219484882418813,1.0,0.625531914893617,1.0,0.25263157894736843,0.0,0.0
s2sf12j2_redis_rep3_20260611_224018,redis,4465,4465,4465,3325.476889,4502.1301052,4610.68445324,4642.72819,2022.0179,2025.54196,2028.043896,2030.2241,1301.729589,2483.6432052,2592.7062092399997,2625.35389,1.0,0.9717805151175812,1.0,0.916013437849944,1.0,0.8201567749160135,1.0,0.6192609182530795,1.0,0.2338185890257559,0.0,0.0
s2sf12j2_redis_rep4_20260611_224144,redis,4465,4465,4465,3335.55933,4548.1378251999995,4657.96576608,4689.73729,2022.9414,2027.13696,2028.1772879999999,2029.9674,1308.550889,2529.1217076,2639.49738012,2671.86219,1.0,0.973124300111982,1.0,0.9175811870100784,1.0,0.8230683090705487,1.0,0.6262038073908175,1.0,0.24568868980963046,0.0,0.0
s2sf12j2_redis_rep5_20260611_224311,redis,4465,4465,4465,3286.112689,4451.4340874,4558.76496668,4590.97389,2011.0113,2017.3199,2019.886436,2021.0878,1273.934289,2443.9806192,2550.33344492,2582.51009,1.0,0.9711086226203808,1.0,0.9139977603583427,1.0,0.8154535274356103,1.0,0.6103023516237402,1.0,0.2154535274356103,0.0,0.0
