run,n_corrections,n_base_events,n_base_events_with_corrections,correction_propagation_latency_ms,inconsistency_duration_ms,correction_planned_to_consume_latency_ms
s3_s1_kafka_rep1_20260612,45,2289,45,"{'p50': 175.7321, 'p95': 1618.9863199999998, 'p99': 1759.0154640000003, 'max': 1793.6278, 'mean': 500.1187222222222, 'std': 593.1419313403177, 'min': 1.4912, 'count': 45}","{'p50': 175.7321, 'p95': 1618.9863199999998, 'p99': 1759.0154640000003, 'max': 1793.6278, 'mean': 500.1187222222222, 'std': 593.1419313403177, 'min': 1.4912, 'count': 45}","{'p50': 2059.484689, 'p95': 3505.7392981999997, 'p99': 3644.22136648, 'max': 3676.645289, 'mean': 2434.2655317555555, 'std': 537.5234633908457, 'min': 2026.972634, 'count': 45}"
s3_s1_redis_rep1_20260612,45,2289,45,"{'p50': 1347.3107, 'p95': 1920.1931799999998, 'p99': 1969.798696, 'max': 1982.0259, 'mean': 1351.0041311111113, 'std': 371.5736528613069, 'min': 726.1341, 'count': 45}","{'p50': 1347.3107, 'p95': 1920.1931799999998, 'p99': 1969.798696, 'max': 1982.0259, 'mean': 1351.0041311111113, 'std': 371.5736528613069, 'min': 726.1341, 'count': 45}","{'p50': 2037.011678, 'p95': 2042.745498, 'p99': 2043.22717788, 'max': 2043.296312, 'mean': 2036.6499273111112, 'std': 4.193455892741198, 'min': 2027.937689, 'count': 45}"
s3_s1_kafka_rep2_20260612,45,2289,45,"{'p50': 2.9894, 'p95': 1604.4882399999997, 'p99': 1755.7432880000001, 'max': 1795.4037, 'mean': 434.1370311111111, 'std': 585.794948425226, 'min': 1.866, 'count': 45}","{'p50': 2.9894, 'p95': 1604.4882399999997, 'p99': 1755.7432880000001, 'max': 1795.4037, 'mean': 434.1370311111111, 'std': 585.794948425226, 'min': 1.866, 'count': 45}","{'p50': 2231.986089, 'p95': 4165.6360382, 'p99': 4339.19343048, 'max': 4382.029689, 'mean': 2692.486933977778, 'std': 774.2689259779222, 'min': 2034.417734, 'count': 45}"
s3_s1_redis_rep2_20260612,45,2289,45,"{'p50': 1262.2706, 'p95': 1880.75612, 'p99': 1943.0788920000002, 'max': 1957.3231, 'mean': 1263.3108755555554, 'std': 401.6502434174043, 'min': 589.6996, 'count': 45}","{'p50': 1262.2706, 'p95': 1880.75612, 'p99': 1943.0788920000002, 'max': 1957.3231, 'mean': 1263.3108755555554, 'std': 401.6502434174043, 'min': 589.6996, 'count': 45}","{'p50': 2033.876989, 'p95': 2038.0015896, 'p99': 2038.280937, 'max': 2038.439689, 'mean': 2033.6736873111113, 'std': 2.6636271194644268, 'min': 2028.317689, 'count': 45}"
s3_s1_kafka_rep3_20260612,45,2289,45,"{'p50': 3.1396, 'p95': 1594.7630999999997, 'p99': 1757.7951480000002, 'max': 1799.4206, 'mean': 419.96098222222224, 'std': 581.0327993976505, 'min': 2.107, 'count': 45}","{'p50': 3.1396, 'p95': 1594.7630999999997, 'p99': 1757.7951480000002, 'max': 1799.4206, 'mean': 419.96098222222224, 'std': 581.0327993976505, 'min': 2.107, 'count': 45}","{'p50': 2299.476989, 'p95': 4311.3014182, 'p99': 4489.08163048, 'max': 4533.507389, 'mean': 2757.292967311111, 'std': 835.6812333679266, 'min': 2034.358534, 'count': 45}"
s3_s1_redis_rep3_20260612,45,2289,45,"{'p50': 1255.6911, 'p95': 1891.41474, 'p99': 1950.0917200000001, 'max': 1964.4201, 'mean': 1257.8693733333334, 'std': 413.80858532946115, 'min': 556.9224, 'count': 45}","{'p50': 1255.6911, 'p95': 1891.41474, 'p99': 1950.0917200000001, 'max': 1964.4201, 'mean': 1257.8693733333334, 'std': 413.80858532946115, 'min': 556.9224, 'count': 45}","{'p50': 2037.142723, 'p95': 2039.9999336, 'p99': 2040.1715648, 'max': 2040.270589, 'mean': 2036.7311606444448, 'std': 2.2556340355934044, 'min': 2031.581789, 'count': 45}"
s3_s1_kafka_rep4_20260612,45,2289,45,"{'p50': 130.6225, 'p95': 1632.1323199999997, 'p99': 1765.785916, 'max': 1799.7423, 'mean': 497.0839755555556, 'std': 601.5855636504933, 'min': 1.6022, 'count': 45}","{'p50': 130.6225, 'p95': 1632.1323199999997, 'p99': 1765.785916, 'max': 1799.7423, 'mean': 497.0839755555556, 'std': 601.5855636504933, 'min': 1.6022, 'count': 45}","{'p50': 2053.366289, 'p95': 3612.1522781999997, 'p99': 3750.91917048, 'max': 3785.017689, 'mean': 2467.5846206444444, 'std': 572.7492770989461, 'min': 2028.044134, 'count': 45}"
s3_s1_redis_rep4_20260612,45,2289,45,"{'p50': 1349.2174, 'p95': 1917.77448, 'p99': 1968.3300040000001, 'max': 1980.9221, 'mean': 1353.0076866666666, 'std': 367.7424491808615, 'min': 733.3574, 'count': 45}","{'p50': 1349.2174, 'p95': 1917.77448, 'p99': 1968.3300040000001, 'max': 1980.9221, 'mean': 1353.0076866666666, 'std': 367.7424491808615, 'min': 733.3574, 'count': 45}","{'p50': 2037.050623, 'p95': 2042.4796895999998, 'p99': 2042.78359388, 'max': 2042.819112, 'mean': 2036.6655428666663, 'std': 3.969760386847169, 'min': 2028.460889, 'count': 45}"
s3_s1_kafka_rep5_20260612,45,2289,45,"{'p50': 186.699, 'p95': 1647.8603199999998, 'p99': 1772.4194080000002, 'max': 1804.681, 'mean': 513.9380933333334, 'std': 605.7824012017503, 'min': 1.6192, 'count': 45}","{'p50': 186.699, 'p95': 1647.8603199999998, 'p99': 1772.4194080000002, 'max': 1804.681, 'mean': 513.9380933333334, 'std': 605.7824012017503, 'min': 1.6192, 'count': 45}","{'p50': 2078.311789, 'p95': 3547.4027382, 'p99': 3694.0897864800004, 'max': 3732.905589, 'mean': 2446.1906406444446, 'std': 538.4011252055361, 'min': 2044.635734, 'count': 45}"
s3_s1_redis_rep5_20260612,45,2289,45,"{'p50': 1340.9735, 'p95': 1906.7454, 'p99': 1957.461356, 'max': 1970.2885, 'mean': 1340.8342644444444, 'std': 370.8462013153001, 'min': 716.2212, 'count': 45}","{'p50': 1340.9735, 'p95': 1906.7454, 'p99': 1957.461356, 'max': 1970.2885, 'mean': 1340.8342644444444, 'std': 370.8462013153001, 'min': 716.2212, 'count': 45}","{'p50': 2030.604489, 'p95': 2035.2034964, 'p99': 2035.495737, 'max': 2035.601689, 'mean': 2029.912411755555, 'std': 3.634889357840567, 'min': 2021.928989, 'count': 45}"
