backend,config,count,avg_tti_p50,avg_tti_p95,avg_tti_mean,total_producer_events,total_consumer_events,match_rate,speedup,corrections_every_k,correction_delay_s,avg_kafka_avg_cpu,avg_kafka_peak_mem,avg_kafka_avg_mem,avg_redis_peak_cpu,avg_system_avg_cpu,avg_system_peak_cpu,avg_redis_avg_mem,avg_sample_count,avg_speedup,avg_kafka_peak_cpu,avg_redis_avg_cpu,avg_redis_peak_mem
kafka,baseline,2,3858.925445,5416.4863739249995,3860.993154785546,5149,5149,1.0,120.0,50.0,2.0,1.6549999999999998,1115.65,1114.77,0.25,19.32,22.3,124.98,9.0,120.0,1.875,0.23,125.0
kafka,fast_corrections,2,5176.5565445,7932.962998499999,5174.978155466402,9822,9822,1.0,120.0,10.0,0.5,4.1,1118.21,1118.08,0.24,19.54,26.3,129.8,5.0,120.0,16.330000000000002,0.225,129.8
kafka,high_frequency,2,3767.0582302499997,5366.14411725,3762.672113449288,5553,5553,1.0,120.0,10.0,2.0,1.57,1116.16,1116.16,0.24,17.74,24.83,126.94999999999999,9.0,120.0,1.76,0.225,126.94999999999999
kafka,high_speedup,2,3872.541085,5432.935249525,3866.662080625377,5149,5149,1.0,240.0,50.0,2.0,1.635,1116.16,1116.16,0.245,19.1,27.25,126.19999999999999,9.0,240.0,1.8199999999999998,0.225,126.19999999999999
kafka,long_delay,2,5041.14329125,7842.2839231,5072.022383194664,9108,9108,1.0,120.0,50.0,5.0,2.58,1117.185,1116.37,0.245,18.82,25.51,128.26,10.5,120.0,17.435000000000002,0.225,128.3
kafka,low_frequency,2,3845.2979674999997,5367.9730180999995,3838.656211827589,5098,5098,1.0,120.0,100.0,2.0,1.65,1116.16,1116.16,0.265,18.13,22.39,127.75,9.5,120.0,1.91,0.23,127.75
redis,baseline,2,2631.8788784999997,3179.592483175,2628.9658946695336,5149,5149,1.0,120.0,50.0,2.0,1.545,1102.8449999999998,1102.8449999999998,0.26,17.77,18.87,126.025,8.0,120.0,1.66,0.235,126.15
redis,fast_corrections,2,3088.4803615,4077.9138675,3089.2669330473427,9822,9822,1.0,120.0,10.0,0.5,1.5,1104.9,1104.64,0.25,17.9,18.57,131.89999999999998,3.5,120.0,1.595,0.24,131.89999999999998
redis,high_frequency,2,2575.25397025,3242.777795,2592.342706059907,5553,5553,1.0,120.0,10.0,2.0,1.495,1103.36,1103.36,0.255,19.17,22.69,127.80000000000001,8.5,120.0,1.59,0.24,127.80000000000001
redis,high_speedup,2,2668.9651075,3278.547596225,2676.0924500205892,5149,5149,1.0,240.0,50.0,2.0,1.45,1103.875,1103.44,0.26,16.74,18.49,126.995,7.5,240.0,1.5899999999999999,0.25,127.0
redis,long_delay,2,3087.62319225,4043.272033225,3084.3249284625604,9108,9108,1.0,120.0,50.0,5.0,1.5,1103.875,1103.875,0.255,15.98,18.07,129.85,4.0,120.0,1.63,0.245,129.85
redis,low_frequency,2,3070.2448145,4007.2049027,3068.65122251996,9018,9018,1.0,120.0,100.0,2.0,1.555,1103.875,1103.875,0.25,16.33,16.84,131.3,3.5,120.0,1.69,0.25,131.3
