"run_id","backend","scenario","config","speedup","peak_kafka_cpu_pct","avg_kafka_cpu_pct","peak_kafka_mem_mib","avg_kafka_mem_mib","peak_redis_cpu_pct","avg_redis_cpu_pct","peak_redis_mem_mib","avg_redis_mem_mib","peak_system_cpu_pct","avg_system_cpu_pct"
"s5_s2sf12_baseline_kafka_rep1_20260612_185120","kafka","s2sf12","baseline","120","1.78","1.64","1115.14","1115.14","0.25","0.23","120.4","120.4","22.3","19.32"
"s5_s2sf12_baseline_redis_rep1_20260612_185207","redis","s2sf12","baseline","120","1.64","1.56","1101.82","1101.82","0.24","0.23","122.3","122.3","18.87","17.77"
"s5_s2sf12_high_speedup_kafka_rep1_20260612_185247","kafka","s2sf12","high_speedup","240","1.65","1.56","1116.16","1116.16","0.24","0.22","122.3","122.3","27.25","19.1"
"s5_s2sf12_high_speedup_redis_rep1_20260612_185334","redis","s2sf12","high_speedup","240","1.51","1.43","1102.85","1102.85","0.26","0.25","123.7","123.7","18.49","16.74"
"s5_s2sf12_high_frequency_kafka_rep1_20260612_185415","kafka","s2sf12","high_frequency","120","1.61","1.54","1116.16","1116.16","0.23","0.22","123.7","123.7","24.83","17.74"
"s5_s2sf12_high_frequency_redis_rep1_20260612_185503","redis","s2sf12","high_frequency","120","1.58","1.52","1102.85","1102.85","0.25","0.24","125.2","125.2","22.69","19.17"
"s5_s2sf12_low_frequency_kafka_rep1_20260612_185544","kafka","s2sf12","low_frequency","120","1.91","1.65","1116.16","1116.16","0.23","0.23","125.1","125.1","22.39","18.13"
"s5_s2sf12_low_frequency_redis_rep1_20260612_185630","redis","s2sf12","low_frequency","120","1.77","1.64","1102.85","1102.85","0.25","0.25","126.1","126.1","16.84","16.33"
"s5_s2sf12_long_delay_kafka_rep1_20260612_185711","kafka","s2sf12","long_delay","120","1.67","1.62","1116.16","1116.16","0.24","0.23","126.3","126.3","25.51","18.82"
"s5_s2sf12_long_delay_redis_rep1_20260612_185758","redis","s2sf12","long_delay","120","1.51","1.49","1102.85","1102.85","0.25","0.25","128","128","18.07","15.98"
"s5_s2sf12_fast_corrections_kafka_rep1_20260612_185842","kafka","s2sf12","fast_corrections","120","1.7","1.6","1118.21","1117.95","0.24","0.23","127.9","127.9","26.3","19.54"
"s5_s2sf12_fast_corrections_redis_rep1_20260612_185930","redis","s2sf12","fast_corrections","120","1.66","1.56","1104.9","1104.38","0.25","0.24","129.6","129.6","18.57","17.9"
