run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms,schedlag_p50_ms,schedlag_p95_ms,schedlag_p99_ms,schedlag_max_ms,tti_miss_100ms,schedlag_miss_100ms,tti_miss_250ms,schedlag_miss_250ms,tti_miss_500ms,schedlag_miss_500ms,tti_miss_1000ms,schedlag_miss_1000ms,tti_miss_2000ms,schedlag_miss_2000ms,tti_miss_5000ms,schedlag_miss_5000ms
s2sf12_kafka_rep1_20251231_003409,kafka,40660,40660,40660,266.587966,575.7586848999999,622.5274736399998,677.180237,0.9663545,1.2178184499999998,1.4400834399999967,96.822331,265.5719235,574.7644868999998,621.4291747999996,675.983102,0.8277914412198721,0.8269798327594687,0.5290949335956714,0.5274225282833251,0.1176340383669454,0.11667486473192326,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep1_20251231_161447,kafka,40660,40660,40660,634.6239344999999,2428.3162782,2548.85345153,2606.192234,1.033341,1.30322715,1.6387033999999998,96.686118,633.5363935,2427.2200058,2547.69201669,2605.246931,0.8506148548942449,0.8496556812592229,0.7003443187407772,0.6995818986719134,0.584628627643876,0.5837432365961633,0.44303984259714707,0.4426955238563699,0.14680275454992622,0.14638465322183963,0.0,0.0
s2sf12_kafka_rep2_20251231_004012,kafka,40660,40660,40660,107.0246425,262.87667634999997,292.27075944999996,315.33223,0.9364015,1.1291437999999996,1.2576372499999995,92.547933,106.11240000000001,261.9766625499999,291.34905545999993,314.268487,0.5226512543039843,0.5199458927693065,0.06286276438760452,0.06143630103295622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep2_20251231_162040,kafka,40660,40660,40660,173.4891845,434.03205069999996,487.37892660999995,516.840941,0.9719355000000001,1.17944625,1.3533446799999984,94.992682,172.4989725,433.032221,486.42695610999994,515.863425,0.6840629611411707,0.6818494835218888,0.37009345794392523,0.36851942941465815,0.0040088539104771274,0.003762911952779144,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep3_20251231_004613,kafka,40660,40660,40660,216.9411125,381.0131388,424.18330330999976,478.234296,0.9571194999999999,1.19191205,1.4081032299999996,90.748336,215.970479,380.11991234999994,423.14901111999995,477.390425,0.6816527299557305,0.6801770782095425,0.4133792424987703,0.4100590260698475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep3_20251231_162632,kafka,40660,40660,40660,825.245251,1363.7537511500002,1419.88067686,1444.724582,1.0082075000000001,1.3297455999999996,1.6274027299999916,93.104388,824.2427485000001,1362.7892324499999,1418.8547495999999,1443.843067,0.9879980324643384,0.9878750614854894,0.9360304968027545,0.9359075258239056,0.8739547466797836,0.8737088047220856,0.21689621249385146,0.21660108214461388,0.0,0.0,0.0,0.0
s2sf12_kafka_rep4_20251231_005215,kafka,40660,40660,40660,217.943127,594.0312275499998,635.4790309399999,656.735851,0.9614404999999999,1.1909016499999996,1.424999409999991,87.817389,217.005421,593.1007552999998,634.53738951,655.713571,0.7649532710280373,0.762444663059518,0.3937284800787014,0.3912936546974914,0.15988686669945892,0.15843580914904082,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep4_20251231_163228,kafka,40660,40660,40660,97.2654095,334.08249534999993,371.38390058999994,396.046434,0.9559605,1.15670315,1.3123597799999982,91.022711,96.30238,333.16320419999977,370.46162157999987,395.111159,0.49183472700442693,0.48898180029513033,0.17668470241023118,0.1750614854894245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep5_20251231_005817,kafka,40660,40660,40660,230.106662,397.29848354999984,434.14634735999977,484.812421,0.9655720000000001,1.1839834,1.3797445599999996,87.446739,229.08824800000002,396.3353570999994,433.05426589999985,483.924258,0.7449335956714216,0.7431628135759961,0.4419822921790457,0.438539104771274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep5_20251231_163823,kafka,40660,40660,40660,110.279645,381.9372239499999,472.4903760499998,492.700795,0.9507585000000001,1.14964815,1.2875764599999966,93.86396,109.30749449999999,381.03901815,471.4849265999998,491.858362,0.5432611903590753,0.5397688145597639,0.20641908509591736,0.20548450565666504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep1_20251231_010431,kafka,40660,40660,40660,375.3049815,701.1184939499998,778.1201089699999,843.03183,0.9593185,1.1801253499999997,1.4029434899999966,91.241567,374.3457465,700.1831536499999,777.19438409,842.025588,0.9429906542056075,0.9423020167240531,0.750122970978849,0.748893261190359,0.26242006886374813,0.26072306935563205,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep1_20251231_164421,kafka,40660,40660,40660,273.253652,462.47137234999985,523.9784775599994,607.392339,0.9458709999999999,1.1428147499999999,1.2900135999999995,93.072294,272.3151245,461.47231124999973,523.1165268599999,606.637274,0.9016724053123463,0.900614854894245,0.5805951795376291,0.5781357599606493,0.021372356123954748,0.02102803738317757,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep2_20251231_011033,kafka,40660,40660,40660,424.1614045,1053.2656705999998,1238.5756146499998,1340.040252,0.9688095,1.2276188999999993,1.5251434099999999,90.408928,423.183541,1052.2056397999995,1237.4363849099996,1338.861395,0.9364977865223807,0.9358829316281357,0.7799803246433842,0.7783817019183473,0.3838170191834727,0.38231677324151503,0.0647319232661092,0.06448598130841121,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep2_20251231_165017,kafka,40660,40660,40660,605.1841099999999,1342.8530527499995,1469.2972127099997,1531.782764,0.9945174999999999,1.3994266499999994,1.7882406799999926,91.041049,604.1554195,1341.69169885,1468.38068901,1531.007859,0.9870388588293163,0.9868912936546975,0.9345794392523364,0.9342105263157895,0.6813575996064929,0.6797589768814559,0.16642892277422527,0.1660846040334481,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep3_20251231_011635,kafka,40660,40660,40660,442.91691749999995,735.2680798499996,824.9033488099999,881.639928,0.9727375,1.2507623499999998,1.5499679699999924,89.898747,441.91602650000004,734.2726633499999,823.9498311199999,880.591447,0.9655435317265125,0.9651992129857354,0.8401623216920807,0.8387604525332022,0.39926217412690607,0.39746679783571076,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep3_20251231_165614,kafka,40660,40660,40660,343.32729099999995,582.9348545999999,702.5942947799999,803.065043,0.9542535,1.1598421499999998,1.3529535399999963,93.024887,342.37321699999995,581.9628666499999,701.65618237,801.917148,0.926955238563699,0.9264387604525331,0.717683226758485,0.715494343334973,0.17771765863256272,0.17545499262174127,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep4_20251231_012238,kafka,40660,40660,40660,451.8509505,1226.9007336499994,1366.4461024699988,1436.200667,0.9831995,1.3137415499999991,1.6564527199999985,92.38393,450.711645,1226.0283254999995,1365.467714409999,1435.225599,0.9602065912444663,0.9596901131333005,0.8104279390063945,0.808903098868667,0.4584358091490408,0.4572060993605509,0.16834727004426955,0.16795376291195277,0.0,0.0,0.0,0.0
s2sf12j2_kafka_rep4_20251231_170209,kafka,40660,40660,40660,319.16472799999997,556.2848287499999,607.6702817,672.770417,0.9583740000000001,1.1586661999999996,1.318379649999998,92.854829,318.20727850000003,555.32109485,606.77400366,671.837265,0.9101819970486965,0.9094441711756026,0.6682488932611904,0.6658140678799803,0.14631087063453024,0.14444171175602558,0.0,0.0,0.0,0.0,0.0,0.0
