run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms,schedlag_p50_ms,schedlag_p95_ms,schedlag_p99_ms,schedlag_max_ms,tti_miss_100ms,schedlag_miss_100ms,tti_miss_250ms,schedlag_miss_250ms,tti_miss_500ms,schedlag_miss_500ms,tti_miss_1000ms,schedlag_miss_1000ms,tti_miss_2000ms,schedlag_miss_2000ms,tti_miss_5000ms,schedlag_miss_5000ms
s2full_kafka_rep1_20251230_235643,kafka,40660,40660,40660,20038.271239499998,37100.48789099999,38674.66349783,39049.763731,0.9623265,1.1683548999999998,1.27978709,91.842067,20037.308568499997,37099.492858749996,38673.57255162,39048.824535,1.0,0.9999754058042302,0.9962370880472209,0.996212493851451,0.9897442203639941,0.9897196261682243,0.9765125430398426,0.9765125430398426,0.9502705361534678,0.950245941957698,0.8775700934579439,0.8775454992621742
s2full_kafka_rep2_20251231_000134,kafka,40660,40660,40660,20323.778823,38698.067174649994,40324.66967659,40719.835166,0.980445,1.2369769999999998,1.4465501599999993,91.450627,20322.788184,38697.03567325,40323.178390459994,40719.054665,1.0,0.9999754058042302,0.9963600590260698,0.9963354648303,0.9900393507132317,0.9900147565174618,0.9776684702410231,0.9776438760452533,0.952803738317757,0.9527791441219872,0.879513034923758,0.8794884407279882
s2full_kafka_rep3_20251231_000624,kafka,40660,40660,40660,19680.4786035,37180.659633699994,38813.8212504,39189.648179,0.9578875,1.1598513499999996,1.2926604399999977,91.016417,19679.5124995,37179.5866539,38812.77710083,39188.51178,1.0,0.9999754058042302,0.9963846532218397,0.9963600590260698,0.9900393507132317,0.9900147565174618,0.9773487456960157,0.977324151500246,0.9515986227250369,0.9515740285292671,0.8780865715691097,0.8780619773733399
s2full_kafka_rep4_20251231_001114,kafka,40660,40660,40660,18900.541576,35709.980194749995,37203.27804129999,37571.990258,0.9282315,1.1007945,1.1983606599999992,89.769803,18899.5010185,35709.0503328,37202.22570636,37571.036838,1.0,0.9999754058042302,0.9960895228726021,0.9960649286768323,0.9893999016232169,0.9893753074274472,0.9760452533202164,0.9760206591244466,0.9493605509099853,0.9493605509099853,0.87073290703394,0.8707083128381702
s2full_kafka_rep5_20251231_001602,kafka,40660,40660,40660,19944.201276,37590.33140585,39111.71595074,39478.635618,0.9515715,1.16864195,1.3350801199999995,90.891776,19943.177728000002,37589.3667877,39110.76199544,39477.844317,1.0,0.9999754058042302,0.9966797835710772,0.9966551893753074,0.9905558288243974,0.9905312346286277,0.9779636005902607,0.9779390063944909,0.952557796360059,0.9525332021642893,0.8772257747171668,0.877201180521397
s2full_redis_rep1_20251230_235924,redis,40660,40660,40660,7342.049529,13851.062764449998,14433.33582404,14569.727002,1.8775975,2.48097505,2.8324521399999942,5.53829,7340.5289085,13848.693356549997,14430.923090569999,14568.077389,0.994761436301033,0.9946384653221839,0.9845794392523365,0.9844564682734874,0.9674618789965568,0.9672651254303984,0.9334727004426955,0.9333497294638465,0.8662321692080669,0.866109198229218,0.6629365469749139,0.6628381701918348
s2full_redis_rep2_20251231_000417,redis,40660,40660,40660,7386.618568,14132.389427199998,14773.27492328,14909.053629,1.8440965,2.4730858999999996,2.9058380499999985,11.052964,7384.1809955,14130.209509299999,14770.848196989999,14907.37431,0.9950565666502705,0.9949335956714216,0.9849483521888834,0.9848007870142647,0.9682980816527299,0.9681997048696508,0.935120511559272,0.9349483521888834,0.8677816035415642,0.8676340383669454,0.6649532710280374,0.6648057058534186
s2full_redis_rep3_20251231_000905,redis,40660,40660,40660,7202.4911925,13588.368433599997,14166.780499269998,14301.261134,1.8182555,2.3678581,2.6632614399999985,4.23447,7200.9167990000005,13586.436656299999,14164.90131353,14298.821945,0.9948106246925725,0.9947368421052631,0.9846040334481062,0.9844810624692573,0.9674864731923266,0.9673389080177078,0.9330300049188391,0.9329316281357599,0.8642400393507133,0.8641170683718642,0.6570339399901624,0.6569355632070831
s2full_redis_rep4_20251231_001353,redis,40660,40660,40660,7181.9661925,13582.735440299999,14168.11314553,14301.194867,1.8985699999999999,2.5222428999999997,2.858887999999994,6.937552,7180.1159905,13581.0305292,14166.22344898,14299.534258,0.9945646827348745,0.9944663059517954,0.9843334972946385,0.9841859321200197,0.96706837186424,0.966945400885391,0.9328578455484505,0.9327348745696016,0.8636251844564683,0.8635268076733891,0.6560009837678308,0.6558780127889818
s2full_redis_rep5_20251231_001844,redis,40660,40660,40660,7288.476762,13776.628850449997,14358.712730419998,14494.876975,1.88516,2.52545655,2.9288940299999986,8.606585,7286.823927,13775.153926149998,14357.08167744,14493.04624,0.994761436301033,0.9946630595179538,0.9844564682734874,0.9843089030988686,0.96706837186424,0.966945400885391,0.932808657156911,0.932685686178062,0.8637973438268569,0.8636251844564683,0.6598376783079193,0.6597147073290703
