,,p50,p50,p95,p95,p99,p99,match_rate_pct,match_rate_pct,throughput_events_per_sec
,,mean,std,mean,std,mean,std,mean,min,mean
backend,scenario_name,,,,,,,,,
kafka,S1 (Simple),7280.2,3541.78,11906.93,6792.88,12316.43,7079.59,100.0,100.0,3.82
kafka,S2 (Full),12500.75,6766.77,21982.66,12791.56,22829.61,13330.39,100.0,100.0,7.8
kafka,S3 (Staleness),13914.04,7938.68,25366.16,15016.34,26449.48,15703.23,100.0,100.0,8.4
kafka,S4 (Parameter),12418.51,6970.48,21838.19,13248.43,22676.18,13800.03,100.0,100.0,7.44
kafka,S5 (Resource),11844.22,6656.77,20773.0,12617.33,21558.75,13140.3,100.0,100.0,7.44
redis,S1 (Simple),6665.31,8452.85,7691.58,8666.56,7780.76,8687.38,100.0,100.0,3.82
redis,S2 (Full),7896.08,8721.5,9986.08,9255.26,10169.64,9299.77,100.0,100.0,7.44
redis,S3 (Staleness),8357.21,8615.44,11768.22,9082.04,12116.77,9118.43,100.0,100.0,8.4
redis,S4 (Parameter),7935.19,8966.92,10017.95,9638.39,10207.82,9703.97,100.0,100.0,7.44
redis,S5 (Resource),7946.55,8858.92,10072.97,9519.94,10262.44,9579.34,100.0,100.0,7.44
