run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_215855_kafka_feed1_rep1,kafka,unknown,5,54.323919,107.26021979999999,1.147072,5.7408515,18.733453,507
concurrency_n5_20260721_215855_kafka_feed1_rep2,kafka,unknown,5,13.057633,113.3672898,1.361719,28.6787536,0.410876,507
concurrency_n5_20260721_215855_kafka_feed1_rep3,kafka,unknown,5,13.857156,101.4204536,1.018696,11.209913099999975,0.415203,507
concurrency_n5_20260721_215855_kafka_feed2_rep1,kafka,unknown,5,23.024775,105.99666339999999,1.152639,5.4562018,0.587301,425
concurrency_n5_20260721_215855_kafka_feed2_rep2,kafka,unknown,5,13.81979,98.63768579999982,1.08765,6.413093399999999,0.410201,425
concurrency_n5_20260721_215855_kafka_feed2_rep3,kafka,unknown,5,9.384065,101.83354079999995,0.706338,6.2380553999999995,0.3678,425
concurrency_n5_20260721_215855_kafka_feed3_rep1,kafka,unknown,5,37.044525,106.0915868,0.740851,35.3673818,0.60283,457
concurrency_n5_20260721_215855_kafka_feed3_rep2,kafka,unknown,5,14.052572,91.97515179999999,1.04798,6.3853542,0.491798,457
concurrency_n5_20260721_215855_kafka_feed3_rep3,kafka,unknown,5,16.822322,110.5342254,0.922029,36.4436628,0.458755,457
concurrency_n5_20260721_215855_kafka_feed4_rep1,kafka,unknown,5,12.617547,109.89996299999996,1.583317,6.565195849999998,0.3285525,414
concurrency_n5_20260721_215855_kafka_feed4_rep2,kafka,unknown,5,9.9180375,114.25015999999998,0.8802905,8.1235219,0.43349099999999996,414
concurrency_n5_20260721_215855_kafka_feed4_rep3,kafka,unknown,5,7.9789095,106.15923015,0.907896,15.50660735,0.345982,414
concurrency_n5_20260721_215855_kafka_feed5_rep1,kafka,unknown,5,67.18587099999999,116.501104,1.763693,18.2985485,28.9938925,486
concurrency_n5_20260721_215855_kafka_feed5_rep2,kafka,unknown,5,27.678182,111.99598574999999,1.8836655,16.03586425,0.649129,486
concurrency_n5_20260721_215855_kafka_feed5_rep3,kafka,unknown,5,16.437713,101.30383325,1.0123465,5.37010175,0.502288,486
concurrency_n5_20260721_215855_redis_feed1_rep1,redis,cluster,5,1.83311,3.5352247,1.018735,2.2170476999999997,0.361952,507
concurrency_n5_20260721_215855_redis_feed1_rep2,redis,cluster,5,1.344735,2.7032235999999994,0.665516,1.4254668,0.373548,507
concurrency_n5_20260721_215855_redis_feed1_rep3,redis,cluster,5,1.713598,3.5128557999999996,0.915928,2.1280878999999997,0.380402,507
concurrency_n5_20260721_215855_redis_feed2_rep1,redis,cluster,5,1.958018,4.127849,1.08049,2.6134041999999997,0.38792,425
concurrency_n5_20260721_215855_redis_feed2_rep2,redis,cluster,5,1.438123,14.286400599999991,0.621728,7.502919399999996,0.416263,425
concurrency_n5_20260721_215855_redis_feed2_rep3,redis,cluster,5,1.394071,2.8178293999999973,0.573555,1.350084799999999,0.412638,425
concurrency_n5_20260721_215855_redis_feed3_rep1,redis,cluster,5,1.838912,3.2943035999999997,0.968208,2.1193937999999997,0.397232,457
concurrency_n5_20260721_215855_redis_feed3_rep2,redis,cluster,5,1.353604,2.2881508,0.605694,1.2087298,0.388554,457
concurrency_n5_20260721_215855_redis_feed3_rep3,redis,cluster,5,1.711765,3.0621242,0.883519,1.8736187999999998,0.408218,457
concurrency_n5_20260721_215855_redis_feed4_rep1,redis,cluster,5,1.6622435000000002,3.6597130499999992,0.8356205000000001,2.5614703,0.3924755,414
concurrency_n5_20260721_215855_redis_feed4_rep2,redis,cluster,5,1.32314,2.9953531,0.5406205,1.4282850499999997,0.3998955,414
concurrency_n5_20260721_215855_redis_feed4_rep3,redis,cluster,5,1.6011034999999998,4.3693959,0.79247,2.726577649999996,0.4025755,414
concurrency_n5_20260721_215855_redis_feed5_rep1,redis,cluster,5,1.9720295,4.32285275,1.1182215000000002,3.0549220000000004,0.3963525,486
concurrency_n5_20260721_215855_redis_feed5_rep2,redis,cluster,5,1.4834785,3.3824170000000002,0.6560365,1.494649,0.414291,486
concurrency_n5_20260721_215855_redis_feed5_rep3,redis,cluster,5,1.6530025,3.2000325,0.841064,1.9334319999999998,0.40834,486
