run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n100_20260721_215236_kafka_feed100_rep1,kafka,single,100,116.002963,116.0688778,5.877013,5.9326859999999995,2.535197,9
concurrency_n100_20260721_215236_kafka_feed10_rep1,kafka,single,100,157.0373755,157.091184,3.7137944999999997,3.7521859500000003,67.50875549999999,8
concurrency_n100_20260721_215236_kafka_feed11_rep1,kafka,single,100,172.686182,172.7125856,-2.674953,-2.6564900000000002,142.049759,5
concurrency_n100_20260721_215236_kafka_feed12_rep1,kafka,single,100,142.139115,142.2170462,-20.673512,13.230885800000001,24.576127,9
concurrency_n100_20260721_215236_kafka_feed13_rep1,kafka,single,100,140.2822605,140.34006380000002,-19.724128,-0.27546600000000465,67.573849,8
concurrency_n100_20260721_215236_kafka_feed14_rep1,kafka,single,100,,,,,,0
concurrency_n100_20260721_215236_kafka_feed15_rep1,kafka,single,100,166.25,166.3327353,-14.9935555,4.226210999999993,81.0195165,8
concurrency_n100_20260721_215236_kafka_feed16_rep1,kafka,single,100,150.9369475,150.99312079999999,-17.172207,-5.705049000000001,72.7795325,8
concurrency_n100_20260721_215236_kafka_feed17_rep1,kafka,single,100,160.11028199999998,160.1689428,-21.953447,9.102680399999999,80.0758815,8
concurrency_n100_20260721_215236_kafka_feed18_rep1,kafka,single,100,164.075075,164.1726418,-7.268085,-0.02419300000000004,28.035852,13
concurrency_n100_20260721_215236_kafka_feed19_rep1,kafka,single,100,188.807383,188.8496381,-3.927016,3.0009675000000002,155.234888,7
concurrency_n100_20260721_215236_kafka_feed1_rep1,kafka,single,100,179.085341,179.1518864,-7.219402,18.716188000000002,15.436085,9
concurrency_n100_20260721_215236_kafka_feed20_rep1,kafka,single,100,,,,,,0
concurrency_n100_20260721_215236_kafka_feed21_rep1,kafka,single,100,146.26874500000002,146.3181697,-14.183604,-1.6869593,73.368186,8
concurrency_n100_20260721_215236_kafka_feed22_rep1,kafka,single,100,141.344341,141.37151260000002,-2.853717,-2.8332822,126.091114,5
