run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_205044_kafka_feed1_rep1,kafka,single,5,2.855479,99.9739238,0.548368,1.7864985999999998,0.32471,507
concurrency_n5_20260721_205044_kafka_feed1_rep2,kafka,single,5,2.768355,97.32264889999999,0.716384,3.1284897,0.323785,507
concurrency_n5_20260721_205044_kafka_feed1_rep3,kafka,single,5,2.425964,101.84708049999999,0.351276,1.9447192999999998,0.342015,507
concurrency_n5_20260721_205044_kafka_feed2_rep1,kafka,single,5,2.742844,95.37991599999997,0.521166,4.968164799999999,0.291741,425
concurrency_n5_20260721_205044_kafka_feed2_rep2,kafka,single,5,2.619506,97.17646579999997,0.636411,5.3257933999999265,0.305453,425
concurrency_n5_20260721_205044_kafka_feed2_rep3,kafka,single,5,2.378229,96.11965499999995,0.483228,1.5796473999999996,0.302094,425
concurrency_n5_20260721_205044_kafka_feed3_rep1,kafka,single,5,3.082371,91.04453819999999,0.848925,4.298613,0.347021,457
concurrency_n5_20260721_205044_kafka_feed3_rep2,kafka,single,5,3.127583,93.62430179999998,0.668461,3.4635107999999994,0.395722,457
concurrency_n5_20260721_205044_kafka_feed3_rep3,kafka,single,5,2.84643,92.52770939999998,0.561537,2.7457373999999994,0.380135,457
concurrency_n5_20260721_205044_kafka_feed4_rep1,kafka,single,5,2.7553265,105.84502149999992,0.6820364999999999,4.653534499999999,0.2844325,414
concurrency_n5_20260721_205044_kafka_feed4_rep2,kafka,single,5,2.450883,104.20235669999992,0.565604,3.585933,0.296003,414
concurrency_n5_20260721_205044_kafka_feed4_rep3,kafka,single,5,2.394059,104.70213684999992,0.5122665,3.0191092,0.2991315,414
concurrency_n5_20260721_205044_kafka_feed5_rep1,kafka,single,5,3.173152,96.09988575,0.7510365,3.70474825,0.403484,486
concurrency_n5_20260721_205044_kafka_feed5_rep2,kafka,single,5,2.8477295,100.02338425,0.6530615,2.6364840000000003,0.3755545,486
concurrency_n5_20260721_205044_kafka_feed5_rep3,kafka,single,5,2.9197699999999998,95.97933574999999,0.5938915,3.9096977500000003,0.43993000000000004,486
concurrency_n5_20260721_205044_redis_feed1_rep1,redis,single,5,1.257876,2.9423826999999996,0.550832,1.5656561999999994,0.330537,507
concurrency_n5_20260721_205044_redis_feed1_rep2,redis,single,5,1.347687,2.764597799999999,0.616831,1.5134727,0.3375,507
concurrency_n5_20260721_205044_redis_feed1_rep3,redis,single,5,1.292086,3.2345272999999986,0.561978,1.6393840999999993,0.344938,507
concurrency_n5_20260721_205044_redis_feed2_rep1,redis,single,5,1.359482,3.1602023999999953,0.598915,1.7938925999999995,0.366405,425
concurrency_n5_20260721_205044_redis_feed2_rep2,redis,single,5,1.390712,3.1062062,0.604293,1.9027117999999987,0.361294,425
concurrency_n5_20260721_205044_redis_feed2_rep3,redis,single,5,1.317418,3.601186399999994,0.565583,1.8078437999999994,0.359345,425
concurrency_n5_20260721_205044_redis_feed3_rep1,redis,single,5,1.358654,2.5314707999999997,0.621709,1.4968396,0.355089,457
concurrency_n5_20260721_205044_redis_feed3_rep2,redis,single,5,1.398931,2.7448329999999994,0.65481,1.5003989999999996,0.359736,457
concurrency_n5_20260721_205044_redis_feed3_rep3,redis,single,5,1.336022,2.3745269999999996,0.577042,1.3344854,0.364284,457
concurrency_n5_20260721_205044_redis_feed4_rep1,redis,single,5,1.2930480000000002,4.258699199999995,0.551372,2.382138799999999,0.34763350000000004,414
concurrency_n5_20260721_205044_redis_feed4_rep2,redis,single,5,1.2560685,5.026971349999992,0.5329984999999999,2.7337705999999993,0.3489285,414
concurrency_n5_20260721_205044_redis_feed4_rep3,redis,single,5,1.3636810000000001,4.109048649999998,0.610467,2.483092749999997,0.36287349999999996,414
concurrency_n5_20260721_205044_redis_feed5_rep1,redis,single,5,1.3619735,3.0332339999999998,0.5921080000000001,1.66017475,0.350333,486
concurrency_n5_20260721_205044_redis_feed5_rep2,redis,single,5,1.447733,3.0893602500000004,0.6413340000000001,1.72799025,0.3633425,486
concurrency_n5_20260721_205044_redis_feed5_rep3,redis,single,5,1.422314,2.937748,0.6287050000000001,1.73647075,0.362364,486
