run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_220611_kafka_feed1_rep1,kafka,single,5,374.391698,407.7909025,52.04777,56.234639699999995,268.265291,507
concurrency_n5_20260721_220611_kafka_feed1_rep2,kafka,single,5,371.735337,406.3675159,38.678139,52.870459,272.760025,507
concurrency_n5_20260721_220611_kafka_feed1_rep3,kafka,single,5,367.318766,406.7924748,49.544328,55.5565942,266.902348,507
concurrency_n5_20260721_220611_kafka_feed2_rep1,kafka,single,5,317.121665,369.610316,44.633061,52.724472399999996,214.769107,425
concurrency_n5_20260721_220611_kafka_feed2_rep2,kafka,single,5,323.896486,371.60161899999997,49.937609,57.1671286,215.224537,425
concurrency_n5_20260721_220611_kafka_feed2_rep3,kafka,single,5,317.953365,370.1457382,42.597883,51.102128,216.969588,425
concurrency_n5_20260721_220611_kafka_feed3_rep1,kafka,single,5,312.277825,380.992985,17.73107,29.991699,230.781843,457
concurrency_n5_20260721_220611_kafka_feed3_rep2,kafka,single,5,343.714614,401.60804659999997,48.878141,56.4885012,232.974058,457
concurrency_n5_20260721_220611_kafka_feed3_rep3,kafka,single,5,335.949517,397.3550028,41.939347,51.2268558,231.909779,457
concurrency_n5_20260721_220611_kafka_feed4_rep1,kafka,single,5,337.73668399999997,372.44638929999996,45.3840875,52.9773965,227.87341800000002,414
concurrency_n5_20260721_220611_kafka_feed4_rep2,kafka,single,5,337.241564,372.23264515,43.7371925,52.797699800000004,227.957189,414
concurrency_n5_20260721_220611_kafka_feed4_rep3,kafka,single,5,335.9214365,371.09113395,43.0112685,51.3979593,227.801592,414
concurrency_n5_20260721_220611_kafka_feed5_rep1,kafka,single,5,377.710648,420.48235150000005,44.718886999999995,54.559405,275.1481155,486
concurrency_n5_20260721_220611_kafka_feed5_rep2,kafka,single,5,356.96503199999995,393.5115265,18.831399500000003,26.487451,277.149565,486
concurrency_n5_20260721_220611_kafka_feed5_rep3,kafka,single,5,362.695136,401.20001725,22.820905,36.067809999999994,280.593461,486
concurrency_n5_20260721_220611_redis_feed1_rep1,redis,single,5,153334.346215,153463.370882,152610.290784,153222.5389705,680.572164,507
concurrency_n5_20260721_220611_redis_feed1_rep2,redis,single,5,153385.554746,153514.5419813,152664.500094,153273.3795694,678.782121,507
concurrency_n5_20260721_220611_redis_feed1_rep3,redis,single,5,153315.432126,153444.334294,152594.870178,153204.9345194,676.952527,507
concurrency_n5_20260721_220611_redis_feed2_rep1,redis,single,5,128283.900207,128447.861947,127685.044051,128192.9466326,566.017751,425
concurrency_n5_20260721_220611_redis_feed2_rep2,redis,single,5,128379.557663,128543.51600019999,127777.901343,128289.38261,563.859802,425
concurrency_n5_20260721_220611_redis_feed2_rep3,redis,single,5,128336.528576,128500.503548,127737.103002,128244.339362,560.067411,425
concurrency_n5_20260721_220611_redis_feed3_rep1,redis,single,5,138028.979041,138162.61662380002,137360.189151,137915.86639060001,628.696804,457
concurrency_n5_20260721_220611_redis_feed3_rep2,redis,single,5,138214.266294,138347.8396374,137539.905695,138101.1360286,635.525249,457
concurrency_n5_20260721_220611_redis_feed3_rep3,redis,single,5,138056.18415,138189.8081436,137386.969149,137942.485363,630.775448,457
concurrency_n5_20260721_220611_redis_feed4_rep1,redis,single,5,124948.909281,125082.01063764999,124330.142159,124837.02009379999,553.81591,414
concurrency_n5_20260721_220611_redis_feed4_rep2,redis,single,5,125139.653413,125272.78759705,124518.689017,125026.84698369999,551.738158,414
concurrency_n5_20260721_220611_redis_feed4_rep3,redis,single,5,124998.4989635,125131.60401685,124381.005605,124886.44709915,550.1616415,414
concurrency_n5_20260721_220611_redis_feed5_rep1,redis,single,5,146942.839499,147041.00376350002,146195.512755,146797.32685775,704.183392,486
concurrency_n5_20260721_220611_redis_feed5_rep2,redis,single,5,147000.730919,147098.960569,146250.6300005,146855.363178,705.7327495,486
concurrency_n5_20260721_220611_redis_feed5_rep3,redis,single,5,146923.50857150002,147021.70338525,146175.028995,146777.96787,704.7507265,486
