run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_223049_kafka_feed1_rep1,kafka,single,5,77.059444,198.8187889,16.352345,23.4939707,36.075021,507
concurrency_n5_20260721_223049_kafka_feed1_rep2,kafka,single,5,79.446607,197.7666266,14.966168,22.6050456,39.947638,507
concurrency_n5_20260721_223049_kafka_feed1_rep3,kafka,single,5,78.443006,198.16469969999997,19.42063,23.5816683,36.117515,507
concurrency_n5_20260721_223049_kafka_feed2_rep1,kafka,single,5,56.964325,224.8317774,23.472305,24.681706,9.853642,425
concurrency_n5_20260721_223049_kafka_feed2_rep2,kafka,single,5,51.434825,204.32476,16.469974,22.331552,10.597186,425
concurrency_n5_20260721_223049_kafka_feed2_rep3,kafka,single,5,53.678068,205.65427899999997,16.111427,22.77841179999998,13.917956,425
concurrency_n5_20260721_223049_kafka_feed3_rep1,kafka,single,5,75.974593,196.4943812,18.041613,22.580026999999998,35.913561,457
concurrency_n5_20260721_223049_kafka_feed3_rep2,kafka,single,5,77.983369,215.7997308,16.660785,24.814619399999994,39.298428,457
concurrency_n5_20260721_223049_kafka_feed3_rep3,kafka,single,5,78.358583,216.14601919999998,21.316775,23.714501799999994,35.342699,457
concurrency_n5_20260721_223049_kafka_feed4_rep1,kafka,single,5,91.003343,206.6687996999999,19.815111,26.764781000000003,42.560990000000004,414
concurrency_n5_20260721_223049_kafka_feed4_rep2,kafka,single,5,83.49131,222.1473712499999,16.443504,21.86912669999999,41.449734500000005,414
concurrency_n5_20260721_223049_kafka_feed4_rep3,kafka,single,5,88.90246450000001,205.9919943499999,18.3798495,24.78597864999999,41.596367,414
concurrency_n5_20260721_223049_kafka_feed5_rep1,kafka,single,5,112.6982945,204.3015095,15.328792,22.339157999999998,70.1642855,486
concurrency_n5_20260721_223049_kafka_feed5_rep2,kafka,single,5,114.9496685,207.177113,16.708724,24.336638999999998,71.33784349999999,486
concurrency_n5_20260721_223049_kafka_feed5_rep3,kafka,single,5,111.7208825,204.4581385,15.8422465,23.1053035,70.195448,486
concurrency_n5_20260721_223049_redis_feed1_rep1,redis,single,5,97451.484665,101893.7440913,97293.205095,101664.7159581,138.528659,507
concurrency_n5_20260721_223049_redis_feed1_rep2,redis,single,5,97402.478088,101843.0112261,97253.851134,101613.7922712,133.732937,507
concurrency_n5_20260721_223049_redis_feed1_rep3,redis,single,5,97375.07436,101815.96859959999,97227.544742,101589.8469668,131.555381,507
concurrency_n5_20260721_223049_redis_feed2_rep1,redis,single,5,81471.334394,85193.5937546,81369.001183,85031.1862596,82.419643,425
concurrency_n5_20260721_223049_redis_feed2_rep2,redis,single,5,81389.600501,85117.1471248,81290.708432,84959.9176302,73.144304,425
concurrency_n5_20260721_223049_redis_feed2_rep3,redis,single,5,81363.455073,85090.0201566,81264.78911,84929.78774259999,74.565195,425
concurrency_n5_20260721_223049_redis_feed3_rep1,redis,single,5,87673.833854,91637.2626354,87539.90854,91475.0063164,109.699311,457
concurrency_n5_20260721_223049_redis_feed3_rep2,redis,single,5,87624.021036,91585.8743482,87490.46245,91422.2417072,110.083504,457
concurrency_n5_20260721_223049_redis_feed3_rep3,redis,single,5,87560.444112,91523.376049,87425.386278,91357.7880274,110.227504,457
concurrency_n5_20260721_223049_redis_feed4_rep1,redis,single,5,79308.113163,82867.22006235,79199.59346199999,82766.44115305001,74.36237650000001,414
concurrency_n5_20260721_223049_redis_feed4_rep2,redis,single,5,79222.4365605,82785.7110162,79115.8179575,82674.19728815001,81.107944,414
concurrency_n5_20260721_223049_redis_feed4_rep3,redis,single,5,79205.124285,82769.21294165,79098.8196705,82660.909584,76.717289,414
concurrency_n5_20260721_223049_redis_feed5_rep1,redis,single,5,93320.6671805,97581.1779335,93140.01136,97330.77037674999,160.1454485,486
concurrency_n5_20260721_223049_redis_feed5_rep2,redis,single,5,93287.3378825,97550.53496275,93107.864594,97300.0422305,158.75318750000002,486
concurrency_n5_20260721_223049_redis_feed5_rep3,redis,single,5,93246.4465515,97506.967012,93066.507532,97260.520367,159.3892405,486
