run_id,backend,scenario,concurrency,plan_csv,tti_ms_p50,tti_ms_p95,tti_ms_p99,tti_ms_max,tti_ms_mean,tti_ms_std,tti_ms_min,n_producer,n_consumer,n_matched,transport_latency_ms_p50
concurrency_n1_20260612_215928_redis_feed1_rep1,redis,concurrency,1,data/processed/replay_plans/s2sf12/combined_plan.csv,2185.033845,2323.3171890000003,2334.827188,2338.105967,2184.585592035959,89.57756304034335,2023.8565,584,584,584,2011.92945
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,concurrency,1,data/processed/replay_plans/s2sf12/combined_plan.csv,2551.9946449999998,2928.211389,2961.232657,2970.067967,2555.431543234589,238.47789372517087,2144.2451,584,584,584,2022.3775
concurrency_n5_20260612_220137_redis_feed2_rep1,redis,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2434.7722949999998,2699.045759,2722.890129,2728.010267,2408.1255564195208,202.42923992445444,2050.0617,584,584,584,2027.89535
concurrency_n5_20260612_220137_redis_feed5_rep1,redis,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2425.126445,2684.869399,2708.332087,2713.980867,2397.4161889537672,200.32956368144988,2040.2069,584,584,584,2018.3072
concurrency_n5_20260612_220137_redis_feed3_rep1,redis,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2426.337045,2659.934299,2678.493766,2683.654467,2411.130916864726,172.97349225128923,2073.4158,584,584,584,2036.0895
concurrency_n5_20260612_220137_redis_feed1_rep1,redis,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2422.162945,2662.174464,2680.986563,2685.975867,2407.775822515411,175.74017415504517,2071.9148,584,584,584,2033.7021
concurrency_n5_20260612_220137_redis_feed4_rep1,redis,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2429.3619449999997,2669.031254,2687.900562,2692.221267,2414.3325379263697,176.43420950681622,2072.9128,584,584,584,2038.5239000000001
concurrency_n5_20260612_220137_kafka_feed4_rep1,kafka,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2840.994345,3465.528169,3521.58654,3537.916167,2834.413148885274,410.68041263948595,2113.0424,584,584,584,1986.7010500000001
concurrency_n5_20260612_220137_kafka_feed2_rep1,kafka,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2828.364145,3453.3934790000003,3511.854747,3528.280567,2820.672035186644,412.74250861627263,2090.923,584,584,584,1976.85675
concurrency_n5_20260612_220137_kafka_feed3_rep1,kafka,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2851.664995,3478.1731440000003,3539.896843,3555.158167,2845.3468317619863,410.89729866038255,2114.126,584,584,584,1993.5801
concurrency_n5_20260612_220137_kafka_feed1_rep1,kafka,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2871.5659450000003,3507.523554,3566.737412,3579.718467,2867.3856387825344,410.66947036028125,2126.0016,584,584,584,2004.014
concurrency_n5_20260612_220137_kafka_feed5_rep1,kafka,concurrency,5,data/processed/replay_plans/s2sf12/combined_plan.csv,2873.631045,3508.069829,3569.552125,3583.661567,2869.4741538510275,410.7430373177222,2128.4565,584,584,584,2010.2633
concurrency_n10_20260612_220222_redis_feed8_rep1,redis,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,2892.195345,4024.226429,4083.542189,4097.721567,3046.3863358715753,621.6261659340137,2083.0894,584,584,584,2021.3177500000002
concurrency_n10_20260612_220222_redis_feed1_rep1,redis,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3203.1668950000003,3874.756914,3932.323664,3942.654267,3126.7250396386985,537.119994910891,2059.1001,584,584,584,2034.4765
concurrency_n10_20260612_220222_redis_feed4_rep1,redis,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,3215.737695,4102.065384,4146.607903,4153.441867,3129.291224398972,664.6362877789477,2068.7771,584,584,584,2023.6538500000001
concurrency_n10_20260612_220222_redis_feed3_rep1,redis,concurrency,10,data/processed/replay_plans/s2sf12/combined_plan.csv,2999.123545,3611.789899,3646.953915,3654.466367,2981.5689649811648,444.33224599523965,2086.2086,584,584,584,2035.2493
