N,Scenario,Backend,TTI_p50_ms,TTI_p50_std
5,S1,Kafka,7996.845149000001,2790.7476406706587
5,S1,Redis,4765.154809,1425.7139360805975
5,S2,Kafka,8323.8590175,2741.295643618298
5,S2,Redis,4943.486003700001,1459.5810346161154
5,S3,Kafka,7482.498998,57.62844435052895
5,S3,Redis,3989.083158,58.42482303188427
5,S4,Kafka,11633.01712,38.059719772378934
5,S4,Redis,6181.10524,173.32102565132726
5,S5,Kafka,14584.445205000002,74.76983191331735
5,S5,Redis,7707.5882513999995,165.24470321880722
10,S1,Kafka,9280.391297999999,160.34565694137703
10,S1,Redis,6486.056268,281.1897436887508
10,S2,Kafka,20879.911799999998,1888.573187212119
10,S2,Redis,12285.51172,684.9321519538332
10,S3,Kafka,22995.730588500002,592.5555390721761
10,S3,Redis,12555.376154,1087.4452632151153
10,S4,Kafka,19969.00881,270.66526068550854
10,S4,Redis,10917.35312,818.7696356164695
10,S5,Kafka,21541.508887,221.79123667744673
10,S5,Redis,10638.076837,766.0087242435602
20,S1,Kafka,15416.1985208,877.0159576544872
20,S1,Redis,9197.619478,1426.4098942391902
20,S2,Kafka,31508.395702150003,1190.7679396592632
20,S2,Redis,12223.104475000002,1069.3779040082009
