Scenario,Backend,Runs,TTI_p50_ms,TTI_p95_ms,TTI_p99_ms,Events_Matched,Match_Rate_Pct
S1,Kafka,40,12027.408372150001,19987.091807375,20661.22104872,2561,100.0
S1,Redis,40,7411.61250825,11942.510003874999,12273.253272819999,2561,100.0
S2,Kafka,40,23055.14055545,34867.959560795,35868.40468420599,4193,100.0
S2,Redis,40,10418.801668425,17339.60641628,17819.233781676998,4193,100.0
S3,Kafka,15,17824.653391666667,26626.283191186667,27362.837221322665,4121,100.0
S3,Redis,15,9699.945155333331,15899.446843666661,16347.416584266668,4121,100.0
S4,Kafka,15,17190.344913333334,26230.20943533333,26985.875689696,4465,100.0
S4,Redis,15,9338.603826666664,15659.977007333333,16096.23168976,4465,100.0
S5,Kafka,15,19222.48765966667,28312.16300333334,29150.088156058668,4655,100.0
S5,Redis,15,9661.247308466669,17461.348727573335,17995.581904013336,4655,100.0
