Scenario,Metric,Kafka_Mean,Redis_Mean,Diff,Diff_Pct,P_Value,Significant
S1,Tti P50,12027.408372150001,7411.61250825,-4615.795863900001,-38.377310564993216,3.6932817686187156e-09,Yes
S1,Tti P95,19987.091807375,11942.510003874999,-8044.581803500001,-40.24888603619485,1.590857752682256e-08,Yes
S1,Tti P99,20661.22104872,12273.253272819999,-8387.9677759,-40.5976382330978,1.2095968397958736e-08,Yes
S2,Tti P50,23055.14055545,10418.801668425,-12636.338887025002,-54.809203425298136,3.831293696595463e-11,Yes
S2,Tti P95,34867.959560795,17339.60641628,-17528.353144515004,-50.27065926801066,1.6691184248014705e-09,Yes
S2,Tti P99,35868.40468420599,17819.233781676998,-18049.170902528993,-50.32052878135565,1.617775254233313e-09,Yes
S3,Tti P50,17824.653391666667,9699.945155333331,-8124.708236333336,-45.58129719443396,0.001166783781025714,Yes
S3,Tti P95,26626.283191186667,15899.446843666661,-10726.836347520006,-40.28664560688892,0.003926663170083013,Yes
S3,Tti P99,27362.837221322665,16347.416584266668,-11015.420637055997,-40.25686571885229,0.003888191335789148,Yes
S4,Tti P50,17190.344913333334,9338.603826666664,-7851.7410866666705,-45.67529695449351,5.814272306003882e-07,Yes
S4,Tti P95,26230.20943533333,15659.977007333333,-10570.232427999998,-40.29793377768991,3.32780683659176e-06,Yes
S4,Tti P99,26985.875689696,16096.23168976,-10889.643999936001,-40.353124446111586,2.5923776710135262e-06,Yes
S5,Tti P50,19222.48765966667,9661.247308466669,-9561.2403512,-49.7398698882338,1.1971465431088428e-10,Yes
S5,Tti P95,28312.16300333334,17461.348727573335,-10850.814275760004,-38.32562801536032,9.107358147928413e-09,Yes
S5,Tti P99,29150.088156058668,17995.581904013336,-11154.506252045332,-38.265771932929596,6.682944800996566e-09,Yes
