run_id,backend,n_events,msg_size_p50,serialize_ns_p50,deserialize_ns_p50
batch9_20260617_kafka_cluster_s1_n1_rep1,kafka,300,172.0,2285.0,2115.0
batch9_20260617_kafka_cluster_s1_n1_rep2,kafka,300,172.0,2265.0,2065.0
batch9_20260617_kafka_cluster_s1_n1_rep3,kafka,300,172.0,2297.5,2100.0
batch9_20260617_kafka_cluster_s2_n1_rep1,kafka,300,172.0,2255.0,1975.0
batch9_20260617_kafka_cluster_s2_n1_rep2,kafka,300,172.0,2285.0,1990.0
batch9_20260617_kafka_cluster_s2_n1_rep3,kafka,300,172.0,2235.0,1950.0
batch9_20260617_kafka_cluster_s2full_n1_rep1,kafka,300,160.0,2245.0,1960.0
batch9_20260617_kafka_cluster_s2full_n1_rep2,kafka,300,160.0,2275.0,1980.0
batch9_20260617_kafka_cluster_s2full_n1_rep3,kafka,300,160.0,2215.0,1945.0
batch9_20260617_kafka_cluster_s2sf12_n1_rep1,kafka,300,172.0,2250.0,2100.0
batch9_20260617_kafka_cluster_s2sf12_n1_rep2,kafka,300,172.0,2270.0,2115.0
batch9_20260617_kafka_cluster_s2sf12_n1_rep3,kafka,300,172.0,2275.0,2117.5
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep1,kafka,300,173.0,2315.0,2165.0
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep2,kafka,300,173.0,2250.0,2110.0
batch9_20260617_kafka_cluster_s2sf12j2_n1_rep3,kafka,300,173.0,2270.0,2125.0
batch9_20260617_kafka_single_s1_n1_rep1,kafka,300,172.0,2295.0,2097.5
batch9_20260617_kafka_single_s1_n1_rep2,kafka,300,172.0,2280.0,2105.0
batch9_20260617_kafka_single_s1_n1_rep3,kafka,300,172.0,2290.0,2107.5
batch9_20260617_kafka_single_s2_n1_rep1,kafka,300,172.0,2312.5,2020.0
batch9_20260617_kafka_single_s2_n1_rep2,kafka,300,172.0,2290.0,2010.0
batch9_20260617_kafka_single_s2_n1_rep3,kafka,300,172.0,2265.0,1990.0
batch9_20260617_kafka_single_s2full_n1_rep1,kafka,300,160.0,2275.0,1985.0
batch9_20260617_kafka_single_s2full_n1_rep2,kafka,300,160.0,2270.0,1975.0
batch9_20260617_kafka_single_s2full_n1_rep3,kafka,300,160.0,2245.0,1955.0
batch9_20260617_kafka_single_s2sf12_n1_rep1,kafka,300,172.0,2265.0,2107.5
batch9_20260617_kafka_single_s2sf12_n1_rep2,kafka,300,172.0,2280.0,2120.0
batch9_20260617_kafka_single_s2sf12_n1_rep3,kafka,300,172.0,2290.0,2110.0
batch9_20260617_kafka_single_s2sf12j2_n1_rep1,kafka,300,173.0,2325.0,2165.0
batch9_20260617_kafka_single_s2sf12j2_n1_rep2,kafka,300,173.0,2280.0,2125.0
batch9_20260617_kafka_single_s2sf12j2_n1_rep3,kafka,300,173.0,3735.0,3360.0
batch9_20260617_redis_cluster_s1_n1_rep1,redis,300,172.0,2260.0,2105.0
batch9_20260617_redis_cluster_s1_n1_rep2,redis,300,172.0,2285.0,2107.5
batch9_20260617_redis_cluster_s1_n1_rep3,redis,300,172.0,2275.0,2100.0
batch9_20260617_redis_cluster_s2_n1_rep1,redis,300,172.0,2265.0,2100.0
batch9_20260617_redis_cluster_s2_n1_rep2,redis,300,172.0,2267.5,2017.5
batch9_20260617_redis_cluster_s2_n1_rep3,redis,300,172.0,2302.5,2160.0
batch9_20260617_redis_cluster_s2full_n1_rep1,redis,300,160.0,2270.0,2000.0
batch9_20260617_redis_cluster_s2full_n1_rep2,redis,300,160.0,2332.5,2165.0
batch9_20260617_redis_cluster_s2full_n1_rep3,redis,300,160.0,2260.0,1995.0
batch9_20260617_redis_cluster_s2sf12_n1_rep1,redis,300,172.0,2260.0,2110.0
batch9_20260617_redis_cluster_s2sf12_n1_rep2,redis,300,172.0,2235.0,2085.0
batch9_20260617_redis_cluster_s2sf12_n1_rep3,redis,300,172.0,3065.0,2715.0
batch9_20260617_redis_cluster_s2sf12j2_n1_rep1,redis,300,173.0,2295.0,2167.5
batch9_20260617_redis_cluster_s2sf12j2_n1_rep2,redis,300,173.0,2305.0,2160.0
batch9_20260617_redis_cluster_s2sf12j2_n1_rep3,redis,300,173.0,2285.0,2135.0
batch9_20260617_redis_single_s1_n1_rep1,redis,300,172.0,2275.0,2105.0
batch9_20260617_redis_single_s1_n1_rep2,redis,300,172.0,2295.0,2130.0
batch9_20260617_redis_single_s1_n1_rep3,redis,300,172.0,3070.0,2702.5
batch9_20260617_redis_single_s2_n1_rep1,redis,300,172.0,2290.0,2132.5
batch9_20260617_redis_single_s2_n1_rep2,redis,300,172.0,2255.0,1982.5
batch9_20260617_redis_single_s2_n1_rep3,redis,300,172.0,2265.0,2075.0
batch9_20260617_redis_single_s2full_n1_rep1,redis,300,160.0,2245.0,1987.5
batch9_20260617_redis_single_s2full_n1_rep2,redis,300,160.0,2275.0,1985.0
batch9_20260617_redis_single_s2full_n1_rep3,redis,300,160.0,2200.0,1915.0
batch9_20260617_redis_single_s2sf12_n1_rep1,redis,300,172.0,2240.0,2075.0
batch9_20260617_redis_single_s2sf12_n1_rep2,redis,300,172.0,2285.0,2145.0
batch9_20260617_redis_single_s2sf12_n1_rep3,redis,300,172.0,2992.5,2720.0
batch9_20260617_redis_single_s2sf12j2_n1_rep1,redis,300,173.0,2475.0,2300.0
batch9_20260617_redis_single_s2sf12j2_n1_rep2,redis,300,173.0,3645.0,3277.5
batch9_20260617_redis_single_s2sf12j2_n1_rep3,redis,300,173.0,2290.0,2140.0
