backend,config,n_concurrency,decision_staleness_prob_s,mean_decisive_latency_ms,n_decisive
kafka,cluster,1,0.025237429507993476,30.329622777777782,3.0
kafka,cluster,5,8.484036395914618,10194.478609444446,3.0
kafka,cluster,10,6.280634188500444,7547.404829111111,1.2
kafka,cluster,20,6.8469424324364585,8227.338357628205,0.8076923076923077
kafka,single,1,0.5243496359454791,630.0181866666667,3.0
kafka,single,5,0.015949471664166614,19.172749444444445,3.0
kafka,single,10,0.02980090376141147,35.887367749999996,2.85
kafka,single,20,1.5948742028943124,1918.001112251462,3.0
redis,cluster,1,1.614115209038836,1939.6992672222223,3.0
redis,cluster,5,10.191905826573493,12246.566847222222,3.0
redis,cluster,10,12.724809645748639,15290.179728333334,3.0
redis,cluster,20,20.779095997089303,24970.693334444444,3.0
redis,single,1,0.015213378501346273,18.288861666666666,3.0
redis,single,5,0.7118363219012174,855.9434516666666,3.0
redis,single,10,5.078367440910573,6103.222345,3.0
redis,single,20,12.466310621355733,14982.152226666665,3.0
