run_id,backend,config,n_concurrency,decision_staleness_prob_s,n_decisive,mean_decisive_latency_ms
concurrency_n10_20260617_220303_kafka_feed10_rep2,kafka,single,10,0.054383397890092805,3,65.614845
concurrency_n10_20260617_220303_kafka_feed10_rep3,kafka,single,10,0.01227277537304109,3,14.748845000000001
concurrency_n10_20260617_220303_kafka_feed1_rep3,kafka,single,10,0.017437112525478807,3,20.961411666666667
concurrency_n10_20260617_220303_kafka_feed2_rep2,kafka,single,10,0.06037366302717712,3,72.888445
concurrency_n10_20260617_220303_kafka_feed2_rep3,kafka,single,10,0.0220810631143816,3,26.543745
concurrency_n10_20260617_220303_kafka_feed3_rep1,kafka,single,10,0.017949470604184767,3,21.58817833333333
concurrency_n10_20260617_220303_kafka_feed3_rep2,kafka,single,10,0.03895419180292582,3,46.897978333333334
concurrency_n10_20260617_220303_kafka_feed3_rep3,kafka,single,10,0.01951889449707997,3,23.468078333333334
concurrency_n10_20260617_220303_kafka_feed4_rep2,kafka,single,10,0.05322896043887396,3,63.904111666666665
concurrency_n10_20260617_220303_kafka_feed4_rep3,kafka,single,10,0.02748256305487597,3,33.034345
concurrency_n10_20260617_220303_kafka_feed5_rep2,kafka,single,10,0.05317885438629241,3,64.259245
concurrency_n10_20260617_220303_kafka_feed5_rep3,kafka,single,10,0.017229325178448725,3,20.727345
concurrency_n10_20260617_220303_kafka_feed6_rep3,kafka,single,10,0.01704942356464817,3,20.49687833333333
concurrency_n10_20260617_220303_kafka_feed7_rep2,kafka,single,10,0.05433974767990555,3,65.35961166666667
concurrency_n10_20260617_220303_kafka_feed7_rep3,kafka,single,10,0.02233225780808752,3,26.848211666666668
concurrency_n10_20260617_220303_kafka_feed8_rep1,kafka,single,10,0.008665812517102793,3,10.424945000000001
concurrency_n10_20260617_220303_kafka_feed8_rep2,kafka,single,10,0.05578865383007822,3,67.38711166666666
concurrency_n10_20260617_220303_kafka_feed8_rep3,kafka,single,10,0.02422749232719551,3,29.126644999999996
concurrency_n10_20260617_220303_kafka_feed9_rep2,kafka,single,10,0.0,0,0.0
concurrency_n10_20260617_220303_kafka_feed9_rep3,kafka,single,10,0.019524415608358582,3,23.46737833333334
