t_wall,rho,loadavg
1784957979.3882744,0.97257,5.35
1784957979.891275,0.9403,5.35
1784957980.395225,1.0,5.35
1784957980.8959665,1.0,5.35
1784957981.3992248,1.0,5.35
1784957981.899979,1.0,5.35
1784957982.400791,0.97257,6.53
1784957982.9012597,0.90571,6.53
1784957983.4020288,0.89975,6.53
1784957983.9042566,0.88834,6.53
1784957984.4052386,0.84925,6.53
1784957984.908274,0.81546,6.53
1784957985.4090376,0.8,6.53
1784957985.9102786,0.81592,6.53
1784957986.4110572,0.79449,6.53
1784957986.9122741,0.798,6.53
1784957987.4130914,0.80451,6.56
1784957987.9142828,0.80397,6.56
1784957988.4150946,0.8025,6.56
1784957988.9162495,0.801,6.56
1784957989.4173477,0.805,6.56
1784957989.918254,0.8005,6.56
1784957990.4191093,0.80451,6.56
1784957990.9202785,0.80348,6.56
1784957991.421088,0.8025,6.56
1784957991.9222515,0.798,6.56
1784957992.4242685,0.80798,6.6
1784957992.9250848,0.80201,6.6
1784957993.425954,0.8005,6.6
1784957993.9268281,0.80299,6.6
1784957994.4272869,0.80299,6.6
1784957994.9292731,0.80798,6.6
1784957995.430057,0.80702,6.6
1784957995.9308631,0.80149,6.6
1784957996.431272,0.8025,6.6
1784957996.9320905,0.8005,6.6
1784957997.434266,0.798,6.63
1784957997.9350832,0.81297,6.63
1784957998.4358869,0.8025,6.63
1784957998.9363463,0.80299,6.63
1784957999.4384155,0.798,6.63
1784957999.939221,0.8005,6.63
1784958000.4433372,0.801,6.63
1784958000.9441805,0.81047,6.63
1784958001.444965,0.795,6.63
1784958001.9453423,0.81,6.58
1784958002.4461827,0.8,6.58
1784958002.946996,0.80299,6.58
1784958003.4477763,0.79052,6.58
1784958003.9485629,0.81297,6.58
1784958004.4512603,0.81047,6.58
1784958004.9520614,0.79198,6.58
1784958005.4528708,0.80299,6.58
1784958005.9533467,0.80893,6.58
1784958006.4541926,0.79699,6.58
1784958006.954995,0.80451,6.61
1784958007.4557984,0.8025,6.61
1784958007.9582899,0.80446,6.61
1784958008.459062,0.8025,6.61
1784958008.9598522,0.8,6.61
1784958009.46026,0.798,6.61
1784958009.9610598,0.8075,6.61
1784958010.461859,0.82544,6.61
1784958010.9622812,0.8,6.61
1784958011.465231,0.801,6.61
1784958011.96611,0.80299,6.56
1784958012.4673462,0.80597,6.56
1784958012.9681938,0.8,6.56
1784958013.4692664,0.7975,6.56
1784958013.970086,0.805,6.56
1784958014.4732537,0.79703,6.56
1784958014.974131,0.7975,6.56
