t_wall,rho,loadavg
1784965597.56891,0.97264,5.75
1784965598.0963612,0.99045,5.75
1784965598.6102087,0.99756,7.93
1784965599.1268303,0.99759,7.93
1784965599.6402283,0.99512,7.93
1784965600.1413774,0.99252,7.93
1784965600.642281,0.895,7.93
1784965601.1434557,0.85642,7.93
1784965601.644534,0.84422,7.93
1784965602.1457756,0.82532,7.93
1784965602.647232,0.801,7.93
1784965603.1480038,0.74065,7.93
1784965603.6487913,0.7625,7.7
1784965604.1495874,0.75,7.7
1784965604.6512468,0.75373,7.7
1784965605.151998,0.7475,7.7
1784965605.6542766,0.7606,7.7
1784965606.1551101,0.75062,7.7
1784965606.656254,0.75124,7.7
1784965607.157042,0.755,7.7
1784965607.659264,0.7599,7.7
1784965608.1601043,0.75,7.7
1784965608.6609359,0.74564,7.72
1784965609.1622975,0.75622,7.72
1784965609.663123,0.7475,7.72
1784965610.1652467,0.75124,7.72
1784965610.6662538,0.7575,7.72
1784965611.1670074,0.75622,7.72
1784965611.6678026,0.75,7.72
1784965612.1683178,0.74314,7.72
1784965612.669113,0.76,7.72
1784965613.169845,0.74813,7.72
1784965613.67029,0.75188,7.5
1784965614.171105,0.7581,7.5
1784965614.6719532,0.74876,7.5
1784965615.174248,0.75373,7.5
1784965615.6750195,0.74687,7.5
1784965616.1757817,0.75312,7.5
1784965616.6762922,0.75561,7.5
1784965617.177057,0.74937,7.5
1784965617.677816,0.78304,7.5
1784965618.1785676,0.795,7.5
1784965618.681245,0.78554,7.62
1784965619.1819882,0.78697,7.62
1784965619.6822546,0.79353,7.62
1784965620.1830301,0.785,7.62
1784965620.6838305,0.78554,7.62
1784965621.18464,0.785,7.62
1784965621.6872785,0.76808,7.62
1784965622.1880596,0.7525,7.62
1784965622.6892471,0.74813,7.62
1784965623.1900337,0.75373,7.62
1784965623.6912317,0.75062,7.57
1784965624.191996,0.74378,7.57
1784965624.6952488,0.76309,7.57
1784965625.19604,0.745,7.57
1784965625.6972814,0.75124,7.57
1784965626.1980872,0.75439,7.57
1784965626.6989286,0.75062,7.57
1784965627.201264,0.74876,7.57
1784965627.7033157,0.75312,7.57
1784965628.2041297,0.755,7.57
1784965628.7048965,0.75124,7.53
1784965629.2052364,0.74687,7.53
1784965629.707264,0.7606,7.53
1784965630.2080524,0.75062,7.53
1784965630.7088578,0.7525,7.53
1784965631.2122836,0.75622,7.53
1784965631.7130845,0.75124,7.53
1784965632.213874,0.745,7.53
1784965632.7146444,0.75312,7.53
1784965633.2152734,0.75,7.53
1784965633.7160592,0.7525,7.48
1784965634.2172768,0.75373,7.48
1784965634.7180572,0.75,7.48
1784965635.2192738,0.74564,7.48
1784965635.7202766,0.75689,7.48
1784965636.2223673,0.74442,7.48
1784965636.724329,0.75871,7.48
1784965637.2251422,0.7475,7.48
1784965637.728269,0.75186,7.48
1784965638.2290814,0.75312,7.48
1784965638.7299037,0.75062,7.37
1784965639.2302768,0.75062,7.37
1784965639.7310855,0.75561,7.37
1784965640.2318902,0.75188,7.37
1784965640.7322745,0.74813,7.37
1784965641.2330585,0.7606,7.37
1784965641.7338672,0.7525,7.37
1784965642.2373207,0.74378,7.37
1784965642.738215,0.76119,7.37
1784965643.2390404,0.7525,7.37
1784965643.7398329,0.745,7.26
1784965644.2402864,0.75871,7.26
1784965644.7410913,0.75062,7.26
1784965645.2418609,0.74813,7.26
1784965645.7422566,0.75561,7.26
1784965646.2432654,0.755,7.26
1784965646.7440932,0.74813,7.26
1784965647.245323,0.75312,7.26
1784965647.746141,0.75439,7.26
1784965648.2482595,0.75373,7.26
1784965648.7490246,0.7425,7.24
1784965649.2498589,0.76119,7.24
1784965649.750659,0.75439,7.24
1784965650.2514493,0.74,7.24
1784965650.7522793,0.7625,7.24
1784965651.2530625,0.74813,7.24
1784965651.7562907,0.75062,7.24
1784965652.2571015,0.7575,7.24
1784965652.7579067,0.74687,7.24
1784965653.2612596,0.75556,7.24
1784965653.762061,0.7575,7.14
1784965654.2629256,0.74564,7.14
1784965654.7632604,0.75312,7.14
1784965655.2640817,0.7525,7.14
