t_wall,rho,loadavg
1784966666.2642481,0.97519,5.65
1784966666.7650514,0.97739,5.65
1784966667.2658005,1.0,5.65
1784966667.7712405,1.0,5.65
1784966668.2742267,1.0,5.65
1784966668.7772295,0.99752,6.96
1784966669.277994,1.0,6.96
1784966669.7787886,0.9598,6.96
1784966670.2795691,0.94987,6.96
1784966670.781365,0.95,6.96
1784966671.2821836,0.94697,6.96
1784966671.7852435,0.94015,6.96
1784966672.286007,0.89975,6.96
1784966672.7868135,0.88279,6.96
1784966673.2872844,0.88279,6.96
1784966673.7880828,0.8825,6.89
1784966674.2888715,0.8775,6.89
1784966674.7892735,0.87781,6.89
1784966675.290042,0.885,6.89
1784966675.790848,0.88529,6.89
1784966676.293263,0.87313,6.89
1784966676.7940168,0.88279,6.89
1784966677.2947912,0.88279,6.89
1784966677.7952743,0.8825,6.89
1784966678.2960386,0.88279,6.89
1784966678.7972448,0.88778,6.98
1784966679.2980323,0.8825,6.98
1784966679.7990527,0.8825,6.98
1784966680.2998343,0.88471,6.98
1784966680.8032432,0.87871,6.98
1784966681.3040185,0.8797,6.98
1784966681.8047972,0.88471,6.98
1784966682.3052456,0.8806,6.98
1784966682.8060155,0.88,6.98
1784966683.3067899,0.8825,6.98
1784966683.8072438,0.8803,6.9
1784966684.3080199,0.88,6.9
1784966684.8087976,0.88471,6.9
1784966685.309251,0.88089,6.9
1784966685.8100288,0.88,6.9
1784966686.3108222,0.88,6.9
1784966686.8142638,0.88089,6.9
1784966687.31505,0.88,6.9
1784966687.815841,0.8875,6.9
1784966688.316285,0.88221,6.9
1784966688.8171005,0.8775,6.83
1784966689.3202736,0.88614,6.83
1784966689.8232524,0.87345,6.83
1784966690.32403,0.88221,6.83
1784966690.8262641,0.8806,6.83
1784966691.3270338,0.885,6.83
1784966691.8278039,0.8803,6.83
1784966692.3283079,0.88529,6.83
1784966692.8290887,0.88,6.83
1784966693.3323112,0.87811,6.83
1784966693.8330984,0.88722,6.84
1784966694.3343492,0.88,6.84
1784966694.8362613,0.8803,6.84
1784966695.3370235,0.88,6.84
1784966695.8378222,0.88337,6.84
1784966696.3386157,0.88,6.84
1784966696.840265,0.88,6.84
1784966697.341051,0.8825,6.84
1784966697.8418944,0.88279,6.84
1784966698.342241,0.875,6.84
1784966698.844262,0.88279,6.85
1784966699.3450575,0.88471,6.85
1784966699.8458707,0.8803,6.85
1784966700.3466408,0.8803,6.85
1784966700.850269,0.88337,6.85
1784966701.3510542,0.88221,6.85
1784966701.851824,0.8803,6.85
1784966702.3521674,0.8803,6.85
1784966702.8553014,0.885,6.85
1784966703.3561423,0.8803,6.85
1784966703.8570259,0.88308,6.94
1784966704.3602612,0.88308,6.94
1784966704.8610466,0.88,6.94
1784966705.3618188,0.8806,6.94
1784966705.8622267,0.8825,6.94
1784966706.3630302,0.88221,6.94
1784966706.8638227,0.8803,6.94
1784966707.3642485,0.8803,6.94
1784966707.8650143,0.8797,6.94
1784966708.365849,0.88279,6.94
1784966708.8672485,0.8803,7.03
1784966709.3681042,0.8825,7.03
1784966709.868895,0.88,7.03
1784966710.3712919,0.87841,7.03
1784966710.8742983,0.88279,7.03
1784966711.3750951,0.88308,7.03
1784966711.8758383,0.8875,7.03
1784966712.3762856,0.8775,7.03
1784966712.877133,0.8775,7.03
1784966713.3779519,0.8825,7.03
1784966713.87829,0.885,7.03
1784966714.3791015,0.87719,7.03
1784966714.8812525,0.88089,7.03
1784966715.3820362,0.8797,7.03
1784966715.8829036,0.88279,7.03
1784966716.383334,0.87781,7.03
1784966716.8862572,0.88308,7.03
1784966717.38705,0.88471,7.03
1784966717.8878667,0.88337,7.03
1784966718.3883045,0.88221,7.03
1784966718.8893702,0.8803,7.11
1784966719.3902254,0.8825,7.11
1784966719.8913224,0.87811,7.11
1784966720.3922908,0.8875,7.11
1784966720.8942463,0.88279,7.11
1784966721.395028,0.875,7.11
1784966721.8958113,0.8825,7.11
1784966722.3963273,0.88471,7.11
1784966722.898272,0.88308,7.11
1784966723.3990836,0.87811,7.11
1784966723.900263,0.88471,7.02
1784966724.4010448,0.88471,7.02
1784966724.9023244,0.8806,7.02
1784966725.4031527,0.88557,7.02
1784966725.9042335,0.8806,7.02
1784966726.405015,0.8797,7.02
1784966726.9062662,0.88279,7.02
1784966727.4070487,0.8803,7.02
1784966727.9078634,0.88,7.02
1784966728.4112775,0.88337,7.02
1784966728.9120631,0.8825,6.93
1784966729.412847,0.88279,6.93
1784966729.916273,0.87841,6.93
1784966730.4170895,0.8825,6.93
1784966730.9178917,0.8806,6.93
1784966731.4182506,0.88,6.93
1784966731.919094,0.88471,6.93
1784966732.4199083,0.88279,6.93
1784966732.9202483,0.8775,6.93
1784966733.4210603,0.8825,6.93
1784966733.9218912,0.88557,6.78
1784966734.4222472,0.88,6.78
1784966734.9230342,0.875,6.78
1784966735.4242756,0.88778,6.78
1784966735.9262846,0.8803,6.78
1784966736.4292822,0.87901,6.78
1784966736.930152,0.88221,6.78
1784966737.4309807,0.88279,6.78
1784966737.9317982,0.88,6.78
1784966738.4322739,0.8803,6.78
1784966738.9330797,0.88221,6.88
1784966739.4338827,0.8775,6.88
1784966739.9342895,0.8825,6.88
1784966740.4362757,0.88337,6.88
1784966740.9371026,0.88,6.88
1784966741.4379761,0.88,6.88
1784966741.9388325,0.8806,6.88
1784966742.4393008,0.8825,6.88
1784966742.9412854,0.88557,6.88
1784966743.442169,0.8797,6.88
1784966743.9430034,0.885,6.89
1784966744.443786,0.8803,6.89
1784966744.9446502,0.8825,6.89
1784966745.4483364,0.88089,6.89
1784966745.9491825,0.8803,6.89
1784966746.4512327,0.8806,6.89
1784966746.9520261,0.8775,6.89
1784966747.4528456,0.885,6.89
1784966747.9532833,0.88279,6.89
1784966748.4541574,0.88221,6.89
1784966748.9562793,0.87811,6.98
1784966749.457099,0.88471,6.98
