t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784997684207502190,344012,104281631,126958348,38,1,1
1784997684207502190,344016,159108393,182884937,464,1,1
1784997684207502190,344018,104224856,104026061,46,2,1
1784997684207502190,344025,157791780,171086338,478,1,1
1784997684207502190,344028,157519647,168260260,489,1,1
1784997684207502190,344039,103144325,144103331,66,1,1
1784997684207502190,344041,155447969,148085241,483,1,1
1784997684207502190,344046,142632640,172743308,363,1,1
1784997684207502190,344051,95706167,99401519,37,1,1
1784997684207502190,344053,106086565,161172968,149,1,1
1784997684723355613,344012,256934181,280168231,184,2,1
1784997684723355613,344016,272054469,370195710,1664,1,1
1784997684723355613,344018,334022511,196721332,120,2,1
1784997684723355613,344025,265694933,372619419,1621,1,1
1784997684723355613,344028,263562688,310990404,1873,1,1
1784997684723355613,344039,212295053,279319007,235,2,1
1784997684723355613,344041,263903129,294841248,1855,1,1
1784997684723355613,344046,254608195,353050957,1550,1,1
1784997684723355613,344051,203484657,250010700,329,2,1
1784997684723355613,344053,188821820,268390456,565,2,1
1784997685248365425,344012,458975767,604415901,326,2,1
1784997685248365425,344016,374953425,629998729,2589,1,1
1784997685248365425,344018,500347302,556710865,183,2,1
1784997685248365425,344025,362072523,639903355,2501,1,1
1784997685248365425,344028,359839945,563225949,2886,1,1
1784997685248365425,344039,417431478,603199262,384,2,1
1784997685248365425,344041,362230510,541658767,2871,1,1
1784997685248365425,344046,349119335,630636033,2409,1,1
1784997685248365425,344051,364456871,618370748,637,2,1
1784997685248365425,344053,392196593,594506883,1466,2,1
1784997685248365425,344064,300371119,951121640,198,8,1
1784997685248365425,344066,267029226,998470611,150,8,1
1784997685248365425,344068,247453145,997489466,126,8,1
1784997685248365425,344070,252095242,944602585,218,8,1
1784997685248365425,344072,284357718,915742863,183,8,1
1784997685771496809,344012,702037854,882251811,495,2,1
1784997685771496809,344016,487498530,859197918,3604,1,1
1784997685771496809,344018,713507106,861128567,263,2,1
1784997685771496809,344025,472228724,861804552,3513,1,1
1784997685771496809,344028,460139109,804348300,3825,1,1
1784997685771496809,344039,657051668,882069288,724,2,1
1784997685771496809,344041,463729467,781790753,3834,1,1
1784997685771496809,344046,458936319,863851758,3435,1,1
1784997685771496809,344051,572784310,926255205,880,2,1
1784997685771496809,344053,579473463,924315481,2189,2,1
1784997685771496809,344064,514537574,1262935217,276,8,1
1784997685771496809,344066,476133406,1314346724,228,8,1
1784997685771496809,344068,459139945,1306782046,211,8,1
1784997685771496809,344070,421813833,1293875791,294,8,1
1784997685771496809,344072,457916313,1272167818,256,8,1
1784997686299221396,344012,963849597,1154426804,663,2,1
1784997686299221396,344016,591497940,1130493907,4508,1,1
1784997686299221396,344018,874350121,1234624196,404,2,1
1784997686299221396,344025,572122977,1130897308,4400,1,1
1784997686299221396,344028,551741360,1084108328,4697,1,1
1784997686299221396,344039,816994509,1255414614,1003,2,1
1784997686299221396,344041,555411559,1066654811,4697,1,1
1784997686299221396,344046,555696515,1137240201,4303,1,1
1784997686299221396,344051,729225136,1305636318,1074,2,1
1784997686299221396,344053,733840882,1298933313,2760,2,1
1784997686299221396,344064,534437074,1322752485,305,11,1
1784997686299221396,344066,521787299,1436642603,272,11,1
1784997686299221396,344068,528110133,1597990392,295,12,1
1784997686299221396,344070,541455139,1707216683,339,8,1
1784997686299221396,344072,574300862,1681771904,306,8,1
1784997686299221396,344110,250549440,1048601098,166,8,1
1784997686299221396,344111,305919848,993386150,168,8,1
1784997686299221396,344116,268405338,1016900086,112,8,1
1784997686299221396,344119,248150510,1002187666,92,8,1
1784997686299221396,344120,265428633,977701591,256,8,1
1784997686834235021,344012,1188064568,1464683645,875,2,1
1784997686834235021,344016,702334452,1371175756,5547,1,1
1784997686834235021,344018,1092436546,1552183155,1034,2,1
1784997686834235021,344025,681402137,1372751244,5431,1,1
1784997686834235021,344028,672887169,1282848148,5916,1,1
1784997686834235021,344039,1025035483,1578509699,1163,2,1
1784997686834235021,344041,675234858,1281080274,5859,1,1
1784997686834235021,344046,661263613,1389735721,5297,1,1
1784997686834235021,344051,999986195,1569028084,2345,2,1
1784997686834235021,344053,960392176,1612350879,3002,2,1
