t_wall_ns,pid,on_cpu_ns,wait_ns,slices,n_threads,schedstats_enabled
1784998754470320236,346450,7367895,37070079,4,1,1
1784998754470320236,346457,376140823,3775804,129,2,1
1784998754470320236,346463,7144070,12007976,5,1,1
1784998754470320236,346466,7275356,34889316,6,1,1
1784998754470320236,346473,6642236,109259131,6,1,1
1784998754470320236,346476,256361297,9852493,1028,1,1
1784998754470320236,346479,347876038,2923457,118,2,1
1784998754470320236,346480,235900375,32841616,894,1,1
1784998754470320236,346481,6836257,7970478,5,1,1
1784998754470320236,346486,6587284,14793846,5,1,1
1784998754470320236,346488,7029207,27204247,4,1,1
1784998754470320236,346492,332231735,3767473,102,2,1
1784998754470320236,346493,206370432,123566626,550,1,1
1784998754470320236,346496,314019421,8059751,117,2,1
1784998754470320236,346497,7718139,55529436,7,1,1
1784998754470320236,346499,8489491,157997903,30,1,1
1784998754470320236,346501,184609681,107332276,528,1,1
1784998754470320236,346508,175137624,5185800,29,2,1
1784998754470320236,346509,8763707,25393231,20,1,1
1784998754470320236,346511,160919972,31950039,186,1,1
1784998755022424998,346450,7367895,37070079,4,1,1
1784998755022424998,346457,1738522081,13822303,311,2,1
1784998755022424998,346463,7144070,12007976,5,1,1
1784998755022424998,346466,7275356,34889316,6,1,1
1784998755022424998,346473,6642236,109259131,6,1,1
1784998755022424998,346476,616587434,492867721,3839,1,1
1784998755022424998,346479,1337752167,6981104,266,2,1
1784998755022424998,346480,578796946,482786467,3601,1,1
1784998755022424998,346481,6836257,7970478,5,1,1
1784998755022424998,346486,6587284,14793846,5,1,1
1784998755022424998,346488,7029207,27204247,4,1,1
1784998755022424998,346492,1513507952,83535598,269,2,1
1784998755022424998,346493,550221303,617448443,3235,1,1
1784998755022424998,346496,1598348656,96087351,304,2,1
1784998755022424998,346497,7718139,55529436,7,1,1
1784998755022424998,346499,8489491,157997903,30,1,1
1784998755022424998,346501,522907309,601622652,3195,1,1
1784998755022424998,346508,1367470865,115512930,236,2,1
1784998755022424998,346509,8763707,25393231,20,1,1
1784998755022424998,346511,507092917,510395229,2881,1,1
1784998757163376723,346450,7367895,37070079,4,1,1
1784998757163376723,346457,1744898567,68300193,349,2,1
1784998757163376723,346463,7144070,12007976,5,1,1
1784998757163376723,346466,7275356,34889316,6,1,1
1784998757163376723,346473,6642236,109259131,6,1,1
1784998757163376723,346476,824983730,1249203303,5465,1,1
1784998757163376723,346479,1345491371,82215030,309,2,1
1784998757163376723,346480,778207354,1249382705,5186,1,1
1784998757163376723,346481,6836257,7970478,5,1,1
1784998757163376723,346486,6587284,14793846,5,1,1
1784998757163376723,346488,7029207,27204247,4,1,1
1784998757163376723,346492,1519516862,171364434,294,2,1
1784998757163376723,346493,727635157,1451227375,4679,1,1
1784998757163376723,346496,1604168035,137029237,328,2,1
1784998757163376723,346497,7718139,55529436,7,1,1
1784998757163376723,346499,8489491,157997903,30,1,1
1784998757163376723,346501,720363790,1350270544,4806,1,1
1784998757163376723,346508,1370902024,242428772,251,2,1
