run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n1_20260722_003940_kafka_feed1_rep1,kafka,single,1,105.25697,105.2835361,0.782215,0.8030647,102.959001,7
concurrency_n1_20260722_003940_kafka_feed1_rep2,kafka,single,1,105.310609,105.3357891,0.802075,0.822665,103.043908,7
concurrency_n1_20260722_003940_kafka_feed1_rep3,kafka,single,1,110.733709,110.7615308,6.30811,6.3312367,102.936496,7
concurrency_n1_20260722_003940_kafka_feed1_rep4,kafka,single,1,105.274985,105.3013151,0.781503,0.8028737,103.024379,7
concurrency_n1_20260722_003940_kafka_feed1_rep5,kafka,single,1,105.359597,105.3943854,0.749273,0.77918,103.034137,7
concurrency_n1_20260722_003940_kafka_feed1_rep6,kafka,single,1,105.296919,105.3233821,0.75982,0.7816267,103.014124,7
concurrency_n1_20260722_003940_kafka_feed1_rep7,kafka,single,1,105.430464,105.4568474,0.832301,0.8524683,103.079905,7
concurrency_n1_20260722_003940_kafka_feed1_rep8,kafka,single,1,105.422309,105.4479871,0.896157,0.9174887,103.062196,7
concurrency_n1_20260722_003940_redis_feed1_rep1,redis,single,1,5.176873,5.8477041,0.721131,1.2323486999999995,1.374013,7
concurrency_n1_20260722_003940_redis_feed1_rep2,redis,single,1,4.963158,5.6605408,0.704996,1.2377984999999998,1.391581,7
concurrency_n1_20260722_003940_redis_feed1_rep3,redis,single,1,4.970559,5.6578782,0.70037,1.2530608,1.368887,7
concurrency_n1_20260722_003940_redis_feed1_rep4,redis,single,1,5.14832,5.8340836000000005,0.751867,1.3334201,1.388245,7
concurrency_n1_20260722_003940_redis_feed1_rep5,redis,single,1,4.888313,5.6071297,0.676894,1.1702483999999995,1.386453,7
concurrency_n1_20260722_003940_redis_feed1_rep6,redis,single,1,5.06391,5.7219845000000005,0.720981,1.2234533,1.399222,7
concurrency_n1_20260722_003940_redis_feed1_rep7,redis,single,1,5.006162,5.7278808,0.742624,1.1531781,0.988966,7
concurrency_n1_20260722_003940_redis_feed1_rep8,redis,single,1,4.955476,5.6703738,0.802615,1.2125297999999998,1.371691,7
concurrency_n10_20260722_004552_kafka_feed10_rep1,kafka,single,10,104.628499,104.67051795,0.9456585,0.97891365,52.25223,8
concurrency_n10_20260722_004552_kafka_feed10_rep2,kafka,single,10,104.9224175,104.9619233,0.999706,1.0330430000000002,52.3659745,8
concurrency_n10_20260722_004552_kafka_feed10_rep3,kafka,single,10,105.3314475,105.3700208,1.032065,1.06471565,52.3438275,8
concurrency_n10_20260722_004552_kafka_feed1_rep1,kafka,single,10,105.51957,105.5448371,0.601669,0.6242762,102.979251,7
concurrency_n10_20260722_004552_kafka_feed1_rep2,kafka,single,10,105.149139,105.1751454,0.760821,0.7803656,102.698818,7
concurrency_n10_20260722_004552_kafka_feed1_rep3,kafka,single,10,105.132854,105.1589498,0.684765,0.7050546999999999,102.894628,7
concurrency_n10_20260722_004552_kafka_feed2_rep1,kafka,single,10,106.133738,106.1609868,0.364266,0.5380038,103.446174,7
concurrency_n10_20260722_004552_kafka_feed2_rep2,kafka,single,10,106.723472,106.7583436,1.319754,1.3473588,103.367389,7
concurrency_n10_20260722_004552_kafka_feed2_rep3,kafka,single,10,105.631595,105.6573391,1.055811,1.0769337,102.967958,7
