Experiment,Backend,Scenario,TTI p50,TTI p95,TTI Mean,Match Rate,Kafka CPU,Redis CPU,Samples,Runs
S3,kafka,s1,4000.2350382000004,5882.65972725,4049.339992936161,1.0,0.0,0.0,0.0,5
S3,kafka,s2,6120.9574636,9804.88262925,6134.416477571365,1.0,0.0,0.0,0.0,5
S3,kafka,s2full,6111.399871600001,10737.403423200001,6362.055132177729,1.0,0.0,0.0,0.0,5
S3,kafka,s2sf12,6070.1656838,9727.168363249999,6103.121798718709,1.0,0.0,0.0,0.0,5
S3,kafka,s2sf12j2,6058.284757200001,9639.83579232,6067.7641758919635,1.0,0.0,0.0,0.0,5
S3,redis,s1,2708.3920449999996,3319.38078225,2705.3438865179946,1.0,0.0,0.0,0.0,5
S3,redis,s2,3484.023747,4858.846571249999,3500.135664119455,1.0,0.0,0.0,0.0,5
S3,redis,s2full,4066.1645580000004,6693.678815199996,4093.928986684252,1.0,0.0,0.0,0.0,5
S3,redis,s2sf12,3178.2660270000006,4254.73680975,3183.3777456357047,1.0,0.0,0.0,0.0,5
S3,redis,s2sf12j2,3214.6965583000006,4326.387035180001,3219.6826479560827,1.0,0.0,0.0,0.0,5
S4,kafka,s2sf12,5066.0052809375,7760.36195685625,5070.414807743025,1.0,0.0,0.0,0.0,8
S4,kafka,s2sf12j2,5093.080082375,7806.0155336875,5096.639632833803,1.0,0.0,0.0,0.0,8
S4,redis,s2sf12,3066.8186691875,4055.32576825625,3072.769846507602,1.0,0.0,0.0,0.0,8
S4,redis,s2sf12j2,3065.57013975,4058.48746674375,3073.4251751031825,1.0,0.0,0.0,0.0,8
S5,kafka,s2sf12,5143.231742833334,7902.524064241666,5141.069185625154,1.0,5.355,0.225,5.166666666666667,6
S5,kafka,s2sf12j2,3419.7104043333334,4604.499418391667,3418.0412290223844,1.0,2.7949999999999995,0.22666666666666668,13.333333333333334,6
S5,redis,s2sf12,3071.098744833333,4096.290691408333,3080.9090789696857,1.0,1.585,0.245,5.166666666666667,6
S5,redis,s2sf12j2,2633.710246666666,3190.1325811999995,2634.160393854416,1.0,1.4816666666666665,0.24333333333333332,9.166666666666666,6
