rate_hz,p,q,n,theta_local_pct,D_observed,D_null_center,p_value,powered,mean_residual_pts,branch_classifiable,upper_weight,upper_ci_lo,upper_ci_hi
1250,4,5,5,47.01,0.1309,0.3507,0.00025,True,-4.4,False,,,
1000,1,1,5,47.9,0.0026,0.479,0.00025,True,12.35,True,0.6,0.147,0.947
900,10,9,5,48.3,0.2647,0.347,0.04374,True,-0.33,False,,,
875,8,7,5,48.4,0.209,0.3881,0.00025,True,0.27,False,,,
800,5,4,5,48.7,0.1042,0.0519,0.992,False,-0.96,False,,,
700,10,7,5,49.11,0.3293,0.4375,0.00225,True,-1.29,False,,,
625,8,5,10,49.41,0.1115,0.4704,0.00025,True,0.86,False,,,
600,5,3,6,49.51,0.034,0.4853,0.00025,True,-4.2,True,0.333,0.043,0.777
500,2,1,5,49.91,0.0431,0.4991,0.00025,True,-25.61,False,,,
400,5,2,5,50.32,0.0932,0.0063,1.0,False,4.35,False,,,
300,10,3,10,50.59,0.2209,0.4824,0.00025,True,-4.03,False,,,
250,4,1,5,50.59,0.181,0.4941,0.00025,True,8.38,False,,,
