campaign,cell,rate_hz,cross_host,sent,kept,discarded_zero,discarded_negative,retention_pct,jitter_p50_us,jitter_p90_us,jitter_p99_us,truncated
harness_local,r300_rep1,300,False,54000,19466,34534,0,36.0481,66.7,69.2,72.3,False
harness_local,r300_rep2,300,False,54000,1445,52555,0,2.6759,65.1,67.8,69.8,False
harness_local,r300_rep3,300,False,54000,18160,35840,0,33.6296,66.3,68.2,70.2,False
harness_local,r300_rep4,300,False,54000,18175,35825,0,33.6574,66.0,67.9,69.4,False
harness_local,r457_rep1,457,False,82260,24290,57970,0,29.5283,65.2,67.3,72.1,False
harness_local,r457_rep2,457,False,82260,24888,57372,0,30.2553,64.7,66.9,71.8,False
harness_local,r457_rep3,457,False,82260,24228,58032,0,29.453,64.9,67.1,72.4,False
harness_local,r457_rep4,457,False,82260,24083,58177,0,29.2767,65.0,67.2,72.0,False
harness_local,r500_rep1,500,False,90000,16,89984,0,0.0178,65.0,66.4,68.0,False
harness_local,r500_rep2,500,False,90000,4,89996,0,0.0044,64.7,66.4,68.1,False
harness_local,r500_rep3,500,False,90000,18,89982,0,0.02,64.3,66.5,68.2,False
harness_local,r500_rep4,500,False,90000,89999,1,0,99.9989,64.6,66.5,68.8,False
harness_xhost,r300_rep1,300,True,54000,18055,35945,0,33.4352,65.9,67.9,69.5,False
harness_xhost,r300_rep2,300,True,54000,18160,35840,0,33.6296,66.5,68.3,69.8,False
harness_xhost,r300_rep3,300,True,54000,18044,35956,0,33.4148,66.2,68.0,69.5,False
harness_xhost,r300_rep4,300,True,54000,178,53822,0,0.3296,66.6,68.5,70.0,False
harness_xhost,r457_rep1,457,True,82260,11017,71243,0,13.3929,65.4,67.2,72.0,False
harness_xhost,r457_rep2,457,True,82260,13221,69039,0,16.0722,65.1,66.9,71.7,False
harness_xhost,r457_rep3,457,True,82260,15745,66515,0,19.1405,62.3,66.3,71.2,False
harness_xhost,r457_rep4,457,True,82260,22167,60093,0,26.9475,65.3,67.2,71.6,False
harness_xhost,r500_rep1,500,True,90000,43,89957,0,0.0478,64.0,66.6,68.7,False
harness_xhost,r500_rep2,500,True,90000,89997,3,0,99.9967,65.2,66.8,68.4,False
harness_xhost,r500_rep3,500,True,90000,89987,13,0,99.9856,65.1,66.6,68.1,False
harness_xhost,r500_rep4,500,True,90000,46,89954,0,0.0511,64.2,66.5,68.4,False
