load_pct,rep,valid,discarded_total,discarded_zero,discarded_negative,most_negative_micros,kept,pub_lines
0,1,1,118608,118608,0,0,1821,24
0,2,1,119414,119414,0,0,998,24
0,3,1,4,4,0,0,120425,24
50,1,1,28542,28542,0,0,91982,24
50,2,1,40728,40728,0,0,79813,24
50,3,1,722,722,0,0,119783,24
75,1,1,5222,5222,0,0,115348,24
75,2,1,96259,96259,0,0,24376,24
75,3,1,5318,5318,0,0,115233,24
88,1,1,5600,5600,0,0,115130,24
88,2,1,92750,92750,0,0,27913,24
88,3,1,5768,5768,0,0,114944,24
95,1,1,88643,88643,0,0,31991,24
95,3,1,6369,6369,0,0,114365,24
