load_pct,rep,valid,discarded_total,discarded_zero,discarded_negative,most_negative_micros,kept,pub_lines
0,1,1,4,4,0,0,120439,24
0,2,1,4318,4318,0,0,116161,24
0,3,1,25,25,0,0,120422,24
50,1,1,115991,115991,0,0,4494,24
50,2,1,114754,114754,0,0,5778,24
50,3,1,821,821,0,0,119680,24
75,1,1,6386,6386,0,0,114153,24
75,2,1,5770,5770,0,0,114877,24
75,3,1,66017,66017,0,0,54642,24
88,1,1,6601,6601,0,0,114070,24
88,2,1,57807,57807,0,0,62917,24
88,3,1,5750,5750,0,0,114978,24
95,1,1,92103,92103,0,0,28622,24
95,2,1,6367,6367,0,0,114266,24
95,3,1,94617,94617,0,0,26183,24
