campaign,cell,kept,discarded_zero,discarded_negative,retention_pct,omb_p50_ms,omb_p99_ms,omb_max_ms,omb_avg_ms,pub_lat_p50_ms,pub_lat_avg_ms,result_json
load_sweep,l0_rep1,1821,118608,0,1.5121,1.0,6.0,6.0,1.2307692307692306,0.3,0.3,omb_workload-Kafka-2026-07-26-14-40-57.json
load_sweep,l0_rep2,998,119414,0,0.8288,1.0,10.0,10.0,2.625,0.3,0.3,omb_workload-Kafka-2026-07-26-14-49-27.json
load_sweep,l0_rep3,120425,4,0,99.9967,1.0,1.0,1.0,1.0,0.3,0.3,omb_workload-Kafka-2026-07-26-14-57-57.json
load_sweep,l50_rep1,91982,28542,0,76.3184,1.0,2.0,6.0,1.0274193548387098,0.4,0.4,omb_workload-Kafka-2026-07-26-15-06-32.json
load_sweep,l50_rep2,79813,40728,0,66.2123,1.0,2.0,6.0,1.0351782363977486,0.3,0.4,omb_workload-Kafka-2026-07-26-15-15-08.json
load_sweep,l50_rep3,119783,722,0,99.4009,1.0,3.0,5.0,1.0392313851080865,0.4,0.4,omb_workload-Kafka-2026-07-26-15-23-43.json
load_sweep,l75_rep1,115348,5222,0,95.6689,1.0,4.0,11.0,1.21217173822426,0.4,0.5,omb_workload-Kafka-2026-07-26-15-32-20.json
load_sweep,l75_rep2,24376,96259,0,20.2064,1.0,5.0,7.0,1.7419354838709677,0.4,0.5,omb_workload-Kafka-2026-07-26-15-40-56.json
load_sweep,l75_rep3,115233,5318,0,95.5886,1.0,4.0,6.0,1.2413361169102297,0.4,0.5,omb_workload-Kafka-2026-07-26-15-49-30.json
load_sweep,l88_rep1,115130,5600,0,95.3616,1.0,4.0,9.0,1.3147335423197493,0.4,0.5,omb_workload-Kafka-2026-07-26-15-58-06.json
load_sweep,l88_rep2,27913,92750,0,23.133,2.0,5.0,7.0,1.8823529411764706,0.4,0.5,omb_workload-Kafka-2026-07-26-16-06-41.json
load_sweep,l88_rep3,114944,5768,0,95.2217,1.0,4.0,6.0,1.348513204408401,0.4,0.5,omb_workload-Kafka-2026-07-26-16-15-17.json
load_sweep,l95_rep1,31991,88643,0,26.5191,2.0,5.0,10.0,1.8513409961685825,0.4,0.5,omb_workload-Kafka-2026-07-26-16-23-53.json
load_sweep,l95_rep2,93381,27311,0,77.3713,1.0,4.0,8.0,1.3013359722909452,0.4,0.6,omb_workload-Kafka-2026-07-26-16-32-29.json
load_sweep,l95_rep3,114365,6369,0,94.7248,1.0,4.0,7.0,1.2878182200715338,0.4,0.6,omb_workload-Kafka-2026-07-26-16-41-03.json
resolution,s200_rep1,120434,0,0,100.0,1.0,1.0,7.0,1.003197442046363,0.4,0.4,omb_workload-Kafka-2026-07-26-16-50-14.json
resolution,s200_rep2,431,120002,0,0.3579,1.0,5.0,5.0,1.5333333333333332,0.3,0.3,omb_workload-Kafka-2026-07-26-16-58-34.json
resolution,s4096_rep1,13177,107259,0,10.9411,1.0,1.0,1.0,1.0,0.4,0.7,omb_workload-Kafka-2026-07-26-17-06-54.json
resolution,s4096_rep2,120421,2,0,99.9983,1.0,1.0,6.0,1.0019984012789769,0.4,0.5,omb_workload-Kafka-2026-07-26-17-15-15.json
resolution,s65536_rep1,43289,77229,0,35.9191,519.001,1097.007,1099.007,479.30999396551726,0.6,122.5,omb_workload-Kafka-2026-07-26-17-23-35.json
