rate_hz,interval_ms,q,commensurate,cell_width_pts,grid_distance_pts,cell_fraction,predicted_full,observed_full,n,spread_pts,predicted_spread_pts,retentions
1000,1.0,1,True,100.0,49.506,0.9901,True,True,3,99.325,100.0,0.674 99.987 99.999
889,1.1249,889,False,0.0,,,,,5,1.699,0.0,46.614 46.831 47.464 47.568 48.313
875,1.1429,7,True,14.286,6.649,0.9309,True,True,5,10.697,14.286,42.950 43.347 50.598 52.835 53.647
800,1.25,4,True,25.0,0.494,0.0395,False,False,5,7.177,0.0,43.265 44.696 49.894 50.440 50.443
625,1.6,5,True,20.0,9.506,0.9506,True,True,5,17.892,20.0,40.709 42.112 46.583 55.502 58.601
611,1.6367,611,False,0.0,,,,,3,3.054,0.0,46.453 47.486 49.506
600,1.6667,3,True,33.333,16.173,0.9704,True,True,4,32.697,33.333,33.975 34.293 34.899 66.672
500,2.0,1,True,100.0,49.506,0.9901,True,True,4,99.515,100.0,0.471 1.509 18.016 99.986
457,2.1882,457,False,0.0,,,,,4,2.101,0.0,48.770 49.504 49.693 50.872
400,2.5,2,True,50.0,0.494,0.0197,False,False,5,17.605,0.0,50.423 50.451 50.879 53.525 68.029
383,2.611,383,False,0.0,,,,,4,2.849,0.0,50.282 51.094 51.455 53.131
333,3.003,333,False,0.0,,,,,3,3.106,0.0,50.647 51.233 53.752
300,3.3333,3,True,33.333,16.173,0.9704,True,True,5,30.49,33.333,34.865 36.717 39.423 41.128 65.354
250,4.0,1,True,100.0,49.506,0.9901,True,True,3,58.603,100.0,41.390 99.529 99.993
