campaign,cell,axis,level,rep,valid,invalid_reason,kept,discarded_zero,discarded_negative,most_negative_micros,zero_share,message_size_b,producer_rate,duration_min,warmup_min,load_pct,bootstrap,count_source,stdout_bytes,stdout_sha256,mtime_utc
bimodality,l0_rep1,load_pct,0,1,1,,3150,117290,0,0,0.973846,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31426217,0e393507bb322f06cf6e7f258c4eaca0fdd5d9c47740bacd94407cfb89afc702,2026-07-26T22:23:51Z
bimodality,l0_rep10,load_pct,0,10,1,,8846,111603,0,0,0.926558,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31420413,8ac0d0e75efceb61b1a1ca8c3e637cc5c68c2c3596d03689887efaa8cfb3114f,2026-07-26T23:40:19Z
bimodality,l0_rep2,load_pct,0,2,1,,499,119873,0,0,0.995855,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31434637,6220275e51370e6c3298fd5d3afa6782a085803ce3cc464e2b297ee53f591f70,2026-07-26T22:32:20Z
bimodality,l0_rep3,load_pct,0,3,1,,120404,13,0,0,0.000108,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31501022,d6a90fe05054c5ec681d9997c2aa85e42cc71c044a70159056ffab940998a5e0,2026-07-26T22:40:49Z
bimodality,l0_rep4,load_pct,0,4,1,,120398,10,0,0,8.3e-05,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,34215792,4ef879a760e41b3d89c98e870c4d2a251f5486bfe6e61b349766346338e11216,2026-07-26T22:49:20Z
bimodality,l0_rep5,load_pct,0,5,1,,47432,72985,0,0,0.606102,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31486449,bf46c7e0e50a32efbc00cbdc32e5fc27592bc736e125dd018df2914d6507e9f4,2026-07-26T22:57:51Z
bimodality,l0_rep6,load_pct,0,6,1,,120437,1,0,0,8e-06,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31503611,db7a905831e0f9a7a15dedab42fe20cb5e90bc319868c4ea444cfe117ce25b74,2026-07-26T23:06:19Z
bimodality,l0_rep7,load_pct,0,7,1,,531,119907,0,0,0.995591,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31481835,afebf5da59dd99b696aa3c9a6c75fb89a969c433daffb788b841cfef6a6fa95d,2026-07-26T23:14:50Z
bimodality,l0_rep8,load_pct,0,8,1,,3500,116938,0,0,0.970939,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,30944839,d85c52422dacb018365e620c3256ad0c630d42219338655945a239bece7c2968,2026-07-26T23:23:21Z
bimodality,l0_rep9,load_pct,0,9,1,,1201,119236,0,0,0.990028,200,500,3,1,0,10.0.1.221:19092,shutdown_hook,31488740,00a8efde6ee4f79dfc60ede200f95c92bd2e0c649c1d44a7f5950c1ca194a23c,2026-07-26T23:31:50Z
exact1,exact1,,,,1,,1093,59145,0,0,0.981855,200,500,1,1(default),0,10.0.1.221:19092,shutdown_hook,11776822,5d5b47d57787cadec4508c73f2e63b5a1c96954fb854d698bc2ba5371d98188e,2026-07-26T14:35:22Z
idem1,idem1,,,,1,,266,50000,0,0,0.994708,200,500,1,1(default),0,10.0.1.221:19092,none_in_log,11770374,924ff0ccddd22bff6d514dd77e138f40a8850adefaf4f2f5b14be63b8a3b4a13,2026-07-26T14:20:51Z
idem2,idem2,,,,1,,2967,50000,0,0,0.943984,200,500,1,1(default),0,10.0.1.221:19092,none_in_log,11782555,463a09220a4d828b641f1ce2edae7d26934a8ac9d8a8c349a22f24063e8e62d0,2026-07-26T14:27:10Z
load_sweep,l0_rep1,load_pct,0,1,1,,1821,118608,0,0,0.984879,200,500,3,1(default),0,10.0.1.221:19092,shutdown_hook,31481853,d3b79715cb8442f55de4b10d48f4a9eaba5d47ad48e20290454e3779e7e69508,2026-07-26T14:44:23Z
load_sweep,l0_rep2,load_pct,0,2,1,,998,119414,0,0,0.991712,200,500,3,1(default),0,10.0.1.221:19092,shutdown_hook,31506204,1d623bcb9ffee56103e70064b351a3f136501cd0250956a0f25a5d753bf856e9,2026-07-26T14:52:53Z
load_sweep,l0_rep3,load_pct,0,3,1,,120425,4,0,0,3.3e-05,200,500,3,1(default),0,10.0.1.221:19092,shutdown_hook,31414118,d7a98ca6bbae690d725047c527b4604ce9b91248717a257deef5db112dc993eb,2026-07-26T15:01:23Z
load_sweep,l50_rep1,load_pct,50,1,1,,91982,28542,0,0,0.236816,200,500,3,1(default),50,10.0.1.221:19092,shutdown_hook,34867600,7a2f9fd8f268268effcbe2fe99ac2fee5e4cf5d16f90690a8b53e8698f126642,2026-07-26T15:09:58Z
load_sweep,l50_rep2,load_pct,50,2,1,,79813,40728,0,0,0.337877,200,500,3,1(default),50,10.0.1.221:19092,shutdown_hook,30652524,1a153a5d729c3e08cda6bb1f4de13aec4fe31df90af6eb8737c55b76e19b4ae2,2026-07-26T15:18:34Z
load_sweep,l50_rep3,load_pct,50,3,1,,119783,722,0,0,0.005991,200,500,3,1(default),50,10.0.1.221:19092,shutdown_hook,31176913,6bde49661ba6abb15fa2fd64d57dd6341b49d26c71988c38084b42bc81d802dd,2026-07-26T15:27:09Z
