slot_ts,n_matches,competitions
2016-04-20 20:45:00,12,"La Liga, Premier League, Serie A"
2016-05-08 17:00:00,12,"La Liga, Premier League"
2016-05-07 21:00:00,10,Ligue 1
2016-05-14 21:00:00,10,Ligue 1
2016-03-02 21:00:00,9,"1. Bundesliga, Premier League"
2016-05-07 15:30:00,9,1. Bundesliga
2016-05-14 15:30:00,9,1. Bundesliga
2016-05-15 16:00:00,9,Premier League
2015-09-23 20:00:00,8,"1. Bundesliga, La Liga"
2015-09-23 20:45:00,8,Serie A
2015-10-28 21:45:00,8,Serie A
2016-02-03 21:45:00,8,Serie A
2015-08-23 20:45:00,7,Serie A
2015-08-30 20:45:00,7,Serie A
2015-09-26 16:00:00,7,"La Liga, Premier League"
2015-10-17 16:00:00,7,"La Liga, Premier League"
2015-12-05 16:00:00,7,"Premier League, Serie A"
2015-12-26 16:00:00,7,Premier League
2016-01-02 16:00:00,7,"La Liga, Premier League"
2016-04-02 16:00:00,7,"La Liga, Premier League"
2015-08-08 21:00:00,6,Ligue 1
2015-08-29 16:00:00,6,Premier League
2015-09-12 16:00:00,6,"La Liga, Premier League"
2015-09-19 16:00:00,6,"La Liga, Premier League"
2015-09-22 20:00:00,6,"1. Bundesliga, La Liga"
2015-10-03 16:00:00,6,"La Liga, Premier League"
2015-10-18 15:00:00,6,Serie A
2015-10-24 16:00:00,6,"La Liga, Premier League"
2015-10-31 16:00:00,6,Premier League
2015-11-21 16:00:00,6,Premier League
2015-11-22 16:00:00,6,Serie A
2015-11-28 16:00:00,6,"La Liga, Premier League"
2015-12-12 16:00:00,6,"La Liga, Premier League, Serie A"
2015-12-19 16:00:00,6,Premier League
2016-01-06 16:00:00,6,Serie A
2016-01-16 16:00:00,6,"Premier League, Serie A"
2016-01-23 16:00:00,6,Premier League
2016-01-24 16:00:00,6,Serie A
2016-02-03 20:00:00,6,Ligue 1
2016-02-06 16:00:00,6,Premier League
2016-02-13 16:00:00,6,"Premier League, Serie A"
2016-03-05 16:00:00,6,Premier League
2016-03-05 16:30:00,6,1. Bundesliga
2016-04-09 16:00:00,6,"La Liga, Premier League"
2016-04-30 15:30:00,6,1. Bundesliga
2016-04-30 16:00:00,6,"La Liga, Premier League"
2021-05-09 15:30:00,6,FA Women's Super League
2015-08-15 15:30:00,5,1. Bundesliga
2015-08-15 16:00:00,5,Premier League
2015-08-15 20:00:00,5,Ligue 1
2015-08-22 15:30:00,5,1. Bundesliga
2015-08-22 16:00:00,5,Premier League
2015-08-22 20:00:00,5,Ligue 1
2015-08-29 15:30:00,5,1. Bundesliga
2015-08-29 20:00:00,5,Ligue 1
2015-09-12 15:30:00,5,1. Bundesliga
2015-09-12 20:00:00,5,Ligue 1
2015-09-19 15:30:00,5,1. Bundesliga
2015-09-20 15:00:00,5,Serie A
2015-09-23 19:00:00,5,Ligue 1
2015-09-26 15:30:00,5,1. Bundesliga
2015-10-03 15:30:00,5,1. Bundesliga
2015-10-17 15:30:00,5,1. Bundesliga
