competition_name,n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,burstiness,n_matches
La Liga,3618.0,8345.0,0.43380486035545884,2.7,1.0,0.0,6.3121078862503675,867
Ligue 1,3613.0,8377.0,0.4300284629981025,2.7,1.0,0.0,6.317996949669548,435
Premier League,3452.0,8465.0,0.4068662675150708,2.6,1.0,0.0,6.503275347136369,418
Serie A,3543.5,8408.0,0.4229501721463894,2.7,1.0,0.0,6.352040842295984,380
1. Bundesliga,3543.0,8336.0,0.4233716919185935,2.7,1.0,0.0,6.422075486670936,340
FA Women's Super League,3355.0,8482.5,0.3969656815889556,2.6,1.0,0.0,6.5480421094057455,326
FIFA World Cup,3564.0,8636.0,0.4037405569575834,2.6500000000000004,1.0,0.0,6.607864698277911,128
Women's World Cup,3418.5,8662.5,0.38628161256426485,2.6,1.0,0.0,6.81535565518601,116
Indian Super league,2977.0,8610.0,0.3459704616815909,2.6,1.0,0.0,7.64320272572402,115
African Cup of Nations,3112.0,8823.5,0.34171391434116755,2.55,1.0,0.0,7.885283025087998,52
UEFA Euro,3677.0,8501.0,0.4155545329038196,2.7,1.0,0.0,6.746825396825397,51
NWSL,3151.0,8411.5,0.3749659737336215,2.5,1.0,0.0,6.664527029981809,36
UEFA Women's Euro,3387.0,8523.0,0.38296597987541925,2.6,1.0,0.0,6.789114795120426,31
Champions League,3421.5,8479.0,0.3906855663942429,2.6500000000000004,1.0,0.0,7.006405297474952,14
Major League Soccer,3546.0,8508.5,0.4212899653851079,2.6,1.0,0.0,6.155388001309193,6
