season_start_year,n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,burstiness,n_matches
2015,3492.0,8392.5,0.4162497239972306,2.7,1.0,0.0,6.449030880233509,1824
2018,3403.0,8474.0,0.4017898651789865,2.6,1.0,0.0,6.469855072463768,243
2020,3523.0,8476.0,0.40989483747609945,2.7,1.0,0.0,6.556519138755981,217
2019,3474.0,8497.5,0.4050649877217726,2.6,1.0,0.0,6.473546042579926,172
2023,3471.0,8764.0,0.38628161256426485,2.7,1.0,0.0,6.857759250487043,156
2021,3052.0,8591.0,0.3510379218369477,2.7,1.0,0.0,7.421728395061728,141
2022,3621.0,8636.0,0.41522491349480967,2.7,1.0,0.0,6.53127147766323,127
2014,3823.0,8294.0,0.4565191171149439,2.7,1.0,0.0,6.043952953208898,39
2003,3424.0,8363.0,0.4091719139836046,2.6,1.0,0.0,6.282970912171703,39
2011,3940.5,8331.5,0.47182236800422234,2.8,1.0,0.0,5.9242175282996845,38
2017,3802.0,8314.0,0.45160505836575876,2.8,1.0,0.0,6.275574963609898,37
2009,3691.5,8338.5,0.43919368995450836,2.7,1.0,0.0,6.17918410528605,36
2016,3677.0,8308.0,0.44325042260323594,2.7,1.0,0.0,6.162361623616237,35
2010,3950.0,8340.0,0.4719519861910507,2.8499999999999996,1.0,0.0,6.106385390725568,34
2012,4102.0,8342.0,0.4863647142518378,2.8,1.0,0.0,5.695563139931741,33
2008,3447.0,8359.5,0.4163220864111119,2.7,1.0,0.0,6.389801868100764,32
2013,3841.0,8344.0,0.46120306678972656,2.9,1.0,0.0,6.447378710027845,32
2007,3607.0,8387.5,0.429225913408431,2.6,1.0,0.0,6.019665184918669,28
2006,3475.0,8363.0,0.4137675795706884,2.6,1.0,0.0,6.302867277564292,27
2005,3440.0,8365.0,0.40858505564387915,2.6,1.0,0.0,6.5049376017363,17
2004,3218.5,8428.0,0.37007664161343745,2.5,1.0,0.0,6.719281799826939,8
