n_events,duration_s,mean_rate_evs,peak_rate_evs,gap_p50_s,gap_p05_s,gap_min_s,burstiness,match_id,competition_name,season_name,gender,season_start_year
3518,8371.0,0.42026042288854376,2.5,1.0,0.0,1.0,5.948692438885731,3749052,Premier League,2003/2004,male,2003
3156,8614.0,0.3663803111214302,2.9,1.0,0.0,1.0,7.915272496831433,3749068,Premier League,2003/2004,male,2003
3612,8387.0,0.4306665076904734,2.5,1.0,0.0,1.0,5.804955703211517,3749079,Premier League,2003/2004,male,2003
3235,8392.0,0.38548617731172546,2.7,1.0,0.0,1.0,7.004142194744977,3749108,Premier League,2003/2004,male,2003
3125,8432.0,0.37061195445920303,2.3,1.0,0.0,1.0,6.205952,3749117,Premier League,2003/2004,male,2003
3384,8350.0,0.4052694610778443,2.4,1.0,0.0,1.0,5.921985815602837,3749133,Premier League,2003/2004,male,2003
3514,8292.0,0.42378195851423056,2.4,1.0,0.0,1.0,5.66328969834946,3749153,Premier League,2003/2004,male,2003
3624,8250.0,0.43927272727272726,2.6,1.0,0.0,1.0,5.918874172185431,3749192,Premier League,2003/2004,male,2003
2744,8598.0,0.3191439869737148,2.4,1.0,0.0,1.0,7.520116618075801,3749196,Premier League,2003/2004,male,2003
3404,8411.0,0.40470812031863035,2.5,1.0,0.0,1.0,6.17729142185664,3749233,Premier League,2003/2004,male,2003
3099,8325.0,0.3722522522522522,2.7,1.0,0.0,1.0,7.253146176185868,3749246,Premier League,2003/2004,male,2003
3337,8397.0,0.39740383470287005,2.5,1.0,0.0,1.0,6.290830086904405,3749253,Premier League,2003/2004,male,2003
3456,8326.0,0.415085275042037,2.3,1.0,0.0,1.0,5.5410300925925915,3749257,Premier League,2003/2004,male,2003
3727,8294.0,0.44936098384374246,2.5,1.0,0.0,1.0,5.563455862624094,3749274,Premier League,2003/2004,male,2003
3350,8460.0,0.3959810874704492,2.7,1.0,0.0,1.0,6.818507462686568,3749276,Premier League,2003/2004,male,2003
3154,8290.0,0.3804583835946924,3.1,1.0,0.0,1.0,8.148065948002536,3749278,Premier League,2003/2004,male,2003
3221,8363.0,0.38514887002271914,3.5,1.0,0.0,1.0,9.087395218876125,3749296,Premier League,2003/2004,male,2003
3426,8326.0,0.41148210425174153,2.4,1.0,0.0,1.0,5.832574430823117,3749310,Premier League,2003/2004,male,2003
3476,8347.0,0.41643704324907155,2.6,1.0,0.0,1.0,6.243440736478711,3749346,Premier League,2003/2004,male,2003
3900,8274.0,0.4713560551124003,2.3,1.0,0.0,1.0,4.879538461538461,3749358,Premier League,2003/2004,male,2003
3706,8329.0,0.44495137471485174,2.4,1.0,0.0,1.0,5.393847814355099,3749360,Premier League,2003/2004,male,2003
3424,8301.0,0.4124804240452957,2.7,1.0,0.0,1.0,6.545765186915888,3749403,Premier League,2003/2004,male,2003
3248,8347.0,0.38912184018210133,2.6,1.0,0.0,1.0,6.681711822660099,3749431,Premier League,2003/2004,male,2003
3479,8295.0,0.41940928270042194,2.5,1.0,0.0,1.0,5.960764587525151,3749434,Premier League,2003/2004,male,2003
3032,8360.0,0.3626794258373206,2.2,1.0,0.0,1.0,6.065963060686016,3749448,Premier League,2003/2004,male,2003
3541,8240.0,0.42973300970873785,2.7,1.0,0.0,1.0,6.282970912171703,3749453,Premier League,2003/2004,male,2003
3338,8420.0,0.396437054631829,2.4,1.0,0.0,1.0,6.053924505692031,3749454,Premier League,2003/2004,male,2003
3802,8275.0,0.4594561933534743,3.1,1.0,0.0,1.0,6.747106785902157,3749462,Premier League,2003/2004,male,2003
3735,8380.0,0.4457040572792363,2.7,1.0,0.0,1.0,6.057831325301205,3749465,Premier League,2003/2004,male,2003
3057,8460.0,0.36134751773049645,2.6,1.0,0.0,1.0,7.1952894995093235,3749493,Premier League,2003/2004,male,2003
3542,8292.0,0.42715870718765075,2.5,1.0,0.0,1.0,5.852625635234331,3749522,Premier League,2003/2004,male,2003
3444,8417.0,0.4091719139836046,2.7,1.0,0.0,1.0,6.598693379790942,3749526,Premier League,2003/2004,male,2003
3237,8363.0,0.3870620590697118,2.4,1.0,0.0,1.0,6.200556070435589,3749528,Premier League,2003/2004,male,2003
3572,8394.0,0.42554205384798666,2.7,1.0,0.0,1.0,6.34484882418813,3749552,Premier League,2003/2004,male,2003
3237,8387.0,0.38595445332061523,2.5,1.0,0.0,1.0,6.4774482545566885,3749590,Premier League,2003/2004,male,2003
3616,8404.0,0.43027129938124703,3.0,1.0,0.0,1.0,6.972345132743363,3749603,Premier League,2003/2004,male,2003
3304,8495.0,0.388934667451442,2.6,1.0,0.0,1.0,6.684927360774819,3749631,Premier League,2003/2004,male,2003
3625,8356.0,0.43382000957395883,2.8,1.0,0.0,1.0,6.454289655172413,3749642,Premier League,2003/2004,male,2003
3683,8544.0,0.431062734082397,2.8,1.0,0.0,1.0,6.495574260114037,3753972,Premier League,2015/2016,male,2015
3478,8766.0,0.3967602099018937,3.1,1.0,0.0,1.0,7.813283496262219,3753973,Premier League,2015/2016,male,2015
3562,8375.0,0.4253134328358209,2.6,1.0,0.0,1.0,6.113138686131387,3753974,Premier League,2015/2016,male,2015
3769,8452.0,0.445929957406531,2.4,1.0,0.0,1.0,5.3820111435394,3753975,Premier League,2015/2016,male,2015
3939,8485.0,0.46423099587507366,2.7,1.0,0.0,1.0,5.816070068545317,3753976,Premier League,2015/2016,male,2015
3545,8433.0,0.42037234673307244,2.6,1.0,0.0,1.0,6.184992947813822,3753977,Premier League,2015/2016,male,2015
3492,8538.0,0.4089950808151792,2.4,1.0,0.0,1.0,5.868041237113402,3753978,Premier League,2015/2016,male,2015
3068,8600.0,0.35674418604651165,2.5,1.0,0.0,1.0,7.0078226857887875,3753979,Premier League,2015/2016,male,2015
3887,8465.0,0.4591848789131719,2.7,1.0,0.0,1.0,5.879984563931052,3753980,Premier League,2015/2016,male,2015
3502,8349.0,0.4194514313091388,2.7,1.0,0.0,1.0,6.43697886921759,3753981,Premier League,2015/2016,male,2015
3477,8519.0,0.40814649606761355,2.5,1.0,0.0,1.0,6.125251653724475,3753982,Premier League,2015/2016,male,2015
3716,8522.0,0.43604787608542595,2.7,1.0,0.0,1.0,6.191980624327234,3753983,Premier League,2015/2016,male,2015
3420,8773.0,0.38983244044226606,2.9,1.0,0.0,1.0,7.4390935672514615,3753984,Premier League,2015/2016,male,2015
3387,8429.0,0.40182702574445367,2.5,1.0,0.0,1.0,6.221582521405374,3753985,Premier League,2015/2016,male,2015
3509,8282.0,0.4236899299686066,2.7,1.0,0.0,1.0,6.372584781989171,3753986,Premier League,2015/2016,male,2015
3141,8499.0,0.3695728909283445,2.4,1.0,0.0,1.0,6.493982808022922,3753987,Premier League,2015/2016,male,2015
3575,8409.0,0.4251397312403377,3.2,1.0,0.0,1.0,7.526937062937064,3753988,Premier League,2015/2016,male,2015
3553,8548.0,0.41565278427702385,2.5,1.0,0.0,1.0,6.014635519279483,3753989,Premier League,2015/2016,male,2015
3559,8423.0,0.4225335391190787,2.4,1.0,0.0,1.0,5.68002247822422,3753990,Premier League,2015/2016,male,2015
3887,8379.0,0.46389783983768945,3.0,1.0,0.0,1.0,6.466941085670183,3753991,Premier League,2015/2016,male,2015
3414,8656.0,0.3944085027726433,2.5,1.0,0.0,1.0,6.338605741066198,3753992,Premier League,2015/2016,male,2015
3573,8469.0,0.4218916046758767,2.7,1.0,0.0,1.0,6.399748110831235,3753993,Premier League,2015/2016,male,2015
3263,8349.0,0.3908252485327584,2.2,1.0,0.0,1.0,5.629114311982838,3753994,Premier League,2015/2016,male,2015
3606,8543.0,0.42209996488353035,3.2,1.0,0.0,1.0,7.58114254021076,3753995,Premier League,2015/2016,male,2015
3605,8415.0,0.42840166369578137,2.5,1.0,0.0,1.0,5.835644937586685,3753996,Premier League,2015/2016,male,2015
3694,8405.0,0.4395002974419988,2.9,1.0,0.0,1.0,6.598402815376286,3753997,Premier League,2015/2016,male,2015
3333,8423.0,0.39570224385610825,2.5,1.0,0.0,1.0,6.317881788178818,3753998,Premier League,2015/2016,male,2015
3671,8384.0,0.4378578244274809,2.7,1.0,0.0,1.0,6.166385181149551,3753999,Premier League,2015/2016,male,2015
3229,8485.0,0.3805539186800236,2.1,1.0,0.0,1.0,5.5182719108083,3754000,Premier League,2015/2016,male,2015
3392,8670.0,0.3912341407151096,2.5,1.0,0.0,1.0,6.39003537735849,3754001,Premier League,2015/2016,male,2015
3599,8350.0,0.4310179640718563,2.6,1.0,0.0,1.0,6.03223117532648,3754002,Premier League,2015/2016,male,2015
3688,8401.0,0.43899535769551246,2.4,1.0,0.0,1.0,5.46702819956616,3754003,Premier League,2015/2016,male,2015
3320,8468.0,0.3920642418516769,2.5,1.0,0.0,1.0,6.376506024096386,3754004,Premier League,2015/2016,male,2015
3372,8398.0,0.4015241724220052,2.9,1.0,0.0,1.0,7.222479240806643,3754005,Premier League,2015/2016,male,2015
2823,8496.0,0.332274011299435,2.4,1.0,0.0,1.0,7.222954303931988,3754006,Premier League,2015/2016,male,2015
3429,8598.0,0.39881367759944175,2.6,1.0,0.0,1.0,6.51933508311461,3754007,Premier League,2015/2016,male,2015
3433,8630.0,0.3977983777520278,2.8,1.0,0.0,1.0,7.038741625400524,3754008,Premier League,2015/2016,male,2015
4013,8476.0,0.47345445965077865,2.7,1.0,0.0,1.0,5.702766010465986,3754009,Premier League,2015/2016,male,2015
3381,8479.0,0.39874985257695483,2.6,1.0,0.0,1.0,6.520378586217095,3754010,Premier League,2015/2016,male,2015
3531,8495.0,0.41565626839317243,2.4,1.0,0.0,1.0,5.7740016992353445,3754011,Premier League,2015/2016,male,2015
3604,8448.0,0.4266098484848485,3.0,1.0,0.0,1.0,7.032186459489456,3754012,Premier League,2015/2016,male,2015
