condition,n_runs,n_trustworthy,worst_transport_ms,median_neg_fraction,usable
concurrency_n100_20260721_215236_kafka,97,18,-25.559392,0.7142857142857143,False
concurrency_n100_20260721_215236_redis,100,28,-15.379541,0.125,False
concurrency_n10_20260721_204317_kafka,30,0,-5.992236,0.13817515432098765,False
concurrency_n10_20260721_204317_redis,30,0,-13.138947,0.04361413043478261,False
concurrency_n10_20260721_210606_kafka,10,10,-0.283933,0.0,True
concurrency_n10_20260721_210606_redis,10,6,-0.680159,0.008132231404958678,False
concurrency_n10_20260721_214551_kafka,10,10,0.346579,0.0,True
concurrency_n10_20260721_214551_redis,10,7,-2.734785,0.0,False
concurrency_n1_20260721_203144_kafka,18,1,-0.91701,0.05226824457593689,False
concurrency_n1_20260721_203144_redis,18,2,-0.714932,0.0611439842209073,False
concurrency_n25_20260721_212431_kafka,20,12,-5.359502,0.007751937984496124,False
concurrency_n25_20260721_212431_redis,23,7,-7.606162,0.014084507042253521,False
concurrency_n25_20260721_213926_kafka,25,21,-2.301643,0.0,False
concurrency_n25_20260721_213926_redis,25,8,-7.234894,0.125,False
concurrency_n50_20260721_214627_kafka,48,24,-12.114333,0.0625,False
concurrency_n50_20260721_214627_redis,50,16,-10.64446,0.125,False
concurrency_n5_20260721_204137_kafka,15,0,-3.247237,0.10823529411764705,False
concurrency_n5_20260721_204137_redis,15,0,-1.96541,0.04814004376367615,False
concurrency_n5_20260721_205044_kafka,15,0,-5.395226,0.11835748792270531,False
concurrency_n5_20260721_205044_redis,15,0,-2.298318,0.06521739130434782,False
concurrency_n5_20260721_205224_kafka,15,14,-2.281534,0.002352941176470588,False
concurrency_n5_20260721_205224_redis,15,15,3135.744423,0.0,True
concurrency_n5_20260721_205421_kafka,15,12,-9.968587,0.0,False
concurrency_n5_20260721_205421_redis,15,15,24184.647011,0.0,True
concurrency_n5_20260721_205758_kafka,15,15,2.723748,0.0,True
concurrency_n5_20260721_205758_redis,15,15,82848.206492,0.0,True
concurrency_n5_20260721_215855_kafka,15,0,-7.292914,0.17391304347826086,False
concurrency_n5_20260721_215855_redis,15,0,-5.098643,0.047325102880658436,False
concurrency_n5_20260721_220200_kafka,15,11,-9.086332,0.0,False
concurrency_n5_20260721_220200_redis,15,15,40753.892211,0.0,True
concurrency_n5_20260721_220611_kafka,15,15,2.815288,0.0,True
concurrency_n5_20260721_220611_redis,15,15,123817.57403,0.0,True
concurrency_n5_20260721_221804_kafka,15,13,-2.720073,0.0,False
concurrency_n5_20260721_221804_redis,15,15,58162.1359,0.0,True
concurrency_n5_20260721_222346_kafka,15,13,-5.819594,0.0,False
concurrency_n5_20260721_222346_redis,15,15,66199.323143,0.0,True
concurrency_n5_20260721_223049_kafka,15,14,-7.341267,0.0,False
concurrency_n5_20260721_223049_redis,15,15,75112.922092,0.0,True
concurrency_n5_20260721_223730_kafka,15,13,-9.078359,0.0,False
concurrency_n5_20260721_223730_redis,15,15,83167.183214,0.0,True
