condition,n_runs,n_trustworthy,worst_transport_ms,median_neg_fraction,usable
concurrency_n10_20260617_162947_kafka,10,0,-14.1669,0.014557670772676373,False
concurrency_n10_20260617_162947_redis,10,10,-127.0066,0.003807390817469205,True
concurrency_n10_20260617_220303_kafka,19,0,-80.1563,0.12945128779395296,False
concurrency_n10_20260617_220303_redis,30,27,-220.2116,0.002127659574468085,False
concurrency_n10_20260617_221536_kafka,12,0,-33.9714,0.05442329227323628,False
concurrency_n10_20260617_221536_redis,30,26,-285.6731,0.002015677491601344,False
concurrency_n10_20260618_123920_kafka,30,2,-46.8611,0.015322183964584358,False
concurrency_n10_20260618_123920_redis,30,24,-26.021,0.0016109198229217903,False
concurrency_n10_20260721_101859_kafka,30,7,-19.6997,0.23419790620028952,False
concurrency_n10_20260721_101859_redis,30,0,-19.5706,0.08773205390574657,False
concurrency_n10_20260721_121450_kafka,30,4,-5.7555,0.18897366071566576,False
concurrency_n10_20260721_121450_redis,30,0,-9.0991,0.07933760104844656,False
concurrency_n10_20260721_122037_kafka,30,4,-4.3876,0.1327371076087555,False
concurrency_n10_20260721_122037_redis,30,0,-1027.2579,0.0621260929590428,False
concurrency_n10_20260721_122438_kafka,30,8,-13.0694,0.0679185406569644,False
concurrency_n10_20260721_122438_redis,30,13,-444.9314,0.012048735053892562,False
concurrency_n10_20260721_122750_kafka,24,10,-3.1937,0.017410063839951553,False
concurrency_n10_20260721_122750_redis,30,27,-13.8142,0.0015662140350392161,False
concurrency_n10_20260721_123038_kafka,30,29,831.5758,0.0,False
concurrency_n10_20260721_123038_redis,30,30,-37.0676,0.0002496386440122402,True
concurrency_n1_20260617_215247_kafka,1,1,0.0,0.0,True
concurrency_n1_20260617_215247_redis,1,0,-4.1976,0.012541993281075027,False
concurrency_n1_20260617_215826_kafka,3,1,-4.2212,0.2219484882418813,False
concurrency_n1_20260617_215826_redis,3,0,-4.0273,0.08667413213885779,False
concurrency_n1_20260617_221033_kafka,3,0,-4.394,0.12161254199328107,False
concurrency_n1_20260617_221033_redis,3,3,-1.5855,0.0013437849944008958,True
concurrency_n1_20260618_122822_kafka,3,1,-8.5515,0.014289227742252828,False
concurrency_n1_20260618_122822_redis,3,0,-40.7666,0.11834727004426955,False
concurrency_n1_20260721_100807_kafka,3,0,0.0,0.08344477132923242,False
concurrency_n1_20260721_100807_redis,3,1,-1.9969,0.43674779352768117,False
concurrency_n1_20260721_102459_kafka,15,2,-1.0751,0.11821342604974593,False
concurrency_n1_20260721_102459_redis,15,3,-2.9124,0.08371222251939021,False
concurrency_n20_20260617_163108_kafka,17,0,-53.2411,0.09182530795072788,False
concurrency_n20_20260617_163108_redis,20,19,-198.1745,0.0004479283314669653,False
concurrency_n20_20260617_220558_kafka,57,17,-108.2877,0.13639417693169092,False
concurrency_n20_20260617_220558_redis,60,56,-895.4935,0.0006718924972004479,False
concurrency_n20_20260617_221937_kafka,14,0,-88.2827,0.06674132138857783,False
concurrency_n20_20260617_221937_redis,60,60,-335.4125,0.0004479283314669653,True
concurrency_n20_20260618_124545_kafka,3,0,-174.3379,0.18536645351697,False
concurrency_n20_20260618_124545_redis,60,60,-195.7158,2.4594195769798327e-05,True
concurrency_n5_20260617_162836_kafka,5,5,-11.9708,0.006494960806270996,True
concurrency_n5_20260617_162836_redis,5,5,-79.6821,0.006270996640537514,True
concurrency_n5_20260617_220037_kafka,15,0,-30.8786,0.05890257558790594,False
concurrency_n5_20260617_220037_redis,15,5,-11.6115,0.025083986562150055,False
concurrency_n5_20260617_221240_kafka,15,0,-14.0688,0.06226203807390818,False
concurrency_n5_20260617_221240_redis,15,9,-122.3149,0.0022396416573348264,False
concurrency_n5_20260618_123346_kafka,15,0,-31.1414,0.06411706837186423,False
concurrency_n5_20260618_123346_redis,15,7,-55.7378,0.018125922282341368,False
concurrency_n5_20260721_101328_kafka,15,3,-3.2336,0.03469952225295449,False
concurrency_n5_20260721_101328_redis,15,1,-4.563,0.1902899217671422,False
concurrency_n5_20260721_123744_kafka,10,2,-3.0721,0.05886718158412843,False
concurrency_n5_20260721_123744_redis,10,1,-4.0534,0.0508850792941702,False
concurrency_n5_20260721_163410_kafka,15,2,-7.152,0.15752875100294197,False
concurrency_n5_20260721_163410_redis,15,0,-16.1533,0.13779230575810913,False
