condition,rho,threshold_ms,z,tail_mass,n_events
ea3/bg0,0.0025,0.0,4.175,0.00369,2985
ea3/bg10,1.0,0.0,0.564,0.31658,2985
ea3/bg10,1.0,0.5,0.951,0.28911,2985
ea3/bg10,1.0,1.0,1.338,0.14539,2985
ea3/bg10,1.0,2.0,2.112,0.07906,2985
ea3/bg10,1.0,5.0,4.432,0.00168,2985
ea3/bg12,1.0,0.0,0.456,0.26064,2985
ea3/bg12,1.0,0.5,0.749,0.23752,2985
ea3/bg12,1.0,1.0,1.041,0.13333,2985
ea3/bg12,1.0,2.0,1.626,0.08442,2985
ea3/bg12,1.0,5.0,3.38,0.00335,2985
ea3/bg2,0.2525,0.0,3.9,0.00402,2985
ea3/bg4,0.50374,0.0,3.778,0.00637,2985
ea3/bg4,0.50374,0.5,6.562,0.00402,2985
ea3/bg4,0.50374,1.0,9.347,0.00201,2985
ea3/bg5,0.62843,0.0,3.659,0.02446,2985
ea3/bg5,0.62843,0.5,6.416,0.01977,2985
ea3/bg5,0.62843,1.0,9.174,0.00838,2985
ea3/bg5,0.62843,2.0,14.688,0.00168,2985
ea3/bg6,0.75312,0.0,3.048,0.07638,2985
ea3/bg6,0.75312,0.5,5.145,0.06868,2985
ea3/bg6,0.75312,1.0,7.243,0.01407,2985
ea3/bg6,0.75312,2.0,11.437,0.00268,2985
ea3/bg7,0.8775,0.0,1.329,0.22379,2985
ea3/bg7,0.8775,0.5,2.121,0.20335,2985
ea3/bg7,0.8775,1.0,2.913,0.07404,2985
ea3/bg7,0.8775,2.0,4.497,0.03082,2985
ea3/bg8,1.0,0.0,0.549,0.37052,2985
ea3/bg8,1.0,0.5,0.957,0.33668,2985
ea3/bg8,1.0,1.0,1.365,0.15578,2985
ea3/bg8,1.0,2.0,2.182,0.08643,2985
