campaign,stamp,backend,run,median_ms
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed1_rep1,0.409349
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed1_rep2,0.372524
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed1_rep3,0.429851
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed1_rep4,0.357000
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed1_rep5,0.373791
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed2_rep1,0.417968
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed2_rep2,0.355402
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed2_rep3,0.440994
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed2_rep4,0.370145
E-C3,callback,kafka,concurrency_n2_20260724_031934_kafka_feed2_rep5,0.410267
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed1_rep1,0.106137
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed1_rep2,0.108095
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed1_rep3,0.111390
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed1_rep4,0.111060
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed1_rep5,0.089406
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed2_rep1,0.108346
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed2_rep2,0.104659
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed2_rep3,0.105420
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed2_rep4,0.100473
E-C3,callback,redis,concurrency_n2_20260724_031934_redis_feed2_rep5,0.090077
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed1_rep1,0.331221
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed1_rep2,0.310023
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed1_rep3,0.357737
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed1_rep4,0.334039
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed1_rep5,0.279061
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed2_rep1,0.320418
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed2_rep2,0.265675
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed2_rep3,0.328092
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed2_rep4,0.323944
E-C3,inline,kafka,concurrency_n2_20260724_033718_kafka_feed2_rep5,0.313208
E-C3,inline,redis,concurrency_n2_20260724_033718_redis_feed1_rep1,0.094123
E-C3,inline,redis,concurrency_n2_20260724_033718_redis_feed1_rep2,0.102972
E-C3,inline,redis,concurrency_n2_20260724_033718_redis_feed1_rep3,0.103393
E-C3,inline,redis,concurrency_n2_20260724_033718_redis_feed1_rep4,0.097879
E-C3,inline,redis,concurrency_n2_20260724_033718_redis_feed1_rep5,0.116322
