phase,condition,rho,geometry,inversion,p
ea_sat,bg0,0.0025,concentrated,0.00335,-0.004122987567042925
ea3,bg0,0.0025,concentrated,0.00369,-0.003193168094393213
ea_sat,bg2,0.2525,concentrated,0.00503,0.00047141453310859044
ea3,bg2,0.2525,concentrated,0.00402,-0.0022906962532920224
ea_sat,bg4,0.5037,concentrated,0.00279,-0.005654454933760097
ea3,bg4,0.5037,concentrated,0.00637,0.0041359971606103945
ea6,k5_spread,0.625,spread,0.03786,0.0902536889069028
ea_knee,bg5,0.6284,concentrated,0.01284,0.02182991477250344
ea3,bg5,0.6284,concentrated,0.02446,0.05360786263188475
ea6,k5_conc,0.6284,concentrated,0.0201,0.04168429527672963
ea4,l70,0.7032,spread,0.11089,0.28997344210575116
ea_knee,bg6,0.7531,concentrated,0.06924,0.17607055670616145
ea3,bg6,0.7531,concentrated,0.07638,0.19559676563180542
ea6,k6_conc,0.7531,concentrated,0.08241,0.21208738745556352
ea6,k6_spread,0.7531,spread,0.17085,0.4539498408706827
ea4,l80,0.8025,spread,0.22037,0.5893753122989583
ea3,bg7,0.8775,concentrated,0.22379,0.5987282022885524
ea_knee,bg7,0.8778,concentrated,0.20994,0.5608517325938509
ea6,k7_conc,0.8778,concentrated,0.22814,0.610624422012159
ea6,k7_spread,0.8809,spread,0.24154,0.6472702482871772
ea4,l88,0.8812,spread,0.22781,0.6097219501710579
ea4,l92,0.9204,spread,0.23953,0.6417733743459244
ea4,l95,0.9501,spread,0.29715,0.7993504273285019
ea4,l97,0.9701,spread,0.29313,0.7883566794459965
ea4,l99,0.99,spread,0.32864,0.8854681190747943
ea_sat,bg12,1.0,concentrated,0.25349,0.6799506679876596
ea_sat,bg16,1.0,concentrated,0.28587,0.7685022989417704
ea_sat,bg8,1.0,concentrated,0.3311,0.8921956364357305
ea3,bg10,1.0,concentrated,0.31658,0.852486875427278
ea3,bg12,1.0,concentrated,0.26064,0.699504224544852
ea3,bg8,1.0,concentrated,0.37052,1.0
