phase,condition,rho,inversion_rate
ea_sat,bg0,0.0025,0.00335
ea3,bg0,0.0025,0.00369
ea_sat,bg2,0.2525,0.00503
ea3,bg2,0.2525,0.00402
ea_sat,bg4,0.5037,0.00279
ea3,bg4,0.5037,0.00637
ea_knee,bg5,0.6284,0.01284
ea3,bg5,0.6284,0.02446
ea4,l70,0.7032,0.11089
ea_knee,bg6,0.7531,0.06924
ea3,bg6,0.7531,0.07638
ea4,l80,0.8025,0.22037
ea3,bg7,0.8775,0.22379
ea_knee,bg7,0.8778,0.20994
ea4,l88,0.8812,0.22781
ea4,l92,0.9204,0.23953
ea4,l95,0.9501,0.29715
ea4,l97,0.9701,0.29313
ea4,l99,0.99,0.32864
ea_sat,bg12,1.0,0.25349
ea_sat,bg16,1.0,0.28587
ea_sat,bg8,1.0,0.3311
ea3,bg10,1.0,0.31658
ea3,bg12,1.0,0.26064
ea3,bg8,1.0,0.37052
ea6,k5_spread,0.625,0.03786
ea6,k5_conc,0.6284,0.0201
ea6,k6_conc,0.7531,0.08241
ea6,k6_spread,0.7531,0.17085
ea6,k7_conc,0.8778,0.22814
ea6,k7_spread,0.8809,0.24154
