kind,lo_us,hi_us,n_events,survival,index
boundary,1,,551956,1.0,0.151
boundary,2,,497274,0.900931,0.361
boundary,4,,387090,0.701306,0.122
boundary,8,,355792,0.644602,0.09
boundary,16,,334206,0.605494,0.082
boundary,32,,315684,0.571937,0.161
boundary,64,,282439,0.511706,0.328
boundary,128,,224981,0.407607,0.581
boundary,256,,150367,0.272426,0.599
boundary,512,,99270,0.179851,0.205
boundary,1024,,86110,0.156009,0.234
boundary,2048,,73235,0.132683,2.237
boundary,4096,,15533,0.028142,1.932
boundary,8192,,4072,0.007377,2.508
boundary,16384,,716,0.001297,8.484
boundary,32768,,2,4e-06,
window,256,2048,551956,,0.332
window,512,4096,551956,,0.826
window,1024,8192,551956,,1.544
window,4096,32768,551956,,4.128
