run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_163949_kafka_feed1_rep1,kafka,single,5,14.451234,25.879267,1.0485,1.996469999999999,5.3461,3739
concurrency_n5_20260721_163949_kafka_feed1_rep2,kafka,single,5,23.904567,35.1461337,1.0356,1.6098,15.0832,3739
concurrency_n5_20260721_163949_kafka_feed1_rep3,kafka,single,5,14.823667,25.717470299999995,1.0386,1.6423,5.911034,3739
concurrency_n5_20260721_163949_kafka_feed2_rep1,kafka,single,5,21.964734,33.486067,1.0505,1.9417,12.776367,4311
concurrency_n5_20260721_163949_kafka_feed2_rep2,kafka,single,5,16.629667,27.660367,1.0359,1.6031,7.9026,4311
concurrency_n5_20260721_163949_kafka_feed2_rep3,kafka,single,5,9.202334,20.045034,1.0397,1.6484999999999999,0.306534,4311
concurrency_n5_20260721_163949_kafka_feed3_rep1,kafka,single,5,16.504567,28.103346999999996,1.0464,1.7859,7.3724,3977
concurrency_n5_20260721_163949_kafka_feed3_rep2,kafka,single,5,9.681134,20.64772059999999,1.0377,1.615,0.7927,3977
concurrency_n5_20260721_163949_kafka_feed3_rep3,kafka,single,5,11.533267,22.500860399999986,1.0406,1.6824999999999997,2.543367,3977
concurrency_n5_20260721_163949_kafka_feed4_rep1,kafka,single,5,17.3341835,28.5789,1.0449,1.8243,8.028900499999999,4346
concurrency_n5_20260721_163949_kafka_feed4_rep2,kafka,single,5,22.9227005,34.365334,1.0273,1.598775,14.268983500000001,4346
concurrency_n5_20260721_163949_kafka_feed4_rep3,kafka,single,5,10.834967,22.125584,1.0365,1.7314,1.829517,4346
concurrency_n5_20260721_163949_kafka_feed5_rep1,kafka,single,5,15.483167,26.834267,1.0443,2.14,6.296,4233
concurrency_n5_20260721_163949_kafka_feed5_rep2,kafka,single,5,12.608434,23.631446999999948,1.0326,1.609,3.832667,4233
concurrency_n5_20260721_163949_kafka_feed5_rep3,kafka,single,5,15.891534,26.869767,1.0385,1.7315199999999993,7.017167,4233
concurrency_n5_20260721_163949_redis_feed1_rep1,redis,single,5,47.3119,102.47831399999998,26.5122,82.35435999999999,13.528434,3739
concurrency_n5_20260721_163949_redis_feed1_rep2,redis,single,5,33.9735,87.59820369999998,26.7988,79.53759,1.069634,3739
concurrency_n5_20260721_163949_redis_feed1_rep3,redis,single,5,39.431167,95.24620999999998,26.787,84.21475,5.934867,3739
concurrency_n5_20260721_163949_redis_feed2_rep1,redis,single,5,45.566534,115.61291700000001,31.2031,100.75704999999999,7.299434,4311
concurrency_n5_20260721_163949_redis_feed2_rep2,redis,single,5,45.646334,115.0678005,30.0127,97.3468,8.7636,4311
concurrency_n5_20260721_163949_redis_feed2_rep3,redis,single,5,43.117634,113.3827005,30.7962,99.07825,5.493367,4311
concurrency_n5_20260721_163949_redis_feed3_rep1,redis,single,5,44.558367,102.20084059999992,32.6624,89.09279999999995,5.428367,3977
concurrency_n5_20260721_163949_redis_feed3_rep2,redis,single,5,38.5502,92.25667399999986,29.7197,79.59038,2.227867,3977
concurrency_n5_20260721_163949_redis_feed3_rep3,redis,single,5,49.2404,108.31126719999999,31.2553,88.10533999999994,10.956934,3977
concurrency_n5_20260721_163949_redis_feed4_rep1,redis,single,5,41.437767,133.65864175000002,27.02095,114.41884999999999,7.953934,4346
concurrency_n5_20260721_163949_redis_feed4_rep2,redis,single,5,37.356184,115.02789175000001,25.4256,100.832325,5.1271005,4346
concurrency_n5_20260721_163949_redis_feed4_rep3,redis,single,5,42.8404335,125.67182525,27.12245,106.38105,9.378234,4346
concurrency_n5_20260721_163949_redis_feed5_rep1,redis,single,5,36.903634,102.05801999999994,27.6254,90.95631999999999,2.752134,4233
concurrency_n5_20260721_163949_redis_feed5_rep2,redis,single,5,47.242434,101.40353399999987,26.6517,80.30735999999997,14.063934,4233
concurrency_n5_20260721_163949_redis_feed5_rep3,redis,single,5,34.6944,92.55087379999969,26.5366,81.10455999999996,1.3311,4233
