run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_185657_kafka_feed1_rep1,kafka,single,5,36.094734,4836.278067,9.3838,4805.3611,-3.5425,3739
concurrency_n5_20260721_185657_kafka_feed1_rep2,kafka,single,5,47.582467,1698.8487636999994,8.3259,1656.34764,10.153367,3739
concurrency_n5_20260721_185657_kafka_feed1_rep3,kafka,single,5,36.182234,1904.866067299999,8.2359,1886.2116,-0.741233,3739
concurrency_n5_20260721_185657_kafka_feed2_rep1,kafka,single,5,35.057567,4898.516567,9.1528,4859.515299999999,-4.055166,4311
concurrency_n5_20260721_185657_kafka_feed2_rep2,kafka,single,5,36.144,1414.926167,7.8243,1368.6457,-1.221366,4311
concurrency_n5_20260721_185657_kafka_feed2_rep3,kafka,single,5,32.655434,1850.2238005,8.1058,1820.47275,-5.073733,4311
concurrency_n5_20260721_185657_kafka_feed3_rep1,kafka,single,5,47.1512,4325.885433599999,8.3498,4286.304,9.3369,3977
concurrency_n5_20260721_185657_kafka_feed3_rep2,kafka,single,5,35.046667,1744.2423335999986,7.0396,1716.6211999999966,-1.536199,3977
concurrency_n5_20260721_185657_kafka_feed3_rep3,kafka,single,5,32.9577,2065.4245135999945,7.4143,2031.5773399999962,-3.9135,3977
concurrency_n5_20260721_185657_kafka_feed4_rep1,kafka,single,5,41.241367,4586.0232750000005,8.81005,4546.035675,2.4918500000000003,4346
concurrency_n5_20260721_185657_kafka_feed4_rep2,kafka,single,5,42.7519,2027.414867,8.033750000000001,1979.1124,4.6847505,4346
concurrency_n5_20260721_185657_kafka_feed4_rep3,kafka,single,5,41.2041,2092.7994667499997,8.4845,2056.616625,2.889134,4346
concurrency_n5_20260721_185657_kafka_feed5_rep1,kafka,single,5,40.1628,5335.226767,9.3001,5210.2695,0.529367,4233
concurrency_n5_20260721_185657_kafka_feed5_rep2,kafka,single,5,41.854767,2055.8241803999936,8.5227,2030.1282199999962,3.898401,4233
concurrency_n5_20260721_185657_kafka_feed5_rep3,kafka,single,5,44.632867,2440.60468,8.0458,2407.4452,7.169367,4233
concurrency_n5_20260721_185657_redis_feed1_rep1,redis,single,5,43.220734,65.99033059999996,10.4134,21.7562,11.382267,3739
concurrency_n5_20260721_185657_redis_feed1_rep2,redis,single,5,31.9558,54.37610999999999,10.1944,21.3972,0.418767,3739
concurrency_n5_20260721_185657_redis_feed1_rep3,redis,single,5,34.853334,59.61273,10.2945,21.354339999999997,3.013634,3739
concurrency_n5_20260721_185657_redis_feed2_rep1,redis,single,5,32.8644,56.0250505,10.8593,21.7392,0.5509,4311
concurrency_n5_20260721_185657_redis_feed2_rep2,redis,single,5,38.577167,58.158034,10.3938,21.4544,6.735634,4311
concurrency_n5_20260721_185657_redis_feed2_rep3,redis,single,5,31.940467,50.880466999999996,10.6354,21.4578,0.086067,4311
concurrency_n5_20260721_185657_redis_feed3_rep1,redis,single,5,38.677367,62.243834,11.0165,22.0365,5.8102,3977
concurrency_n5_20260721_185657_redis_feed3_rep2,redis,single,5,35.2322,53.84046719999999,10.9841,21.5193,3.1299,3977
concurrency_n5_20260721_185657_redis_feed3_rep3,redis,single,5,34.124167,54.0116,10.5583,21.4877,2.372267,3977
concurrency_n5_20260721_185657_redis_feed4_rep1,redis,single,5,31.366433999999998,55.199934,10.2365,21.7132,-0.6769,4346
concurrency_n5_20260721_185657_redis_feed4_rep2,redis,single,5,33.760400000000004,52.303967,10.1633,21.36,2.3114,4346
concurrency_n5_20260721_185657_redis_feed4_rep3,redis,single,5,29.622667,48.95870025,10.350200000000001,21.323125,-2.181133,4346
concurrency_n5_20260721_185657_redis_feed5_rep1,redis,single,5,42.610634,70.8789339999999,10.5626,21.7726,10.065534,4233
concurrency_n5_20260721_185657_redis_feed5_rep2,redis,single,5,38.829534,61.8627,10.3232,21.40016,7.0152,4233
concurrency_n5_20260721_185657_redis_feed5_rep3,redis,single,5,34.308067,58.52410719999993,10.8444,21.4084,2.198467,4233
