scenario,backend,W_ms,median,iqr
s2sf12,kafka,100,0.6840629611411707,0.30735366453516966
s2sf12,kafka,250,0.3700934579439252,0.49392523364485985
s2sf12,kafka,500,0.0040088539104771,0.584628627643876
s2sf12,kafka,1000,0.0,0.2168962124938514
s2sf12,kafka,2000,0.0,0.0
s2sf12,kafka,5000,0.0,0.0
s2sf12,redis,100,0.0,0.0
s2sf12,redis,250,0.0,0.0
s2sf12,redis,500,0.0,0.0
s2sf12,redis,1000,0.0,0.0
s2sf12,redis,2000,0.0,0.0
s2sf12,redis,5000,0.0,0.0
s2sf12j2,kafka,100,0.9101819970486964,0.02528283325135261
s2sf12j2,kafka,250,0.6682488932611904,0.11992129857353662
s2sf12j2,kafka,500,0.1463108706345302,0.03954746679783569
s2sf12j2,kafka,1000,0.0,0.0
s2sf12j2,kafka,2000,0.0,0.0
s2sf12j2,kafka,5000,0.0,0.0
s2sf12j2,redis,100,0.7233152975897689,0.00034431874077722746
s2sf12j2,redis,250,0.1263649778652238,0.00012297097884900188
s2sf12j2,redis,500,0.0,0.0
s2sf12j2,redis,1000,0.0,0.0
s2sf12j2,redis,2000,0.0,0.0
s2sf12j2,redis,5000,0.0,0.0
