run,scenario,backend,plan_csv,speedup,max_t_sim,bootstrap,git_head,git_dirty,kafka_producer_opts,kafka_consumer_opts,redis_opts
s2_kafka_rep1_20260611_221452,s2,kafka,data/processed/replay_plans/s2/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_kafka_rep2_20260611_221617,s2,kafka,data/processed/replay_plans/s2/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_kafka_rep3_20260611_221742,s2,kafka,data/processed/replay_plans/s2/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_kafka_rep4_20260611_221906,s2,kafka,data/processed/replay_plans/s2/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_kafka_rep5_20260611_222032,s2,kafka,data/processed/replay_plans/s2/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_redis_rep1_20260611_221538,s2,redis,data/processed/replay_plans/s2/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_redis_rep2_20260611_221704,s2,redis,data/processed/replay_plans/s2/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_redis_rep3_20260611_221828,s2,redis,data/processed/replay_plans/s2/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_redis_rep4_20260611_221953,s2,redis,data/processed/replay_plans/s2/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2_redis_rep5_20260611_222119,s2,redis,data/processed/replay_plans/s2/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
