run,scenario,backend,plan_csv,speedup,max_t_sim,bootstrap,git_head,git_dirty,kafka_producer_opts,kafka_consumer_opts,redis_opts
s2full_kafka_rep1_20260611_222158,s2full,kafka,data/processed/replay_plans/s2full/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_kafka_rep2_20260611_222328,s2full,kafka,data/processed/replay_plans/s2full/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_kafka_rep3_20260611_222458,s2full,kafka,data/processed/replay_plans/s2full/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_kafka_rep4_20260611_222627,s2full,kafka,data/processed/replay_plans/s2full/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_kafka_rep5_20260611_222757,s2full,kafka,data/processed/replay_plans/s2full/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_redis_rep1_20260611_222247,s2full,redis,data/processed/replay_plans/s2full/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_redis_rep2_20260611_222417,s2full,redis,data/processed/replay_plans/s2full/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_redis_rep3_20260611_222546,s2full,redis,data/processed/replay_plans/s2full/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_redis_rep4_20260611_222716,s2full,redis,data/processed/replay_plans/s2full/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2full_redis_rep5_20260611_222845,s2full,redis,data/processed/replay_plans/s2full/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
