run,scenario,backend,plan_csv,speedup,max_t_sim,bootstrap,git_head,git_dirty,kafka_producer_opts,kafka_consumer_opts,redis_opts
s2sf12_kafka_rep1_20260611_222926,s2sf12,kafka,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_kafka_rep2_20260611_223053,s2sf12,kafka,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_kafka_rep3_20260611_223219,s2sf12,kafka,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_kafka_rep4_20260611_223345,s2sf12,kafka,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_kafka_rep5_20260611_223511,s2sf12,kafka,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,localhost:9092,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_redis_rep1_20260611_223014,s2sf12,redis,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_redis_rep2_20260611_223140,s2sf12,redis,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_redis_rep3_20260611_223306,s2sf12,redis,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_redis_rep4_20260611_223432,s2sf12,redis,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
s2sf12_redis_rep5_20260611_223559,s2sf12,redis,data/processed/replay_plans/s2sf12/combined_plan.csv,120,600,,05c126228164b76f5cf3e31e45affa34adcc8e12,,,,
