run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n5_20260721_123744_kafka_feed1_rep1,kafka,single,5,21.230769,31.9094698,0.6393,1.6026,17.802974,465
concurrency_n5_20260721_123744_kafka_feed1_rep2,kafka,single,5,16.266284,26.190521799999996,0.7696,1.6821,12.41159,465
concurrency_n5_20260721_123744_kafka_feed2_rep1,kafka,single,5,12.730104,114.4758,0.7768,1.511,8.868904,71
concurrency_n5_20260721_123744_kafka_feed2_rep2,kafka,single,5,13.001383,127.1895,0.7208,2.8203,9.183883,71
concurrency_n5_20260721_123744_kafka_feed3_rep1,kafka,single,5,11.237864,20.488384,0.6352,1.5328,7.495764,121
concurrency_n5_20260721_123744_kafka_feed3_rep2,kafka,single,5,14.843563,24.203287,0.5779,1.2823,10.346763,121
concurrency_n5_20260721_123744_kafka_feed4_rep1,kafka,single,5,16.067268,25.725762,0.8129500000000001,1.6470749999999998,12.298768,296
concurrency_n5_20260721_123744_kafka_feed4_rep2,kafka,single,5,18.119083,29.0704,0.70675,1.5439,13.4389985,296
concurrency_n5_20260721_123744_kafka_feed5_rep1,kafka,single,5,16.247693,26.822197,0.6654,1.7776199999999989,12.995593,273
concurrency_n5_20260721_123744_kafka_feed5_rep2,kafka,single,5,10.941486,22.161258399999973,0.8064,1.9176799999999987,6.852599,273
concurrency_n5_20260721_123744_redis_feed1_rep1,redis,single,5,7.765797,17.455268399999998,0.0,2.2773999999999996,5.65426,465
concurrency_n5_20260721_123744_redis_feed1_rep2,redis,single,5,18.260785,28.015014599999997,0.0,2.2543399999999996,15.894749,465
concurrency_n5_20260721_123744_redis_feed2_rep1,redis,single,5,7.567796,31.92425,0.0,2.2584,4.65246,71
concurrency_n5_20260721_123744_redis_feed2_rep2,redis,single,5,8.792462,44.48135,0.0,3.1276,5.9977,71
concurrency_n5_20260721_123744_redis_feed3_rep1,redis,single,5,15.521924,24.096809,0.0,2.3703,12.527224,121
concurrency_n5_20260721_123744_redis_feed3_rep2,redis,single,5,15.168124,26.668984,0.0,2.3384,12.518066,121
concurrency_n5_20260721_123744_redis_feed4_rep1,redis,single,5,12.776074,25.2347015,0.0,2.335825,10.415939,296
concurrency_n5_20260721_123744_redis_feed4_rep2,redis,single,5,4.460115500000001,17.0361745,0.0,2.4553249999999998,1.9581024999999999,296
concurrency_n5_20260721_123744_redis_feed5_rep1,redis,single,5,15.073982,25.277460599999998,0.0,2.566219999999999,12.94519,273
concurrency_n5_20260721_123744_redis_feed5_rep2,redis,single,5,14.790155,24.629705599999998,0.0,2.9526199999999982,11.765497,273
