run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n10_20260617_220303_kafka_feed10_rep2,kafka,single,10,54.356267,242.577967,4.0116,10.0546,28.581434,4465
concurrency_n10_20260617_220303_kafka_feed10_rep3,kafka,single,10,18.266867,260.665,3.4816,10.6915,6.0914,4465
concurrency_n10_20260617_220303_kafka_feed1_rep3,kafka,single,10,23.558034,366.277734,3.518,11.6044,10.781667,4465
concurrency_n10_20260617_220303_kafka_feed2_rep2,kafka,single,10,72.528467,279.311367,5.0779,13.146,32.513467,4465
concurrency_n10_20260617_220303_kafka_feed2_rep3,kafka,single,10,25.674034,208.563334,3.0008,9.5281,15.611267,4465
concurrency_n10_20260617_220303_kafka_feed3_rep1,kafka,single,10,23.127934,288.6642868,4.796,42.9461,8.6824,4465
concurrency_n10_20260617_220303_kafka_feed3_rep2,kafka,single,10,52.655,270.189434,5.0275,14.5618,26.021634,4465
concurrency_n10_20260617_220303_kafka_feed3_rep3,kafka,single,10,26.708234,403.1206,3.9936,11.6009,13.776734,4465
concurrency_n10_20260617_220303_kafka_feed4_rep2,kafka,single,10,62.536667,389.012667,4.997,13.69692000000002,31.661867,4465
concurrency_n10_20260617_220303_kafka_feed4_rep3,kafka,single,10,81.587267,379.0919134,5.0003,13.3156,40.5103,4465
concurrency_n10_20260617_220303_kafka_feed5_rep2,kafka,single,10,68.871134,279.118367,4.504,12.0033,36.8921,4465
concurrency_n10_20260617_220303_kafka_feed5_rep3,kafka,single,10,22.266067,395.8146,3.4629,11.1061,11.464667,4465
concurrency_n10_20260617_220303_kafka_feed6_rep3,kafka,single,10,19.626134,236.9117,3.0023,12.5229,9.413367,4465
concurrency_n10_20260617_220303_kafka_feed7_rep2,kafka,single,10,55.988234,301.293334,4.5491,14.2104,32.4774,4465
concurrency_n10_20260617_220303_kafka_feed7_rep3,kafka,single,10,29.3128,281.79554680000007,3.0477,10.0501,16.891467,4465
concurrency_n10_20260617_220303_kafka_feed8_rep1,kafka,single,10,15.6238,256.965467,3.174,26.8908,4.585834,4465
concurrency_n10_20260617_220303_kafka_feed8_rep2,kafka,single,10,73.594067,263.270034,6.4332,15.3289,31.9274,4465
concurrency_n10_20260617_220303_kafka_feed8_rep3,kafka,single,10,73.349267,297.3049,4.9989,15.5519,47.549634,4465
concurrency_n10_20260617_220303_kafka_feed9_rep2,kafka,single,10,,,,,,0
concurrency_n10_20260617_220303_kafka_feed9_rep3,kafka,single,10,25.086234,272.5765,3.107,10.4022,14.613567,4465
concurrency_n10_20260617_220303_redis_feed10_rep1,redis,single,10,4791.117467,5434.4398536,4506.1372,5392.81142,204.835834,4465
concurrency_n10_20260617_220303_redis_feed10_rep2,redis,single,10,5502.9469,7325.9500936,4573.1731,6813.020480000001,917.615934,4465
concurrency_n10_20260617_220303_redis_feed10_rep3,redis,single,10,5209.533967,6236.1990276,4561.9282,6206.57356,640.328,4465
concurrency_n10_20260617_220303_redis_feed1_rep1,redis,single,10,5040.6519,5844.8693468,4137.8507,5707.34218,860.7354,4465
concurrency_n10_20260617_220303_redis_feed1_rep2,redis,single,10,5927.1455,7770.014666800001,5703.1407,7721.48532,214.8834,4465
concurrency_n10_20260617_220303_redis_feed1_rep3,redis,single,10,5769.666,6314.074334,5729.7265,6269.38792,34.849067,4465
concurrency_n10_20260617_220303_redis_feed2_rep1,redis,single,10,4808.8958,5608.357327000001,3166.9705,5269.57616,1523.012867,4465
concurrency_n10_20260617_220303_redis_feed2_rep2,redis,single,10,5570.548767,7098.8602672,3664.0595,6623.6417,1601.580767,4465
concurrency_n10_20260617_220303_redis_feed2_rep3,redis,single,10,4593.3141,5292.1214,3747.3332,5262.65648,689.709367,4465
concurrency_n10_20260617_220303_redis_feed3_rep1,redis,single,10,4902.200367,5630.2324134,4686.2982,5594.9969200000005,150.5193,4465
concurrency_n10_20260617_220303_redis_feed3_rep2,redis,single,10,6281.964967,8281.2694008,5982.622,7893.638,337.220334,4465
concurrency_n10_20260617_220303_redis_feed3_rep3,redis,single,10,1526.005267,5756.631686799999,1479.4191,5710.9034,44.8114,4465
concurrency_n10_20260617_220303_redis_feed4_rep1,redis,single,10,4828.872567,5451.3409534,4308.8048,5412.597580000001,412.808867,4465
concurrency_n10_20260617_220303_redis_feed4_rep2,redis,single,10,5599.269467,7191.1634934,4990.564,6698.8816,569.667,4465
concurrency_n10_20260617_220303_redis_feed4_rep3,redis,single,10,5261.955834,6264.0872739999995,4681.1182,6254.92656,492.9861,4465
concurrency_n10_20260617_220303_redis_feed5_rep1,redis,single,10,5042.8385,5688.956247,4838.1693,5646.91422,170.659234,4465
concurrency_n10_20260617_220303_redis_feed5_rep2,redis,single,10,5874.247367,7622.9981672,5575.0629,7440.1629,274.427334,4465
concurrency_n10_20260617_220303_redis_feed5_rep3,redis,single,10,5093.493534,5661.105367,5053.6287,5560.15398,66.5117,4465
concurrency_n10_20260617_220303_redis_feed6_rep1,redis,single,10,4957.768,5737.061680600001,4915.4242,5712.4861,45.227434,4465
concurrency_n10_20260617_220303_redis_feed6_rep2,redis,single,10,5705.2628,7346.8978672,5609.5817,7273.20276,156.917167,4465
concurrency_n10_20260617_220303_redis_feed6_rep3,redis,single,10,3940.7506,4731.653240000001,3519.4203,4708.62276,414.6239,4465
concurrency_n10_20260617_220303_redis_feed7_rep1,redis,single,10,5033.8697,6187.7371534,3240.9184,5562.2959599999995,1682.706634,4465
concurrency_n10_20260617_220303_redis_feed7_rep2,redis,single,10,6198.577567,7970.2578672,4791.8061,7190.253900000001,1308.8051,4465
concurrency_n10_20260617_220303_redis_feed7_rep3,redis,single,10,5271.360967,5989.6935272,5207.6936,5947.1444,89.979967,4465
concurrency_n10_20260617_220303_redis_feed8_rep1,redis,single,10,5202.515167,6284.1960401999995,4357.2778,6096.52986,784.732434,4465
concurrency_n10_20260617_220303_redis_feed8_rep2,redis,single,10,5813.123067,7455.4236336,5472.6803,7314.5507800000005,307.0644,4465
concurrency_n10_20260617_220303_redis_feed8_rep3,redis,single,10,5212.169034,5840.4127936,5169.1729,5737.2617,44.507734,4465
concurrency_n10_20260617_220303_redis_feed9_rep1,redis,single,10,4939.929434,5695.5610467999995,3234.8169,5235.71774,1572.724867,4465
concurrency_n10_20260617_220303_redis_feed9_rep2,redis,single,10,5754.711,7304.311847200001,4164.1923,6781.62956,1430.838867,4465
concurrency_n10_20260617_220303_redis_feed9_rep3,redis,single,10,4921.464767,5691.1632204,4078.5194,5654.8292200000005,774.8604,4465
concurrency_n10_20260617_221536_kafka_feed10_rep1,kafka,cluster,10,,,,,,0
concurrency_n10_20260617_221536_kafka_feed10_rep2,kafka,cluster,10,,,,,,0
concurrency_n10_20260617_221536_kafka_feed10_rep3,kafka,cluster,10,,,,,,0
concurrency_n10_20260617_221536_kafka_feed1_rep1,kafka,cluster,10,,,,,,0
