backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_runs
kafka,cluster,1,35.6245,1493.22298,17.1346,1421.4049,7.412667,3
kafka,cluster,5,7630.325967,10827.799847,2.8263,442.7459,7535.337534,15
kafka,cluster,10,14838.5266005,20627.8291304,3.1127000000000002,28.927520000000094,14693.7609335,30
kafka,cluster,20,21096.637034,36924.9919505,3.3732499999999996,34.178250000000006,20858.24715,52
redis,cluster,1,1390.196367,2077.8816204,1373.1648,2059.52794,14.276367,3
redis,cluster,5,8820.2253,12785.7342536,8794.3802,12769.24664,20.595634,15
redis,cluster,10,11383.34175,16832.7173105,10362.85915,15953.67638,863.9964335,30
redis,cluster,20,19686.578999999998,25964.435724000003,15761.1871,20846.511720000002,3915.3936335,60
kafka,single,1,17.448434,195.92776700000002,2.274,6.404560000000009,10.8468005,4
kafka,single,5,18.202534,190.4792,2.3287,8.148,10.3035,15
kafka,single,10,29.3128,279.311367,4.0116,12.5229,16.891467,20
kafka,single,20,1682.112367,2105.765767,9.5503,49.1048,584.966234,57
redis,single,1,16.889217,31.56476700000001,4.345000000000001,13.976900000000008,9.591250500000001,4
redis,single,5,801.1892,1094.4289,774.2405,1080.83208,11.9346,15
redis,single,10,5206.024567,6088.7153403,4627.14565,5842.20305,413.7163835,30
redis,single,20,13005.525399999999,15919.5597403,9731.7688,12703.501499999998,2717.7086335,60
