run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n10_20260721_101859_kafka_feed10_rep1,kafka,single,10,8.871634,20.302334,1.0017,1.5866,4.607967,3881
concurrency_n10_20260721_101859_kafka_feed10_rep2,kafka,single,10,18.157134,29.036534,1.0017,1.9983,13.936234,3881
concurrency_n10_20260721_101859_kafka_feed10_rep3,kafka,single,10,4.791867,16.677034,1.0024,2.0002,0.603867,3881
concurrency_n10_20260721_101859_kafka_feed1_rep1,kafka,single,10,6.2233,17.295634,1.0015,1.9988,2.066134,3739
concurrency_n10_20260721_101859_kafka_feed1_rep2,kafka,single,10,4.486334,15.310134,1.0011,1.5820399999999992,0.326,3739
concurrency_n10_20260721_101859_kafka_feed1_rep3,kafka,single,10,14.932767,25.635560299999998,1.002,2.0002,10.679734,3739
concurrency_n10_20260721_101859_kafka_feed2_rep1,kafka,single,10,4.621967,15.6586335,1.0022,2.0065,0.420034,4311
concurrency_n10_20260721_101859_kafka_feed2_rep2,kafka,single,10,11.9519,23.345967,1.0021,1.9563,7.660634,4311
concurrency_n10_20260721_101859_kafka_feed2_rep3,kafka,single,10,17.383401,28.580067,1.0014,1.6784,13.2132,4311
concurrency_n10_20260721_101859_kafka_feed3_rep1,kafka,single,10,12.453234,24.0445,1.0027,2.0,8.1588,3977
concurrency_n10_20260721_101859_kafka_feed3_rep2,kafka,single,10,15.271934,26.506134,1.0014,1.9988799999999998,10.967267,3977
concurrency_n10_20260721_101859_kafka_feed3_rep3,kafka,single,10,15.1554,26.121667,1.003,1.99964,10.967,3977
concurrency_n10_20260721_101859_kafka_feed4_rep1,kafka,single,10,3.7083505,14.822801,1.002,2.001,-0.4793995,4346
concurrency_n10_20260721_101859_kafka_feed4_rep2,kafka,single,10,18.8163,30.337067,1.0013,2.00035,14.732734,4346
concurrency_n10_20260721_101859_kafka_feed4_rep3,kafka,single,10,17.529567,28.512767,1.0023,1.9989,13.294883500000001,4346
concurrency_n10_20260721_101859_kafka_feed5_rep1,kafka,single,10,7.938767,19.058034,1.0019,1.9993,3.658367,4233
concurrency_n10_20260721_101859_kafka_feed5_rep2,kafka,single,10,6.904234,18.453934,1.001,1.785,2.620767,4233
concurrency_n10_20260721_101859_kafka_feed5_rep3,kafka,single,10,4.1009,15.110273599999998,1.0021,2.0017599999999995,-0.0946,4233
concurrency_n10_20260721_101859_kafka_feed6_rep1,kafka,single,10,7.597567,18.725167,1.0018,1.9992,3.3661,4035
concurrency_n10_20260721_101859_kafka_feed6_rep2,kafka,single,10,8.6526,19.318367,1.0023,2.0007,4.615434,4035
concurrency_n10_20260721_101859_kafka_feed6_rep3,kafka,single,10,4.2599,15.032486899999995,1.0031,2.0015,-0.043266,4035
concurrency_n10_20260721_101859_kafka_feed7_rep1,kafka,single,10,18.744867,29.851300199999997,1.0016,1.9982,14.448067,4249
concurrency_n10_20260721_101859_kafka_feed7_rep2,kafka,single,10,19.772,30.882534,1.0071,2.0285,15.475667,4249
concurrency_n10_20260721_101859_kafka_feed7_rep3,kafka,single,10,12.569067,23.1833,1.0023,1.9997,8.241534,4249
concurrency_n10_20260721_101859_kafka_feed8_rep1,kafka,single,10,9.4638,20.453767,1.0013,1.9981049999999998,5.1731505,4018
concurrency_n10_20260721_101859_kafka_feed8_rep2,kafka,single,10,17.4456,29.100445049999998,1.0031500000000002,2.02,13.24555,4018
concurrency_n10_20260721_101859_kafka_feed8_rep3,kafka,single,10,7.5393,19.378282,1.0031,1.9994,3.387167,4018
concurrency_n10_20260721_101859_kafka_feed9_rep1,kafka,single,10,4.057567,15.284334,1.0018,1.99925,-0.0335,3871
concurrency_n10_20260721_101859_kafka_feed9_rep2,kafka,single,10,5.224867,16.6791,1.0022,2.0018,0.9458,3871
concurrency_n10_20260721_101859_kafka_feed9_rep3,kafka,single,10,13.3442,24.648317,1.0015,1.5151,8.951267,3871
concurrency_n10_20260721_101859_redis_feed10_rep1,redis,single,10,8.117,20.203867,1.2556,3.6579,5.315734,3881
concurrency_n10_20260721_101859_redis_feed10_rep2,redis,single,10,7.4317,19.224534,1.2542,3.5953,4.701367,3881
concurrency_n10_20260721_101859_redis_feed10_rep3,redis,single,10,15.916867,27.831467,1.2631,3.5802,13.035767,3881
concurrency_n10_20260721_101859_redis_feed1_rep1,redis,single,10,13.224434,26.231653699999992,1.3283,4.266909999999997,10.245734,3739
concurrency_n10_20260721_101859_redis_feed1_rep2,redis,single,10,9.9714,21.9736173,1.287,3.84808,7.229334,3739
concurrency_n10_20260721_101859_redis_feed1_rep3,redis,single,10,17.615834,29.812014,1.325,3.756989999999999,14.620767,3739
concurrency_n10_20260721_101859_redis_feed2_rep1,redis,single,10,5.985934,17.5168505,1.372,3.82475,3.057367,4311
concurrency_n10_20260721_101859_redis_feed2_rep2,redis,single,10,17.102667,28.687900499999998,1.4125,3.8516500000000002,14.209067,4311
concurrency_n10_20260721_101859_redis_feed2_rep3,redis,single,10,9.491834,21.275534,1.3471,3.6987500000000004,6.5623,4311
concurrency_n10_20260721_101859_redis_feed3_rep1,redis,single,10,18.256234,29.418826799999998,1.4625,4.039239999999997,15.259367,3977
concurrency_n10_20260721_101859_redis_feed3_rep2,redis,single,10,4.7169,16.290480399999996,1.404,3.7761999999999993,1.779067,3977
concurrency_n10_20260721_101859_redis_feed3_rep3,redis,single,10,10.748867,22.494700399999996,1.3844,3.869419999999998,7.7057,3977
concurrency_n10_20260721_101859_redis_feed4_rep1,redis,single,10,6.570934,17.90566675,1.3891,4.005725,3.6589169999999998,4346
concurrency_n10_20260721_101859_redis_feed4_rep2,redis,single,10,15.226967,26.60530875,1.2945,3.5020000000000002,12.235866999999999,4346
concurrency_n10_20260721_101859_redis_feed4_rep3,redis,single,10,10.755467,22.2496255,1.3651499999999999,3.7016,7.783634,4346
concurrency_n10_20260721_101859_redis_feed5_rep1,redis,single,10,14.091867,26.023753999999997,1.339,4.00172,11.1947,4233
concurrency_n10_20260721_101859_redis_feed5_rep2,redis,single,10,13.4198,25.138934,1.3352,3.8206199999999875,10.5741,4233
concurrency_n10_20260721_101859_redis_feed5_rep3,redis,single,10,13.792967,26.28876719999999,1.3748,4.00448,10.879634,4233
concurrency_n10_20260721_101859_redis_feed6_rep1,redis,single,10,7.1176,19.802567,1.3866,4.00073,4.191534,4035
concurrency_n10_20260721_101859_redis_feed6_rep2,redis,single,10,9.375367,20.7306401,1.3632,3.8268,6.448034,4035
concurrency_n10_20260721_101859_redis_feed6_rep3,redis,single,10,11.4868,24.003473999999994,1.3454,3.8474799999999996,8.690167,4035
concurrency_n10_20260721_101859_redis_feed7_rep1,redis,single,10,12.9008,24.592513799999995,1.4043,3.99912,9.8866,4249
concurrency_n10_20260721_101859_redis_feed7_rep2,redis,single,10,13.604967,25.650693999999994,1.3715,3.81092,10.6763,4249
concurrency_n10_20260721_101859_redis_feed7_rep3,redis,single,10,11.0588,23.5053602,1.3488,3.8821999999999988,8.238034,4249
concurrency_n10_20260721_101859_redis_feed8_rep1,redis,single,10,7.678934,20.52146889999999,1.31575,4.0014,4.577634,4018
concurrency_n10_20260721_101859_redis_feed8_rep2,redis,single,10,13.967233499999999,26.542426999999993,1.3809,4.120789999999993,10.985167,4018
concurrency_n10_20260721_101859_redis_feed8_rep3,redis,single,10,14.5394005,26.723945,1.3127499999999999,4.026999999999995,11.671134,4018
concurrency_n10_20260721_101859_redis_feed9_rep1,redis,single,10,11.829167,23.7055005,1.2739,3.5658,8.956367,3871
concurrency_n10_20260721_101859_redis_feed9_rep2,redis,single,10,17.901234,29.568216999999997,1.2964,3.5464,15.109434,3871
concurrency_n10_20260721_101859_redis_feed9_rep3,redis,single,10,9.453234,21.148867,1.2467,3.5581,6.5846,3871
concurrency_n1_20260721_100807_kafka_feed1_rep1,kafka,single,1,11.231534,22.8422567,0.9991,1.5014199999999995,7.562534,3739
concurrency_n1_20260721_100807_kafka_feed1_rep2,kafka,single,1,12.889434,24.226740299999992,0.9987,1.50003,9.3816,3739
concurrency_n1_20260721_100807_kafka_feed1_rep3,kafka,single,1,12.459267,23.6707137,0.9992,1.444,8.939867,3739
concurrency_n1_20260721_100807_redis_feed1_rep1,redis,single,1,3.339267,13.873363699999999,1.0404,3.1463,0.943967,3739
concurrency_n1_20260721_100807_redis_feed1_rep2,redis,single,1,15.476134,25.5492003,1.0206,3.1446,13.066367,3739
concurrency_n1_20260721_100807_redis_feed1_rep3,redis,single,1,3.2691,14.136804,1.0645,3.19601,1.090967,3739
concurrency_n1_20260721_102459_kafka_feed1_rep1,kafka,single,1,3.749134,14.035993699999997,1.0331,1.94675,0.0828,3739
concurrency_n1_20260721_102459_kafka_feed1_rep10,kafka,single,1,11.7533,22.821863699999998,0.9992,1.4591299999999991,8.564067,3739
concurrency_n1_20260721_102459_kafka_feed1_rep11,kafka,single,1,4.117067,14.9065,0.9992,1.4244,0.8397,3739
concurrency_n1_20260721_102459_kafka_feed1_rep12,kafka,single,1,11.9739,21.859786699999987,0.9993,1.4452,8.899034,3739
concurrency_n1_20260721_102459_kafka_feed1_rep13,kafka,single,1,14.9258,26.111614,0.9991,1.4333,11.757567,3739
concurrency_n1_20260721_102459_kafka_feed1_rep14,kafka,single,1,4.528667,15.827,0.9991,1.4362,1.2548,3739
concurrency_n1_20260721_102459_kafka_feed1_rep15,kafka,single,1,9.154267,20.466934,0.9992,1.4629,5.9261,3739
concurrency_n1_20260721_102459_kafka_feed1_rep2,kafka,single,1,5.066034,15.728367,1.0332,1.9249599999999998,1.404467,3739
concurrency_n1_20260721_102459_kafka_feed1_rep3,kafka,single,1,6.831067,17.535534,1.0354,1.9209,3.125034,3739
concurrency_n1_20260721_102459_kafka_feed1_rep4,kafka,single,1,11.391267,21.982619999999997,0.9991,1.40986,8.128867,3739
concurrency_n1_20260721_102459_kafka_feed1_rep5,kafka,single,1,15.851067,26.819267,0.9994,1.4387,12.694667,3739
concurrency_n1_20260721_102459_kafka_feed1_rep6,kafka,single,1,17.8615,28.493067,0.9991,1.41308,14.609,3739
concurrency_n1_20260721_102459_kafka_feed1_rep7,kafka,single,1,11.372234,22.661467,0.9994,1.4688999999999994,8.305567,3739
concurrency_n1_20260721_102459_kafka_feed1_rep8,kafka,single,1,18.581967,29.208967,0.9994,1.4494,15.4478,3739
concurrency_n1_20260721_102459_kafka_feed1_rep9,kafka,single,1,9.477067,20.9317073,0.9994,1.447199999999999,6.230234,3739
concurrency_n1_20260721_102459_redis_feed1_rep1,redis,single,1,13.3644,23.967627,1.0915,3.09665,11.051467,3739
concurrency_n1_20260721_102459_redis_feed1_rep10,redis,single,1,6.3968,16.8521234,1.0039,2.9993,4.1808,3739
concurrency_n1_20260721_102459_redis_feed1_rep11,redis,single,1,12.2637,22.9093,1.0051,3.00073,10.0368,3739
concurrency_n1_20260721_102459_redis_feed1_rep12,redis,single,1,16.6928,27.0335,1.0071,2.9989,14.502934,3739
concurrency_n1_20260721_102459_redis_feed1_rep13,redis,single,1,11.2638,21.607683399999996,1.005,2.99542,9.058534,3739
concurrency_n1_20260721_102459_redis_feed1_rep14,redis,single,1,16.0809,26.7379967,1.0069,2.9963,13.816934,3739
concurrency_n1_20260721_102459_redis_feed1_rep15,redis,single,1,9.414234,20.424567299999996,1.0048,2.9980200000000004,7.0857,3739
concurrency_n1_20260721_102459_redis_feed1_rep2,redis,single,1,9.176734,19.567784,1.0547,3.0350499999999996,6.853234,3739
concurrency_n1_20260721_102459_redis_feed1_rep3,redis,single,1,4.661534,15.134293699999999,1.0904,3.0068799999999998,2.376234,3739
