run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n10_20260618_123920_kafka_feed10_rep1,kafka,single,10,3657.4821334999997,18173.862734,717.7165,17422.626,2190.283767,40660
concurrency_n10_20260618_123920_kafka_feed10_rep2,kafka,single,10,2568.680901,9361.551667,192.76805000000002,6759.453,1578.414634,40660
concurrency_n10_20260618_123920_kafka_feed10_rep3,kafka,single,10,2532.3311,7563.2417,212.8578,5140.4631,1381.4303,40660
concurrency_n10_20260618_123920_kafka_feed1_rep1,kafka,single,10,3852.7231835000002,15697.317066699981,568.3346,14460.8956,1889.011117,40660
concurrency_n10_20260618_123920_kafka_feed1_rep2,kafka,single,10,2375.8743999999997,12151.980867,232.9734,10682.7651,1735.7871335,40660
concurrency_n10_20260618_123920_kafka_feed1_rep3,kafka,single,10,2526.041667,7316.303240649996,154.3839,4715.191009999986,1639.416567,40660
concurrency_n10_20260618_123920_kafka_feed2_rep1,kafka,single,10,3693.3352,15821.395752299974,606.3797,15015.7949,2323.4723,40660
concurrency_n10_20260618_123920_kafka_feed2_rep2,kafka,single,10,2739.096684,10095.504567,179.4192,7074.103,1892.9532005,40660
concurrency_n10_20260618_123920_kafka_feed2_rep3,kafka,single,10,2554.028134,10300.394858649997,184.13389999999998,8196.3546,1850.9824,40660
concurrency_n10_20260618_123920_kafka_feed3_rep1,kafka,single,10,3267.4886335,16634.014134,678.8251,15888.7227,2214.481567,40660
concurrency_n10_20260618_123920_kafka_feed3_rep2,kafka,single,10,2394.772434,8101.17853065,203.37545,5135.6948,1779.572134,40660
concurrency_n10_20260618_123920_kafka_feed3_rep3,kafka,single,10,2597.6868999999997,8547.2583,190.0464,6631.5687,1660.3537835,40660
concurrency_n10_20260618_123920_kafka_feed4_rep1,kafka,single,10,3185.528867,18093.030534,647.4117,17257.7656,2273.067967,40660
concurrency_n10_20260618_123920_kafka_feed4_rep2,kafka,single,10,2803.2298339999998,11510.0171,200.7182,9620.024,2203.6567835,40660
concurrency_n10_20260618_123920_kafka_feed4_rep3,kafka,single,10,2154.269967,10521.10074564997,182.0627,8545.9835,1560.672567,40660
concurrency_n10_20260618_123920_kafka_feed5_rep1,kafka,single,10,3624.2906335,17720.387701999993,644.4232,16924.4109,2149.8170170000003,40660
concurrency_n10_20260618_123920_kafka_feed5_rep2,kafka,single,10,2837.572334,10382.642967,190.1127,7754.4535,2004.259034,40660
