                          run backend  n_produced  n_consumed  n_matched  tti_p50_ms  tti_p95_ms  tti_p99_ms  tti_max_ms  transport_p50_ms  transport_p95_ms  transport_p99_ms  transport_max_ms  schedlag_p50_ms  schedlag_p95_ms  schedlag_p99_ms  schedlag_max_ms  tti_miss_100ms  schedlag_miss_100ms  tti_miss_250ms  schedlag_miss_250ms  tti_miss_500ms  schedlag_miss_500ms  tti_miss_1000ms  schedlag_miss_1000ms  tti_miss_2000ms  schedlag_miss_2000ms  tti_miss_5000ms  schedlag_miss_5000ms
s2_kafka_rep1_20251230_232006   kafka        1043        1043       1043  697.563798 1234.369958 1287.368530 1302.148975          1.153963          1.473957          1.642928        104.831063       696.552473      1233.236618      1286.152109      1300.922537        1.000000             0.999041        0.881112             0.880153        0.660594             0.659636         0.243528              0.242570              0.0                   0.0              0.0                   0.0
s2_kafka_rep2_20251230_232351   kafka        1043        1043       1043  695.106760 1215.222244 1262.282625 1273.524232          1.134625          1.380530          1.580337        111.454864       693.532946      1213.939654      1261.189557      1272.430525        1.000000             0.999041        0.883030             0.882071        0.666347             0.665388         0.235858              0.234899              0.0                   0.0              0.0                   0.0
s2_kafka_rep3_20251230_232739   kafka        1043        1043       1043  683.425926 1211.835983 1256.796465 1268.668850          1.120267          1.445006          1.705455        104.269184       682.035631      1210.752094      1255.712907      1267.450709        1.000000             0.999041        0.868648             0.867689        0.658677             0.657718         0.230105              0.229147              0.0                   0.0              0.0                   0.0
s2_kafka_rep4_20251230_233129   kafka        1043        1043       1043  926.534114 1561.704941 1609.028012 1620.833033          1.367654          2.261604          3.173899        104.179210       924.813241      1560.483495      1608.077188      1619.786479        1.000000             0.999041        0.875360             0.874401        0.720997             0.720038         0.457335              0.456376              0.0                   0.0              0.0                   0.0
s2_kafka_rep5_20251230_233519   kafka        1043        1043       1043  661.002686 1191.485839 1241.551561 1253.203761          1.051753          1.581708          1.874736        104.478325       660.065195      1190.463672      1240.390784      1252.195426        1.000000             0.999041        0.870566             0.869607        0.655801             0.654842         0.208054              0.207095              0.0                   0.0              0.0                   0.0
s2_redis_rep1_20251230_232201   redis        1043        1043       1043  199.896810  375.474758  390.653318  394.691786          2.013738          2.702157          3.155154          4.665897       197.719295       373.628579       388.450708       392.152007        0.752637             0.746884        0.371045             0.367210        0.000000             0.000000         0.000000              0.000000              0.0                   0.0              0.0                   0.0
s2_redis_rep2_20251230_232548   redis        1043        1043       1043  193.193141  375.213997  390.655744  394.697244          1.775993          2.377577          2.908509          3.333918       191.582687       373.657541       389.288061       393.203860        0.746884             0.742090        0.373921             0.369128        0.000000             0.000000         0.000000              0.000000              0.0                   0.0              0.0                   0.0
s2_redis_rep3_20251230_232937   redis        1043        1043       1043  196.115092  367.639031  383.155621  386.952390          1.877678          2.490505          2.744849          3.268646       194.318866       365.713979       381.460287       385.221622        0.753595             0.747843        0.355705             0.350911        0.000000             0.000000         0.000000              0.000000              0.0                   0.0              0.0                   0.0
s2_redis_rep4_20251230_233328   redis        1043        1043       1043  195.699782  365.882661  380.818924  384.263742          1.867571          2.549463          2.782162          2.945667       193.271366       364.443745       379.178230       382.624000        0.754554             0.749760        0.354746             0.350911        0.000000             0.000000         0.000000              0.000000              0.0                   0.0              0.0                   0.0
s2_redis_rep5_20251230_233717   redis        1043        1043       1043  202.069155  382.097922  397.832693  401.569955          1.766063          2.331487          2.454427          3.385485       200.239881       380.309856       396.480745       400.043699        0.762224             0.758389        0.380633             0.375839        0.000000             0.000000         0.000000              0.000000              0.0                   0.0              0.0                   0.0
