                              run backend  n_produced  n_consumed  n_matched   tti_p50_ms   tti_p95_ms   tti_p99_ms   tti_max_ms  transport_p50_ms  transport_p95_ms  transport_p99_ms  transport_max_ms  schedlag_p50_ms  schedlag_p95_ms  schedlag_p99_ms  schedlag_max_ms  tti_miss_100ms  schedlag_miss_100ms  tti_miss_250ms  schedlag_miss_250ms  tti_miss_500ms  schedlag_miss_500ms  tti_miss_1000ms  schedlag_miss_1000ms  tti_miss_2000ms  schedlag_miss_2000ms  tti_miss_5000ms  schedlag_miss_5000ms
s2full_kafka_rep1_20251230_235643   kafka       40660       40660      40660 20038.271239 37100.487891 38674.663498 39049.763731          0.962326          1.168355          1.279787         91.842067     20037.308568     37099.492859     38673.572552     39048.824535        1.000000             0.999975        0.996237             0.996212        0.989744             0.989720         0.976513              0.976513         0.950271              0.950246         0.877570              0.877545
s2full_kafka_rep2_20251231_000134   kafka       40660       40660      40660 20323.778823 38698.067175 40324.669677 40719.835166          0.980445          1.236977          1.446550         91.450627     20322.788184     38697.035673     40323.178390     40719.054665        1.000000             0.999975        0.996360             0.996335        0.990039             0.990015         0.977668              0.977644         0.952804              0.952779         0.879513              0.879488
s2full_kafka_rep3_20251231_000624   kafka       40660       40660      40660 19680.478603 37180.659634 38813.821250 39189.648179          0.957888          1.159851          1.292660         91.016417     19679.512500     37179.586654     38812.777101     39188.511780        1.000000             0.999975        0.996385             0.996360        0.990039             0.990015         0.977349              0.977324         0.951599              0.951574         0.878087              0.878062
s2full_kafka_rep4_20251231_001114   kafka       40660       40660      40660 18900.541576 35709.980195 37203.278041 37571.990258          0.928231          1.100794          1.198361         89.769803     18899.501018     35709.050333     37202.225706     37571.036838        1.000000             0.999975        0.996090             0.996065        0.989400             0.989375         0.976045              0.976021         0.949361              0.949361         0.870733              0.870708
s2full_kafka_rep5_20251231_001602   kafka       40660       40660      40660 19944.201276 37590.331406 39111.715951 39478.635618          0.951572          1.168642          1.335080         90.891776     19943.177728     37589.366788     39110.761995     39477.844317        1.000000             0.999975        0.996680             0.996655        0.990556             0.990531         0.977964              0.977939         0.952558              0.952533         0.877226              0.877201
s2full_redis_rep1_20251230_235924   redis       40660       40660      40660  7342.049529 13851.062764 14433.335824 14569.727002          1.877598          2.480975          2.832452          5.538290      7340.528909     13848.693357     14430.923091     14568.077389        0.994761             0.994638        0.984579             0.984456        0.967462             0.967265         0.933473              0.933350         0.866232              0.866109         0.662937              0.662838
s2full_redis_rep2_20251231_000417   redis       40660       40660      40660  7386.618568 14132.389427 14773.274923 14909.053629          1.844097          2.473086          2.905838         11.052964      7384.180995     14130.209509     14770.848197     14907.374310        0.995057             0.994934        0.984948             0.984801        0.968298             0.968200         0.935121              0.934948         0.867782              0.867634         0.664953              0.664806
s2full_redis_rep3_20251231_000905   redis       40660       40660      40660  7202.491192 13588.368434 14166.780499 14301.261134          1.818256          2.367858          2.663261          4.234470      7200.916799     13586.436656     14164.901314     14298.821945        0.994811             0.994737        0.984604             0.984481        0.967486             0.967339         0.933030              0.932932         0.864240              0.864117         0.657034              0.656936
s2full_redis_rep4_20251231_001353   redis       40660       40660      40660  7181.966193 13582.735440 14168.113146 14301.194867          1.898570          2.522243          2.858888          6.937552      7180.115991     13581.030529     14166.223449     14299.534258        0.994565             0.994466        0.984333             0.984186        0.967068             0.966945         0.932858              0.932735         0.863625              0.863527         0.656001              0.655878
s2full_redis_rep5_20251231_001844   redis       40660       40660      40660  7288.476762 13776.628850 14358.712730 14494.876975          1.885160          2.525457          2.928894          8.606585      7286.823927     13775.153926     14357.081677     14493.046240        0.994761             0.994663        0.984456             0.984309        0.967068             0.966945         0.932809              0.932686         0.863797              0.863625         0.659838              0.659715
