                                run backend  n_produced  n_consumed  n_matched  tti_p50_ms  tti_p95_ms  tti_p99_ms  tti_max_ms  transport_p50_ms  transport_p95_ms  transport_p99_ms  transport_max_ms  schedlag_p50_ms  schedlag_p95_ms  schedlag_p99_ms  schedlag_max_ms  tti_miss_100ms  schedlag_miss_100ms  tti_miss_250ms  schedlag_miss_250ms  tti_miss_500ms  schedlag_miss_500ms  tti_miss_1000ms  schedlag_miss_1000ms  tti_miss_2000ms  schedlag_miss_2000ms  tti_miss_5000ms  schedlag_miss_5000ms
  s2sf12_kafka_rep1_20251231_003409   kafka       40660       40660      40660  266.587966  575.758685  622.527474  677.180237          0.966355          1.217818          1.440083         96.822331       265.571924       574.764487       621.429175       675.983102        0.827791             0.826980        0.529095             0.527423        0.117634             0.116675         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep1_20251231_161447   kafka       40660       40660      40660  634.623934 2428.316278 2548.853452 2606.192234          1.033341          1.303227          1.638703         96.686118       633.536394      2427.220006      2547.692017      2605.246931        0.850615             0.849656        0.700344             0.699582        0.584629             0.583743         0.443040              0.442696         0.146803              0.146385              0.0                   0.0
  s2sf12_kafka_rep2_20251231_004012   kafka       40660       40660      40660  107.024642  262.876676  292.270759  315.332230          0.936401          1.129144          1.257637         92.547933       106.112400       261.976663       291.349055       314.268487        0.522651             0.519946        0.062863             0.061436        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep2_20251231_162040   kafka       40660       40660      40660  173.489184  434.032051  487.378927  516.840941          0.971936          1.179446          1.353345         94.992682       172.498973       433.032221       486.426956       515.863425        0.684063             0.681849        0.370093             0.368519        0.004009             0.003763         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep3_20251231_004613   kafka       40660       40660      40660  216.941113  381.013139  424.183303  478.234296          0.957119          1.191912          1.408103         90.748336       215.970479       380.119912       423.149011       477.390425        0.681653             0.680177        0.413379             0.410059        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep3_20251231_162632   kafka       40660       40660      40660  825.245251 1363.753751 1419.880677 1444.724582          1.008208          1.329746          1.627403         93.104388       824.242749      1362.789232      1418.854750      1443.843067        0.987998             0.987875        0.936030             0.935908        0.873955             0.873709         0.216896              0.216601         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep4_20251231_005215   kafka       40660       40660      40660  217.943127  594.031228  635.479031  656.735851          0.961440          1.190902          1.424999         87.817389       217.005421       593.100755       634.537390       655.713571        0.764953             0.762445        0.393728             0.391294        0.159887             0.158436         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep4_20251231_163228   kafka       40660       40660      40660   97.265410  334.082495  371.383901  396.046434          0.955960          1.156703          1.312360         91.022711        96.302380       333.163204       370.461622       395.111159        0.491835             0.488982        0.176685             0.175061        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep5_20251231_005817   kafka       40660       40660      40660  230.106662  397.298484  434.146347  484.812421          0.965572          1.183983          1.379745         87.446739       229.088248       396.335357       433.054266       483.924258        0.744934             0.743163        0.441982             0.438539        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
  s2sf12_kafka_rep5_20251231_163823   kafka       40660       40660      40660  110.279645  381.937224  472.490376  492.700795          0.950759          1.149648          1.287576         93.863960       109.307494       381.039018       471.484927       491.858362        0.543261             0.539769        0.206419             0.205485        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
