                                run backend  n_produced  n_consumed  n_matched  tti_p50_ms  tti_p95_ms  tti_p99_ms  tti_max_ms  transport_p50_ms  transport_p95_ms  transport_p99_ms  transport_max_ms  schedlag_p50_ms  schedlag_p95_ms  schedlag_p99_ms  schedlag_max_ms  tti_miss_100ms  schedlag_miss_100ms  tti_miss_250ms  schedlag_miss_250ms  tti_miss_500ms  schedlag_miss_500ms  tti_miss_1000ms  schedlag_miss_1000ms  tti_miss_2000ms  schedlag_miss_2000ms  tti_miss_5000ms  schedlag_miss_5000ms
s2sf12j2_kafka_rep1_20251231_010431   kafka       40660       40660      40660  375.304981  701.118494  778.120109  843.031830          0.959318          1.180125          1.402943         91.241567       374.345747       700.183154       777.194384       842.025588        0.942991             0.942302        0.750123             0.748893        0.262420             0.260723         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_kafka_rep2_20251231_011033   kafka       40660       40660      40660  424.161405 1053.265671 1238.575615 1340.040252          0.968809          1.227619          1.525143         90.408928       423.183541      1052.205640      1237.436385      1338.861395        0.936498             0.935883        0.779980             0.778382        0.383817             0.382317         0.064732              0.064486         0.000000              0.000000              0.0                   0.0
s2sf12j2_kafka_rep3_20251231_011635   kafka       40660       40660      40660  442.916917  735.268080  824.903349  881.639928          0.972738          1.250762          1.549968         89.898747       441.916027       734.272663       823.949831       880.591447        0.965544             0.965199        0.840162             0.838760        0.399262             0.397467         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_kafka_rep4_20251231_012238   kafka       40660       40660      40660  451.850951 1226.900734 1366.446102 1436.200667          0.983200          1.313742          1.656453         92.383930       450.711645      1226.028325      1365.467714      1435.225599        0.960207             0.959690        0.810428             0.808903        0.458436             0.457206         0.168347              0.167954         0.000000              0.000000              0.0                   0.0
s2sf12j2_kafka_rep5_20251231_012837   kafka       40660       40660      40660  722.230537 2265.421220 2464.818589 2550.570025          1.029691          1.273688          1.454939         88.866318       721.297750      2264.391326      2463.720747      2549.458413        0.988342             0.987949        0.944934             0.944466        0.751254             0.750049         0.333178              0.333005         0.098598              0.098352              0.0                   0.0
s2sf12j2_redis_rep1_20251231_010734   redis       40660       40660      40660  168.931823  263.809189  271.312929  281.915115          1.145230          1.983087          2.329743          9.438695       167.757506       262.824783       270.220647       280.017278        0.722897             0.718642        0.125922             0.122750        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep2_20251231_011337   redis       40660       40660      40660  168.935296  263.785942  271.345143  282.056635          1.152458          2.032197          2.384095          5.472578       167.737227       262.791586       270.267740       280.588464        0.722651             0.718519        0.125996             0.123192        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep3_20251231_011936   redis       40660       40660      40660  168.986545  263.818934  271.346561  281.122412          1.161045          2.091964          2.440719          3.741163       167.777406       262.841956       270.273975       280.115765        0.722700             0.718913        0.125996             0.123094        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep4_20251231_012539   redis       40660       40660      40660  168.980920  263.777161  271.323265  281.665398          1.150881          2.042738          2.417439          4.950667       167.752638       262.809618       270.273235       280.357735        0.723094             0.718790        0.125947             0.122651        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
s2sf12j2_redis_rep5_20251231_013128   redis       40660       40660      40660  169.556770  264.208396  271.708263  282.494077          1.253050          2.204169          2.601078          9.867265       168.253992       263.111710       270.513161       281.224503        0.725726             0.721594        0.127914             0.124939        0.000000             0.000000         0.000000              0.000000         0.000000              0.000000              0.0                   0.0
