bin_low_us,bin_high_us,ack,send,output_send,tti,output
-99800,-99750,1,0,0,0,0
-89600,-89550,2,0,0,0,0
-89550,-89500,3,0,0,0,0
-56450,-56400,1,0,0,0,0
-54850,-54800,1,0,0,0,0
-47000,-46950,1,0,0,0,0
-44550,-44500,1,0,0,0,0
-44250,-44200,1,0,0,0,0
-41300,-41250,1,0,0,0,0
-39100,-39050,1,0,0,0,0
-38950,-38900,1,0,0,0,0
-38250,-38200,1,0,0,0,0
-37100,-37050,1,0,0,0,0
-35600,-35550,1,0,0,0,0
-34750,-34700,1,0,0,0,0
-34200,-34150,1,0,0,0,0
-33550,-33500,1,0,0,0,0
-33400,-33350,1,0,0,0,0
-33250,-33200,1,0,0,0,0
-32150,-32100,1,0,0,0,0
-31900,-31850,1,0,0,0,0
-31300,-31250,1,0,0,0,0
-31250,-31200,1,0,0,0,0
-31200,-31150,1,0,0,0,0
-30750,-30700,1,0,0,0,0
-30300,-30250,1,0,0,0,0
-30250,-30200,1,0,0,0,0
-30000,-29950,1,0,0,0,0
-29800,-29750,1,0,0,0,0
-29100,-29050,1,0,0,0,0
-29000,-28950,1,0,0,0,0
-28950,-28900,1,0,0,0,0
-28600,-28550,2,0,0,0,0
-28300,-28250,1,0,0,0,0
-27750,-27700,2,0,0,0,0
-27700,-27650,3,0,0,0,0
-27400,-27350,1,0,0,0,0
-27250,-27200,2,0,0,0,0
-27100,-27050,2,0,0,0,0
-26850,-26800,1,0,0,0,0
-26800,-26750,1,0,0,0,0
-26500,-26450,1,0,0,0,0
-26350,-26300,1,0,0,0,0
-26300,-26250,1,0,0,0,0
-26250,-26200,1,0,0,0,0
-26100,-26050,1,0,0,0,0
-25750,-25700,1,0,0,0,0
-25500,-25450,1,0,0,0,0
-25250,-25200,1,0,0,0,0
-25200,-25150,1,0,0,0,0
-25150,-25100,1,0,0,0,0
-25050,-25000,1,0,0,0,0
-25000,-24950,1,0,0,0,0
-24850,-24800,1,0,0,0,0
-24550,-24500,1,0,0,0,0
-24500,-24450,1,0,0,0,0
-24250,-24200,1,0,0,0,0
-24050,-24000,2,0,0,0,0
-23900,-23850,2,0,0,0,0
-23750,-23700,2,0,0,0,0
-23450,-23400,1,0,0,0,0
-23350,-23300,1,0,0,0,0
-23050,-23000,1,0,0,0,0
-23000,-22950,1,0,0,0,0
-22750,-22700,1,0,0,0,0
-22700,-22650,1,0,0,0,0
-22550,-22500,1,0,0,0,0
-22500,-22450,1,0,0,0,0
-22150,-22100,1,0,0,0,0
-22100,-22050,1,0,0,0,0
-21750,-21700,1,0,0,0,0
-21700,-21650,1,0,0,0,0
-21550,-21500,1,0,0,0,0
-21350,-21300,1,0,0,0,0
-21150,-21100,2,0,0,0,0
-20900,-20850,2,0,0,0,0
-20800,-20750,1,0,0,0,0
-20700,-20650,1,0,0,0,0
-20650,-20600,1,0,0,0,0
-20550,-20500,1,0,0,0,0
-20500,-20450,1,0,0,0,0
-20400,-20350,1,0,0,0,0
-20150,-20100,1,0,0,0,0
-19850,-19800,1,0,0,0,0
-19800,-19750,1,0,0,0,0
-19600,-19550,1,0,0,0,0
-19450,-19400,1,0,0,0,0
-19300,-19250,1,0,0,0,0
-19050,-19000,1,0,0,0,0
-18800,-18750,1,0,0,0,0
-18750,-18700,1,0,0,0,0
-18700,-18650,2,0,0,0,0
-18650,-18600,3,0,0,0,0
-18600,-18550,2,0,0,0,0
-18350,-18300,2,0,0,0,0
-18150,-18100,1,0,0,0,0
-18100,-18050,1,0,0,0,0
-17950,-17900,2,0,0,0,0
-17850,-17800,2,0,0,0,0
-17800,-17750,1,0,0,0,0
-17750,-17700,2,0,0,0,0
-17700,-17650,2,0,0,0,0
-17100,-17050,1,0,0,0,0
-16900,-16850,1,0,0,0,0
-16850,-16800,2,0,0,0,0
-16500,-16450,3,0,0,0,0
-16400,-16350,1,0,0,0,0
-16350,-16300,1,0,0,0,0
-16150,-16100,1,0,0,0,0
-16100,-16050,1,0,0,0,0
-16050,-16000,1,0,0,0,0
-16000,-15950,1,0,0,0,0
-15900,-15850,1,0,0,0,0
-15850,-15800,1,0,0,0,0
-15650,-15600,1,0,0,0,0
-15550,-15500,1,0,0,0,0
-15500,-15450,2,0,0,0,0
-15400,-15350,1,0,0,0,0
-15350,-15300,1,0,0,0,0
-15300,-15250,1,0,0,0,0
-15250,-15200,2,0,0,0,0
-15000,-14950,1,0,0,0,0
-14900,-14850,2,0,0,0,0
-14600,-14550,1,0,0,0,0
-14550,-14500,1,0,0,0,0
-14300,-14250,1,0,0,0,0
-13950,-13900,2,0,0,0,0
-13900,-13850,1,0,0,0,0
-13850,-13800,2,0,0,0,0
-13800,-13750,1,0,0,0,0
-13750,-13700,1,0,0,0,0
-13500,-13450,2,0,0,0,0
-13250,-13200,4,0,0,0,0
-13200,-13150,1,0,0,0,0
-13050,-13000,1,0,0,0,0
-12900,-12850,3,0,0,0,0
-12800,-12750,2,0,0,0,0
-12650,-12600,1,0,0,0,0
-12600,-12550,1,0,0,0,0
-12500,-12450,1,0,0,0,0
-12350,-12300,1,0,0,0,0
-12250,-12200,1,0,0,0,0
-12200,-12150,1,0,0,0,0
-12100,-12050,1,0,0,0,0
-11800,-11750,2,0,0,0,0
-11750,-11700,1,0,0,0,0
-11650,-11600,2,0,0,0,0
-11600,-11550,1,0,0,0,0
-11400,-11350,2,0,0,0,0
-11200,-11150,1,0,0,0,0
-11100,-11050,2,0,0,0,0
-11050,-11000,2,0,0,0,0
-11000,-10950,1,0,0,0,0
-10950,-10900,1,0,0,0,0
-10800,-10750,2,0,0,0,0
-10700,-10650,2,0,0,0,0
-10650,-10600,1,0,0,0,0
-10600,-10550,1,0,0,0,0
-10550,-10500,2,0,0,0,0
-10450,-10400,2,0,0,0,0
-10350,-10300,2,0,0,0,0
-10300,-10250,1,0,0,0,0
