run_id,condition,gate,n_events,neg_ack,ms_deleted,over_0.1,over_0.25,over_0.5,over_1
concurrency_n12_20260723_050408_kafka_feed10_rep1,kafka_n12_feed10,pass,144,1,49,144,144,140,1
concurrency_n12_20260723_050408_kafka_feed10_rep2,kafka_n12_feed10,fail,144,4,80,144,144,143,4
concurrency_n12_20260723_050408_kafka_feed10_rep3,kafka_n12_feed10,fail,144,3,72,144,144,144,3
concurrency_n12_20260723_050408_kafka_feed12_rep1,kafka_n12_feed12,fail,148,8,79,148,148,146,8
concurrency_n12_20260723_050408_kafka_feed12_rep2,kafka_n12_feed12,fail,148,6,67,148,148,148,6
concurrency_n12_20260723_050408_kafka_feed12_rep3,kafka_n12_feed12,pass,148,0,73,148,148,148,0
concurrency_n12_20260723_050408_kafka_feed1_rep1,kafka_n12_feed1,fail,148,6,74,148,148,148,6
concurrency_n12_20260723_050408_kafka_feed1_rep2,kafka_n12_feed1,fail,148,5,75,148,148,146,5
concurrency_n12_20260723_050408_kafka_feed1_rep3,kafka_n12_feed1,pass,148,1,68,148,148,148,1
concurrency_n12_20260723_050408_kafka_feed2_rep1,kafka_n12_feed2,fail,71,7,37,71,71,70,7
concurrency_n12_20260723_050408_kafka_feed2_rep2,kafka_n12_feed2,fail,71,5,33,71,71,70,5
concurrency_n12_20260723_050408_kafka_feed2_rep3,kafka_n12_feed2,pass,71,0,35,71,71,70,0
concurrency_n12_20260723_050408_kafka_feed3_rep1,kafka_n12_feed3,fail,121,4,62,121,121,119,4
concurrency_n12_20260723_050408_kafka_feed3_rep2,kafka_n12_feed3,fail,121,3,67,121,121,118,3
concurrency_n12_20260723_050408_kafka_feed3_rep3,kafka_n12_feed3,fail,121,3,58,121,121,118,3
concurrency_n12_20260723_050408_kafka_feed4_rep1,kafka_n12_feed4,fail,112,8,52,112,112,105,8
concurrency_n12_20260723_050408_kafka_feed4_rep2,kafka_n12_feed4,fail,112,9,70,112,112,111,9
concurrency_n12_20260723_050408_kafka_feed4_rep3,kafka_n12_feed4,fail,112,5,54,112,112,111,5
concurrency_n12_20260723_050408_kafka_feed5_rep1,kafka_n12_feed5,fail,145,8,74,145,145,145,8
concurrency_n12_20260723_050408_kafka_feed5_rep2,kafka_n12_feed5,fail,145,10,54,145,145,144,10
concurrency_n12_20260723_050408_kafka_feed5_rep3,kafka_n12_feed5,fail,145,4,61,145,145,144,4
concurrency_n12_20260723_050408_kafka_feed6_rep1,kafka_n12_feed6,fail,88,8,28,88,88,78,8
concurrency_n12_20260723_050408_kafka_feed6_rep2,kafka_n12_feed6,pass,88,0,39,88,88,88,0
concurrency_n12_20260723_050408_kafka_feed6_rep3,kafka_n12_feed6,fail,88,1,48,88,88,86,1
concurrency_n12_20260723_050408_kafka_feed7_rep1,kafka_n12_feed7,fail,94,2,23,94,94,94,2
concurrency_n12_20260723_050408_kafka_feed7_rep2,kafka_n12_feed7,fail,94,3,36,94,94,94,3
concurrency_n12_20260723_050408_kafka_feed7_rep3,kafka_n12_feed7,fail,94,9,43,94,94,91,9
concurrency_n12_20260723_050408_kafka_feed8_rep1,kafka_n12_feed8,fail,143,15,55,143,143,143,15
concurrency_n12_20260723_050408_kafka_feed8_rep2,kafka_n12_feed8,fail,143,4,70,143,143,143,4
concurrency_n12_20260723_050408_kafka_feed8_rep3,kafka_n12_feed8,fail,143,5,78,143,143,140,5
concurrency_n12_20260723_050408_kafka_feed9_rep1,kafka_n12_feed9,fail,127,3,66,127,127,127,3
concurrency_n12_20260723_050408_kafka_feed9_rep2,kafka_n12_feed9,fail,127,7,57,127,127,127,7
concurrency_n12_20260723_050408_kafka_feed9_rep3,kafka_n12_feed9,fail,127,16,50,127,127,127,16
concurrency_n12_20260723_050408_redis_feed10_rep1,redis_n12_feed10,fail,144,19,86,142,140,85,19
