run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n10_20260721_123038_kafka_feed10_rep1,kafka,single,10,4970.384267,6676.5131,4431.5499,6484.2108,140.575967,3881
concurrency_n10_20260721_123038_kafka_feed10_rep2,kafka,single,10,4585.047967,6295.025367,4152.1363,6097.8629,230.7545,3881
concurrency_n10_20260721_123038_kafka_feed10_rep3,kafka,single,10,5695.367267,7435.754667,4977.7917,7245.0178,472.7613,3881
concurrency_n10_20260721_123038_kafka_feed1_rep1,kafka,single,10,4518.842367,6374.015469999999,4168.7972,6219.3249,150.429,3739
concurrency_n10_20260721_123038_kafka_feed1_rep2,kafka,single,10,4279.631667,6125.3291,4044.0034,5930.1088,235.299567,3739
concurrency_n10_20260721_123038_kafka_feed1_rep3,kafka,single,10,5417.161867,7330.2864834,4921.4427,7178.6408,415.885967,3739
concurrency_n10_20260721_123038_kafka_feed2_rep1,kafka,single,10,4448.1489,6959.317067,4266.4339,6780.4303,298.956067,4311
concurrency_n10_20260721_123038_kafka_feed2_rep2,kafka,single,10,3657.1414,6149.9554005,3476.1582,6020.0604,227.268867,4311
concurrency_n10_20260721_123038_kafka_feed2_rep3,kafka,single,10,5612.3376,8093.704867,5428.8476,7886.6202,276.0638,4311
concurrency_n10_20260721_123038_kafka_feed3_rep1,kafka,single,10,5196.7742,7182.8847405999995,4835.3126,6903.74144,303.790534,3977
concurrency_n10_20260721_123038_kafka_feed3_rep2,kafka,single,10,4220.7834,6187.3794339999995,3809.318,6008.8683,313.270867,3977
concurrency_n10_20260721_123038_kafka_feed3_rep3,kafka,single,10,5203.4009,7267.788313999999,4622.9516,6950.9913,557.902434,3977
concurrency_n10_20260721_123038_kafka_feed4_rep1,kafka,single,10,5006.272184,6710.826184,4515.5644,6597.9856,303.4968005,4346
concurrency_n10_20260721_123038_kafka_feed4_rep2,kafka,single,10,5207.1793005,6901.4181505,4971.41325,6772.8566,182.006267,4346
concurrency_n10_20260721_123038_kafka_feed4_rep3,kafka,single,10,5712.06295,7414.347584,4983.8154,7191.029225,527.0633005,4346
concurrency_n10_20260721_123038_kafka_feed5_rep1,kafka,single,10,4607.9142,7071.8143002,4458.2676,6876.9182,319.354967,4233
concurrency_n10_20260721_123038_kafka_feed5_rep2,kafka,single,10,3598.338,6058.693200199999,3372.4036,5829.5647,341.636934,4233
concurrency_n10_20260721_123038_kafka_feed5_rep3,kafka,single,10,4969.3634,7435.5193002,4736.1284,7141.6971,521.638167,4233
concurrency_n10_20260721_123038_kafka_feed6_rep1,kafka,single,10,4914.332367,7345.634933899999,4794.0784,7239.6344,288.524434,4035
concurrency_n10_20260721_123038_kafka_feed6_rep2,kafka,single,10,3973.202267,6395.7625339,3815.4074,6248.4912,249.6201,4035
concurrency_n10_20260721_123038_kafka_feed6_rep3,kafka,single,10,4721.327467,7143.015534,4354.8712,6856.6422999999995,545.260467,4035
concurrency_n10_20260721_123038_kafka_feed7_rep1,kafka,single,10,4536.7423,7006.728347,4191.4287,6667.5471,495.642067,4249
concurrency_n10_20260721_123038_kafka_feed7_rep2,kafka,single,10,3794.6605,6267.532533799999,3636.9561,6095.1344,377.617567,4249
concurrency_n10_20260721_123038_kafka_feed7_rep3,kafka,single,10,5097.9737,7544.152434,4728.6124,7286.3397,543.917534,4249
concurrency_n10_20260721_123038_kafka_feed8_rep1,kafka,single,10,5131.9736335,7055.41765005,4451.4997,6728.2399,374.103567,4018
concurrency_n10_20260721_123038_kafka_feed8_rep2,kafka,single,10,4567.2148335,6461.796719999999,4077.297,6205.1418,347.113834,4018
concurrency_n10_20260721_123038_kafka_feed8_rep3,kafka,single,10,5324.2954334999995,7352.04165005,4657.6096,7017.2438,593.607867,4018
concurrency_n10_20260721_123038_kafka_feed9_rep1,kafka,single,10,3900.1204,6302.966584,3808.3241,6180.0359499999995,273.532067,3871
concurrency_n10_20260721_123038_kafka_feed9_rep2,kafka,single,10,3577.3163,5979.1019005,3544.849,5818.056,184.657634,3871
concurrency_n10_20260721_123038_kafka_feed9_rep3,kafka,single,10,4946.1692,7282.965566999999,4854.2419,7163.3626,298.587734,3871
concurrency_n10_20260721_123038_redis_feed10_rep1,redis,single,10,6690.9992,8311.8906,6322.7018,7878.8871,705.002134,3881
concurrency_n10_20260721_123038_redis_feed10_rep2,redis,single,10,5896.233734,7347.634,5157.6509,6785.4036,810.811967,3881
concurrency_n10_20260721_123038_redis_feed10_rep3,redis,single,10,7038.126667,8591.719167,6613.7288,7870.7258,509.568734,3881
concurrency_n10_20260721_123038_redis_feed1_rep1,redis,single,10,7603.146167,9156.0386243,5612.3551,7884.6064,1975.221067,3739
concurrency_n10_20260721_123038_redis_feed1_rep2,redis,single,10,5856.5445,7049.339094,5525.0877,6619.06665,262.026467,3739
concurrency_n10_20260721_123038_redis_feed1_rep3,redis,single,10,7116.105267,8582.8041437,6928.6309,7952.68793,191.879767,3739
concurrency_n10_20260721_123038_redis_feed2_rep1,redis,single,10,7036.697967,9032.1920335,4854.1782,7378.0948499999995,1852.283767,4311
concurrency_n10_20260721_123038_redis_feed2_rep2,redis,single,10,6658.221967,8544.0277835,6123.6793,7493.83875,824.4387,4311
concurrency_n10_20260721_123038_redis_feed2_rep3,redis,single,10,8036.036767,10432.863967000001,7558.272,9335.06435,728.440967,4311
concurrency_n10_20260721_123038_redis_feed3_rep1,redis,single,10,6686.3147,8562.352667,5976.8026,7619.33266,969.550034,3977
concurrency_n10_20260721_123038_redis_feed3_rep2,redis,single,10,5979.940034,7487.178587,5398.1442,6808.99564,667.224034,3977
concurrency_n10_20260721_123038_redis_feed3_rep3,redis,single,10,6847.2966,8533.1436336,6403.6066,7700.14892,322.623334,3977
concurrency_n10_20260721_123038_redis_feed4_rep1,redis,single,10,6868.6423335,9043.0673005,6474.80105,8145.7141,556.6287,4346
concurrency_n10_20260721_123038_redis_feed4_rep2,redis,single,10,6961.8766335,8738.38885075,6481.539699999999,7925.02485,650.7344,4346
concurrency_n10_20260721_123038_redis_feed4_rep3,redis,single,10,7230.7553005,9338.89339175,5161.14395,7519.050925,1826.346367,4346
concurrency_n10_20260721_123038_redis_feed5_rep1,redis,single,10,6979.078434,8846.6423,5898.2344,7791.951719999999,1058.9328,4233
concurrency_n10_20260721_123038_redis_feed5_rep2,redis,single,10,6232.6083,7868.049773999997,5688.2724,7117.78468,588.781834,4233
concurrency_n10_20260721_123038_redis_feed5_rep3,redis,single,10,8199.2638,10136.2688668,7224.2817,8838.32826,1296.027767,4233
concurrency_n10_20260721_123038_redis_feed6_rep1,redis,single,10,6497.999167,8286.391104,5114.8814,7026.425229999999,1276.567067,4035
concurrency_n10_20260721_123038_redis_feed6_rep2,redis,single,10,5776.721634,7397.863864,4873.2528,6325.73187,747.237667,4035
concurrency_n10_20260721_123038_redis_feed6_rep3,redis,single,10,7018.3107,9054.6722239,6243.002,7787.83188,1005.985067,4035
concurrency_n10_20260721_123038_redis_feed7_rep1,redis,single,10,7710.591834,9604.2378604,7129.7311,8699.480379999999,900.952134,4249
concurrency_n10_20260721_123038_redis_feed7_rep2,redis,single,10,6062.4978,7891.13648,5358.1759,6920.865,931.512334,4249
concurrency_n10_20260721_123038_redis_feed7_rep3,redis,single,10,7306.416534,9535.549167199999,4662.3601,7377.44184,2216.580667,4249
concurrency_n10_20260721_123038_redis_feed8_rep1,redis,single,10,6790.759867,8612.054891999998,6553.9808,8163.646889999999,320.5670505,4018
concurrency_n10_20260721_123038_redis_feed8_rep2,redis,single,10,6106.8121169999995,7440.129930049999,5113.7808,6607.926809999999,1281.3483335,4018
concurrency_n10_20260721_123038_redis_feed8_rep3,redis,single,10,7327.706784,9418.150097,5660.8929499999995,7839.83513,1539.7705335,4018
concurrency_n10_20260721_123038_redis_feed9_rep1,redis,single,10,6508.447267,8313.7748335,5959.3009,7532.61385,764.492734,3871
concurrency_n10_20260721_123038_redis_feed9_rep2,redis,single,10,5859.2682,7372.8738835,5646.2909,6808.8446,194.7573,3871
concurrency_n10_20260721_123038_redis_feed9_rep3,redis,single,10,7026.612334,8887.990867,4372.4378,6880.4421999999995,2115.176434,3871
